Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.85,2.86,2.77,2.9,0.0,0.0,78967
07/15/2019,2.8899,2.89,2.8141,2.9,0.0,0.0,60833
07/12/2019,2.88,2.84,2.78,2.89,0.0,0.0,57593
07/11/2019,2.9,2.8698,2.86,2.92,0.0,0.0,17043
07/10/2019,2.75,2.83,2.6977,2.85,0.0,0.0,51266
07/09/2019,2.89,2.75,2.71,2.89,0.0,0.0,84433
07/08/2019,2.92,2.86,2.83,2.95,0.0,0.0,49882
07/05/2019,2.9,2.93,2.8686,2.99,0.0,0.0,58582
07/03/2019,2.9,2.9,2.85,2.96,0.0,0.0,73088
07/02/2019,2.71,2.95,2.7,2.95,0.0,0.0,123585
07/01/2019,2.7,2.7,2.63,2.7883,0.0,0.0,41531
06/28/2019,2.86,2.7,2.58,2.86,0.0,0.0,105726
06/27/2019,2.79,2.81,2.76,2.8607,0.0,0.0,88918
06/26/2019,2.69,2.8,2.69,2.8,0.0,0.0,35447
06/25/2019,2.76,2.68,2.68,2.9,0.0,0.0,69810
06/24/2019,2.56,2.75,2.56,2.9465,0.0,0.0,162399
06/21/2019,2.62,2.58,2.52,2.74,0.0,0.0,174820
06/20/2019,2.59,2.64,2.52,2.68,0.0,0.0,70875
06/19/2019,2.61,2.63,2.52,2.69,0.0,0.0,45348
06/18/2019,2.7,2.66,2.61,2.7,0.0,0.0,64992
06/17/2019,2.71,2.74,2.61,2.8,0.0,0.0,69488
06/14/2019,2.54,2.7,2.54,2.84,0.0,0.0,110024
06/13/2019,2.48,2.56,2.42,2.6,0.0,0.0,89305
06/12/2019,2.5,2.49,2.43,2.6,0.0,0.0,90746
06/11/2019,2.53,2.48,2.36,2.77,0.0,0.0,196250
06/10/2019,2.94,2.53,2.53,3.02,0.0,0.0,227522
06/07/2019,2.96,2.94,2.85,3.01,0.0,0.0,212350
06/06/2019,2.6,2.99,2.55,2.99,0.0,0.0,235081
06/05/2019,2.7,2.63,2.5125,2.7,0.0,0.0,140981
06/04/2019,2.73,2.69,2.55,2.77,0.0,0.0,160333
06/03/2019,2.48,2.65,2.41,2.66,0.0,0.0,291251
05/31/2019,2.19,2.42,2.16,2.42,0.0,0.0,245864
05/30/2019,1.89,2.23,1.87,2.26,0.0,0.0,314710
05/29/2019,2,1.93,1.93,2.1,0.0,0.0,154734
05/28/2019,2.25,2.06,2.01,2.2619,0.0,0.0,145934
05/24/2019,2.25,2.25,2.15,2.3,0.0,0.0,262280
05/23/2019,2.15,2.21,2.07,2.29,0.0,0.0,515924
05/22/2019,2.14,2.31,2.03,2.45,0.0,0.0,1398091
05/21/2019,1.9,1.86,1.62,1.97,0.0,0.0,224899
05/20/2019,1.79,1.8703,1.7,2.09,0.0,0.0,783447
05/17/2019,1.43,1.68,1.3601,1.74,0.0,0.0,408638
05/16/2019,1.43,1.41,1.35,1.4366,0.0,0.0,36388
05/15/2019,1.37,1.39,1.33,1.45,0.0,0.0,91472
05/14/2019,1.36,1.38,1.35,1.4668,0.0,0.0,182624
05/13/2019,1.28,1.36,1.21,1.4193,0.0,0.0,231512
05/10/2019,1.2,1.2616,1.1649,1.2746,0.0,0.0,130306
05/09/2019,1.2,1.21,1.11,1.23,0.0,0.0,93587
05/08/2019,1.19,1.1983,1.1,1.29,0.0,0.0,225568
05/07/2019,1.22,1.16,1.121,1.25,0.0,0.0,274831
05/06/2019,1.26,1.17,1.15,1.2861,0.0,0.0,233660
05/03/2019,1.16,1.2161,1.1401,1.35,0.0,0.0,452537
05/02/2019,1.22,1.15,1.07,1.26,0.0,0.0,581470
05/01/2019,1.3,1.2,1.18,1.47,0.0,0.0,2888722
04/30/2019,1.09,1.49,0.87,1.7262,0.0,0.0,16586370
04/29/2019,0.85,0.7503,0.66,0.87,0.0,0.0,119303
04/26/2019,0.7656,0.8599,0.7656,0.8998,0.0,0.0,4008
04/25/2019,0.85,0.9,0.75,0.9128,0.0,0.0,49988
04/24/2019,0.822,0.88,0.77,0.94,0.0,0.0,45719
04/23/2019,0.752,0.86,0.752,0.8736,0.0,0.0,18945
04/22/2019,0.81,0.77,0.76,0.8996,0.0,0.0,78351
04/18/2019,0.75,0.783,0.706,0.796,0.0,0.0,63983
04/17/2019,0.844,0.65,0.65,0.844,0.0,0.0,39139
04/16/2019,0.7702,0.8,0.7702,0.8589,0.0,0.0,13585
