Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26.75,24.82,24.705,26.96,0.0,0.0,7812646
07/15/2019,27.5,26.69,26.43,27.65,0.0,0.0,2843953
07/12/2019,27.07,27.36,26.21,28,0.0,0.0,6298659
07/11/2019,27,26.85,26.7,28.49,0.0,0.0,6663585
07/10/2019,26.33,25.87,25.78,26.43,0.0,0.0,2215359
07/09/2019,25.87,26.26,25.58,26.35,0.0,0.0,2147981
07/08/2019,26.2,26.05,25.32,26.2,0.0,0.0,3037672
07/05/2019,26.75,26.39,24.83,26.89,0.0,0.0,11453230
07/03/2019,26.76,27.11,26.59,27.3525,0.0,0.0,1958551
07/02/2019,26.34,26.74,26.09,27,0.0,0.0,2443652
07/01/2019,26.52,26.37,26.345,27.1953,0.0,0.0,3158935
06/28/2019,25.59,25.94,25.53,26.08,0.0,0.0,2573655
06/27/2019,25.07,25.6,25.07,26.16,0.0,0.0,3434524
06/26/2019,25.01,24.94,24.8,25.4138,0.0,0.0,2452971
06/25/2019,25.74,24.72,24.61,25.94,0.0,0.0,3479555
06/24/2019,26.53,25.74,25.6003,26.7,0.0,0.0,2294229
06/21/2019,26.91,26.47,26.36,27.33,0.0,0.0,4275712
06/20/2019,26.61,26.98,26.59,27.39,0.0,0.0,3886280
06/19/2019,25.91,26.22,25.54,26.33,0.0,0.0,5209437
06/18/2019,26.13,25.77,25.68,26.8389,0.0,0.0,4381431
06/17/2019,25.44,25.87,25.26,26.53,0.0,0.0,4516626
06/14/2019,27.1,25.41,24.75,27.11,0.0,0.0,8245906
06/13/2019,27.7,27.55,27.16,27.71,0.0,0.0,1430796
06/12/2019,27.66,27.47,26.95,28.07,0.0,0.0,2019013
06/11/2019,28.21,27.83,27.76,28.57,0.0,0.0,2094368
06/10/2019,28.41,27.86,27.83,28.86,0.0,0.0,2428263
06/07/2019,27.96,28.02,27.4,28.13,0.0,0.0,3554415
06/06/2019,27.65,27.92,26.73,28.02,0.0,0.0,3947205
06/05/2019,28.44,28.12,27.48,28.6955,0.0,0.0,2371702
06/04/2019,27.59,28.04,26.97,28.11,0.0,0.0,3597345
06/03/2019,27.91,27.09,26.47,28.18,0.0,0.0,7509547
05/31/2019,26.05,28.07,25.5,28.73,0.0,0.0,21823110
05/30/2019,33.77,32.67,32.51,34.48,0.0,0.0,6546857
05/29/2019,31,33.69,30.89,33.8,0.0,0.0,5624748
05/28/2019,33.26,31.41,31.34,34.65,0.0,0.0,10201670
05/24/2019,34.97,35.14,34.94,36.115,0.0,0.0,2411830
05/23/2019,35.88,34.7,34.55,36,0.0,0.0,3977581
05/22/2019,38.34,36.61,36.38,38.66,0.0,0.0,2892018
05/21/2019,38.16,38.62,38.16,38.86,0.0,0.0,1520041
05/20/2019,38.38,37.43,37.211,38.706,0.0,0.0,1613177
05/17/2019,38.43,39,36.92,39.0638,0.0,0.0,4012991
05/16/2019,38.61,39.35,38.35,40.08,0.0,0.0,2774631
05/15/2019,36.9,38.39,36.8,38.4228,0.0,0.0,2796450
05/14/2019,35.6,37.25,35.48,37.27,0.0,0.0,2834882
05/13/2019,35.68,35.08,34.9,36.22,0.0,0.0,2996095
05/10/2019,36.94,37.04,35.88,37.31,0.0,0.0,2384961
05/09/2019,37.75,37.07,36.12,37.79,0.0,0.0,3761157
05/08/2019,37.54,38.3,37.19,38.63,0.0,0.0,2083304
05/07/2019,39.39,37.55,37.14,39.97,0.0,0.0,3447485
05/06/2019,38.01,39.78,37.68,40.1,0.0,0.0,1961876
05/03/2019,40.82,39.35,37.75,41.13,0.0,0.0,9684403
05/02/2019,42.83,40.6,40.51,43.46,0.0,0.0,5384171
05/01/2019,43.36,42.98,42.71,43.709,0.0,0.0,1474059
04/30/2019,42.78,43.19,42.22,43.58,0.0,0.0,1597927
04/29/2019,43.27,42.66,42.63,43.65,0.0,0.0,1612627
04/26/2019,43.06,43.3,42.71,43.31,0.0,0.0,1473555
04/25/2019,43.01,43.01,42.77,43.68,0.0,0.0,1763923
04/24/2019,43.03,43.01,42.93,43.33,0.0,0.0,1909480
04/23/2019,42.88,43.01,41.82,43.15,0.0,0.0,3968025
04/22/2019,42.48,42.86,42.25,43.48,0.0,0.0,1641977
04/18/2019,41.85,42.84,41.52,43.035,0.0,0.0,4189145
04/17/2019,41.15,42.1,41.15,42.145,0.0,0.0,4343253
04/16/2019,40.55,41.07,40.22,41.23,0.0,0.0,2323739
