Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,57.45,56.76,56.1499,58.01,0.0,0.0,212641
07/15/2019,56.99,57.48,56.92,57.88,0.0,0.0,333194
07/12/2019,57.07,57.07,56.405,57.48,0.0,0.0,350885
07/11/2019,57.12,57.15,56.2,57.46,0.0,0.0,231406
07/10/2019,56.02,56.9,55.47,57.09,0.0,0.0,312855
07/09/2019,55.97,55.78,55.03,56.4,0.0,0.0,314434
07/08/2019,56.59,56.13,55.925,56.8,0.0,0.0,246795
07/05/2019,56.53,56.68,55.97,57.01,0.0,0.0,191362
07/03/2019,57.62,57.08,56.74,57.86,0.0,0.0,168478
07/02/2019,56.91,57.45,56.24,57.565,0.0,0.0,303884
07/01/2019,58.87,56.95,56.84,59.51,0.0,0.0,349600
06/28/2019,57.47,58.54,57.3966,58.67,0.0,0.0,940726
06/27/2019,57.35,57.68,56.72,58.19,0.0,0.0,345566
06/26/2019,57.6,57.23,56.74,57.75,0.0,0.0,284172
06/25/2019,57.93,57.5,57.09,58.645,0.0,0.0,348942
06/24/2019,57,57.76,56.73,57.92,0.0,0.0,314811
06/21/2019,57.43,57.09,56.45,57.785,0.0,0.0,916797
06/20/2019,58.98,57.59,57.11,59.49,0.0,0.0,304876
06/19/2019,57.58,58.73,57.18,58.86,0.0,0.0,450636
06/18/2019,57.79,57.71,57.32,58.55,0.0,0.0,352922
06/17/2019,58.01,57.54,57.09,58.39,0.0,0.0,304089
06/14/2019,59.48,57.92,57.8,59.99,0.0,0.0,275566
06/13/2019,59.56,59.65,59.16,60,0.0,0.0,246209
06/12/2019,58.5,59.36,58.5,59.715,0.0,0.0,320945
06/11/2019,59.49,58.55,57.53,59.9,0.0,0.0,416504
06/10/2019,59.39,59.22,58.89,60.225,0.0,0.0,342930
06/07/2019,60.37,59.23,59.21,60.87,0.0,0.0,308895
06/06/2019,59.57,60.18,59.35,60.45,0.0,0.0,264212
06/05/2019,58.99,59.78,58.98,60.145,0.0,0.0,197469
06/04/2019,58.13,58.83,57.68,58.95,0.0,0.0,363019
06/03/2019,58.03,57.82,56.73,58.71,0.0,0.0,404360
05/31/2019,59.3,57.96,57.875,59.57,0.0,0.0,438775
05/30/2019,59.88,59.78,59.22,60.95,0.0,0.0,331261
05/29/2019,61.41,59.57,59.24,61.91,0.0,0.0,396554
05/28/2019,61.65,61.82,61.33,62.31,0.0,0.0,407261
05/24/2019,61.07,61.53,60.65,61.61,0.0,0.0,364101
05/23/2019,62,61.04,60.55,62.1,0.0,0.0,169163
05/22/2019,62.05,62.27,62.05,63,0.0,0.0,470686
05/21/2019,61.83,62.23,61.83,62.72,0.0,0.0,204859
05/20/2019,60.51,61.62,60.04,61.95,0.0,0.0,386093
05/17/2019,61.61,60.98,60.98,62.23,0.0,0.0,338731
05/16/2019,60.73,61.97,60.15,62.485,0.0,0.0,447369
05/15/2019,60.08,60.49,59.83,60.82,0.0,0.0,307146
05/14/2019,60.67,60.59,59.97,61.18,0.0,0.0,242868
05/13/2019,60.86,60.58,60.245,61.33,0.0,0.0,374724
05/10/2019,61.82,61.88,60.79,62.28,0.0,0.0,391758
05/09/2019,62.14,62.11,61.2405,62.51,0.0,0.0,579646
05/08/2019,62.64,62.39,62.28,63.12,0.0,0.0,447681
05/07/2019,64.73,62.82,62.36,65.11,0.0,0.0,482526
05/06/2019,61.68,65.47,61.68,65.64,0.0,0.0,670648
05/03/2019,62.64,62.96,61.925,64.12,0.0,0.0,569208
05/02/2019,61,62.22,58.25,62.5794,0.0,0.0,1045384
05/01/2019,60.87,60.6,59.52,60.89,0.0,0.0,745261
04/30/2019,60.76,60.6,59.24,60.925,0.0,0.0,776153
04/29/2019,60.09,60.45,58.64,60.56,0.0,0.0,804713
04/26/2019,59.19,59.85,58.305,60.36,0.0,0.0,494159
04/25/2019,58.51,59.19,57.71,59.56,0.0,0.0,402385
04/24/2019,56.93,58.78,56.75,59.1,0.0,0.0,686754
04/23/2019,55.5,57.21,55.25,57.365,0.0,0.0,520047
04/22/2019,53.27,55.34,52.6901,55.51,0.0,0.0,372852
04/18/2019,53.98,53.69,52.9,54.99,0.0,0.0,502930
04/17/2019,56.02,53.88,53.22,56.02,0.0,0.0,924308
04/16/2019,57.57,55.96,55.78,57.64,0.0,0.0,275811
