Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,69,68.73,68.1,69.49,0.0,0.0,435475
07/15/2019,69.3,68.69,68.18,69.75,0.0,0.0,340060
07/12/2019,69.28,68.88,67.86,69.4,0.0,0.0,719274
07/11/2019,65.93,69.14,65.93,69.59,0.0,0.0,1166257
07/10/2019,64.7,65.32,64.51,65.44,0.0,0.0,652935
07/09/2019,63.91,64.37,63.89,64.7,0.0,0.0,477730
07/08/2019,64.28,64.24,63.3618,64.95,0.0,0.0,554358
07/05/2019,64.48,64.28,63.79,66.05,0.0,0.0,513440
07/03/2019,64.63,64.45,63.66,64.79,0.0,0.0,383577
07/02/2019,62.64,63.88,61.945,64.02,0.0,0.0,756094
07/01/2019,64.78,61.86,60.385,65.1702,0.0,0.0,1112982
06/28/2019,62.1,63.23,60.71,63.855,0.0,0.0,3292430
06/27/2019,57,60.85,57,61.88,0.0,0.0,1943351
06/26/2019,57.52,56.8,56.02,58.0675,0.0,0.0,434341
06/25/2019,58.49,57.43,57.3,59.7649,0.0,0.0,655813
06/24/2019,59.6,58.03,57.83,60.12,0.0,0.0,622177
06/21/2019,59.95,59.96,58.51,60.46,0.0,0.0,806435
06/20/2019,61.46,60.33,60.07,62.145,0.0,0.0,962462
06/19/2019,59.95,61.51,59.24,61.51,0.0,0.0,1307652
06/18/2019,58.7,59.8,58.66,60,0.0,0.0,1127337
06/17/2019,54.82,58.04,54.75,58.5,0.0,0.0,730048
06/14/2019,57.11,55.08,54.94,57.75,0.0,0.0,370941
06/13/2019,55.98,57.06,55.56,57.82,0.0,0.0,770675
06/12/2019,54.48,55.78,54.28,56.1,0.0,0.0,359229
06/11/2019,54.93,54.33,53.55,55.79,0.0,0.0,327396
06/10/2019,55.76,54.89,54.5,56.43,0.0,0.0,611504
06/07/2019,54.82,55.67,54.82,56.48,0.0,0.0,420510
06/06/2019,54.77,54.74,53.81,55.5,0.0,0.0,358803
06/05/2019,54.8,54.86,53.865,55.19,0.0,0.0,357261
06/04/2019,53.92,54.64,52.68,54.7,0.0,0.0,476032
06/03/2019,53.07,52.55,51.55,53.6015,0.0,0.0,443355
05/31/2019,52.85,53.12,52.555,54,0.0,0.0,350386
05/30/2019,52.86,53.76,52.72,53.88,0.0,0.0,395472
05/29/2019,52.87,52.45,51.5,53.38,0.0,0.0,552724
05/28/2019,53,53.55,52.58,54.98,0.0,0.0,821215
05/24/2019,52,52.91,51.35,53,0.0,0.0,724949
05/23/2019,51.2,49.31,48.81,51.2,0.0,0.0,370649
05/22/2019,50.54,51.36,50.5,51.47,0.0,0.0,270979
05/21/2019,49.26,50.72,49.26,50.74,0.0,0.0,390313
05/20/2019,49.97,48.87,48.57,49.97,0.0,0.0,435925
05/17/2019,49.91,50.38,49.7686,51.35,0.0,0.0,324109
05/16/2019,49.49,50.3,49.37,51.2,0.0,0.0,450849
05/15/2019,48.99,49.26,48.78,50.22,0.0,0.0,395083
05/14/2019,48.55,49.44,48.32,49.92,0.0,0.0,384425
05/13/2019,48.69,48.4,47.45,49.2,0.0,0.0,545616
05/10/2019,49.79,49.3,48.63,50.97,0.0,0.0,873316
05/09/2019,47,49.22,46.61,49.98,0.0,0.0,625365
05/08/2019,47.22,47.56,47.05,48.15,0.0,0.0,432216
05/07/2019,48.34,47.62,46.98,48.75,0.0,0.0,419822
05/06/2019,47.59,48.92,47.38,49.09,0.0,0.0,498587
05/03/2019,44.82,48.89,44.44,48.915,0.0,0.0,609456
05/02/2019,43.25,44.6,42.2,45.19,0.0,0.0,799643
05/01/2019,44.07,43.28,42.58,44.1313,0.0,0.0,615845
04/30/2019,45.09,44.07,43.92,45.69,0.0,0.0,482179
04/29/2019,44.84,44.97,44.38,45.2,0.0,0.0,242434
04/26/2019,45.12,44.89,44.77,45.58,0.0,0.0,376666
04/25/2019,44.98,45.05,44.12,45.46,0.0,0.0,251114
04/24/2019,45.09,45.11,44.26,45.6949,0.0,0.0,252887
04/23/2019,43.19,44.97,42.88,45.16,0.0,0.0,356925
04/22/2019,42.07,43.14,41.8,43.3,0.0,0.0,306674
04/18/2019,43.23,42.22,41.71,43.59,0.0,0.0,464890
04/17/2019,44.58,43.08,41.51,44.58,0.0,0.0,854453
04/16/2019,45.28,44.57,44.13,45.99,0.0,0.0,371620
