Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,166.67,167.08,164.8425,168.17,0.0,0.0,8536098
07/15/2019,168.46,167.27,166.13,169.1058,0.0,0.0,7245993
07/12/2019,167.4,167.61,167.4,170.47,0.0,0.0,12659820
07/11/2019,163,166.28,161.5,167.92,0.0,0.0,17063960
07/10/2019,159.06,160.06,158.5,162.3689,0.0,0.0,11301900
07/09/2019,155.51,157.31,155,158.44,0.0,0.0,8571512
07/08/2019,157.83,157.21,156,158.59,0.0,0.0,8244669
07/05/2019,160.4,160.23,157.68,160.58,0.0,0.0,9913847
07/03/2019,163.17,162.75,160.3415,163.4,0.0,0.0,6165856
07/02/2019,165.5,162.23,161.7,166.3493,0.0,0.0,10005690
07/01/2019,172.57,166.17,164.66,173.95,0.0,0.0,17788330
06/28/2019,165,164.23,162.35,165.37,0.0,0.0,9941659
06/27/2019,162.71,163.23,161.26,164,0.0,0.0,11136040
06/26/2019,156.61,159.26,156.09,161.72,0.0,0.0,14601830
06/25/2019,152.86,151.48,151.37,155.88,0.0,0.0,7796661
06/24/2019,152.62,152.66,150.72,153.85,0.0,0.0,7073718
06/21/2019,153.5,151.76,151.5,155.48,0.0,0.0,10860670
06/20/2019,156.77,154.1,153.5178,157.33,0.0,0.0,8754182
06/19/2019,154.3,153.12,152.0738,154.7568,0.0,0.0,8291099
06/18/2019,147.5,152.88,147.06,155.11,0.0,0.0,14547950
06/17/2019,144.57,145.03,143.65,146.5206,0.0,0.0,6901037
06/14/2019,144.51,144.64,142.836,145.49,0.0,0.0,9860656
06/13/2019,147.09,148.26,146.38,149,0.0,0.0,7702027
06/12/2019,149,146.2,145.59,149.25,0.0,0.0,8972298
06/11/2019,150.84,150.75,149.16,152.36,0.0,0.0,9596751
06/10/2019,147.76,148.43,147.76,151.19,0.0,0.0,10069520
06/07/2019,144.02,145.5,143.25,146.88,0.0,0.0,8721438
06/06/2019,141.45,143.78,141.35,144.77,0.0,0.0,10203460
06/05/2019,145.97,141.28,139.82,146.19,0.0,0.0,12790390
06/04/2019,136.36,143,135.4675,143.21,0.0,0.0,16045890
06/03/2019,135.91,133.78,132.6,137.47,0.0,0.0,11966080
05/31/2019,137.14,135.46,135.39,138.4491,0.0,0.0,9742992
05/30/2019,140.31,139.11,137.57,141.7499,0.0,0.0,9857490
05/29/2019,141.41,140.34,138.94,142.82,0.0,0.0,13995040
05/28/2019,145.86,143.33,143.25,147.18,0.0,0.0,10708850
05/24/2019,148.08,145.15,144.88,149.5,0.0,0.0,8939632
05/23/2019,149.69,147.32,144.9112,149.69,0.0,0.0,14796110
05/22/2019,153.5,152.2,151.76,154.55,0.0,0.0,8146740
05/21/2019,154.2,155.06,152.64,155.7,0.0,0.0,9046247
05/20/2019,152.55,151.75,150.75,154.77,0.0,0.0,14301630
05/17/2019,158.5,156.53,154.94,163.71,0.0,0.0,25551700
05/16/2019,159.36,160.19,157.65,161.905,0.0,0.0,19527200
05/15/2019,159.8,159.58,157.41,161.05,0.0,0.0,12558000
05/14/2019,160.05,162.04,158.4904,163.46,0.0,0.0,13121970
05/13/2019,163.5,158.45,157.81,164.43,0.0,0.0,16422820
05/10/2019,168.95,168.82,164,171.59,0.0,0.0,14237450
05/09/2019,171.14,170.19,165.4,171.53,0.0,0.0,16506160
05/08/2019,172,173.92,171.52,177.15,0.0,0.0,10479150
05/07/2019,177.9,173.11,171.17,177.9,0.0,0.0,13880460
05/06/2019,175.5,179.85,174,180.34,0.0,0.0,10554450
05/03/2019,183.53,183.01,180.53,183.93,0.0,0.0,8420587
05/02/2019,180.86,183.19,179.115,184.87,0.0,0.0,9867135
05/01/2019,183.11,180.47,180.46,184.81,0.0,0.0,8857031
04/30/2019,178.03,181,177.26,182.03,0.0,0.0,9040240
04/29/2019,178.41,179.33,175.5,180.45,0.0,0.0,9775569
04/26/2019,180.71,178.09,173.3,180.8876,0.0,0.0,21710310
04/25/2019,189.55,186.91,183.7,190.45,0.0,0.0,12282470
04/24/2019,191.09,191.17,188.64,192.81,0.0,0.0,7731861
04/23/2019,189,190.67,188.61,191.93,0.0,0.0,8277890
04/22/2019,185.35,188.47,184.08,189.1,0.0,0.0,6983086
04/18/2019,187.56,186.3,185.18,188.93,0.0,0.0,8783613
04/17/2019,189.62,187.29,186.39,190.46,0.0,0.0,7893450
04/16/2019,186.28,188.21,184.9641,188.97,0.0,0.0,9856282
