Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,15.1,15.15,15.03,15.34,0.0,0.0,4684276
07/15/2019,14.99,15.15,14.88,15.22,0.0,0.0,2984884
07/12/2019,14.59,14.95,14.59,15,0.0,0.0,2437395
07/11/2019,14.93,14.62,14.48,14.95,0.0,0.0,2955181
07/10/2019,15.11,14.92,14.82,15.145,0.0,0.0,2596349
07/09/2019,15.12,15.04,14.97,15.3,0.0,0.0,2927898
07/08/2019,15.22,15.21,15.05,15.35,0.0,0.0,2617775
07/05/2019,15.38,15.32,15.025,15.42,0.0,0.0,2060392
07/03/2019,15,15.46,14.96,15.46,0.0,0.0,2367896
07/02/2019,15.25,14.93,14.84,15.25,0.0,0.0,3851151
07/01/2019,15.58,15.22,15.085,15.8401,0.0,0.0,3949642
06/28/2019,15.26,15.42,15.145,15.48,0.0,0.0,6961694
06/27/2019,15.51,15.19,15.1,15.64,0.0,0.0,3355338
06/26/2019,14.92,15.38,14.85,15.44,0.0,0.0,5184367
06/25/2019,14.76,14.85,14.67,15.16,0.0,0.0,6957072
06/24/2019,15.4,14.73,14.65,15.46,0.0,0.0,4270012
06/21/2019,15.06,15.36,14.875,15.5,0.0,0.0,6155005
06/20/2019,15.15,15.07,14.92,15.28,0.0,0.0,4060533
06/19/2019,14.84,15.03,14.65,15.04,0.0,0.0,3390222
06/18/2019,14.62,14.79,14.56,15.08,0.0,0.0,3914000
06/17/2019,14.5,14.54,14.27,14.75,0.0,0.0,3957391
06/14/2019,14.82,14.5,14.39,14.82,0.0,0.0,2929636
06/13/2019,14.62,14.86,14.47,14.87,0.0,0.0,3611331
06/12/2019,14.62,14.56,14.545,14.9,0.0,0.0,3042643
06/11/2019,14.54,14.6,14.5025,14.83,0.0,0.0,4266408
06/10/2019,14.6,14.38,14.35,14.895,0.0,0.0,4978523
06/07/2019,14.6,14.57,14.43,14.77,0.0,0.0,3452725
06/06/2019,14.76,14.67,14.3,15.05,0.0,0.0,3898350
06/05/2019,14.72,14.82,14.315,14.89,0.0,0.0,4683942
06/04/2019,13.91,14.63,13.91,14.68,0.0,0.0,5344953
06/03/2019,13.28,13.85,13.28,13.97,0.0,0.0,7397066
05/31/2019,13.26,13.42,13.04,13.49,0.0,0.0,9234949
05/30/2019,13.39,13.41,13.3,13.68,0.0,0.0,5169155
05/29/2019,14.18,13.65,13.41,14.3,0.0,0.0,9511234
05/28/2019,15.08,14.32,14.31,15.11,0.0,0.0,7318217
05/24/2019,15.24,15.05,15.01,15.41,0.0,0.0,2605195
05/23/2019,15.34,15.15,15.09,15.45,0.0,0.0,3669290
05/22/2019,15.44,15.5,15.33,15.72,0.0,0.0,4184913
05/21/2019,15.39,15.52,15.33,15.6175,0.0,0.0,3810979
05/20/2019,15.26,15.32,15.0315,15.33,0.0,0.0,4095470
05/17/2019,15.53,15.46,15.37,15.805,0.0,0.0,3270852
05/16/2019,15.64,15.54,15.505,15.92,0.0,0.0,3313726
05/15/2019,15.22,15.63,15.09,15.665,0.0,0.0,7097505
05/14/2019,15.25,15.28,15.08,15.495,0.0,0.0,4734196
05/13/2019,14.91,15.2,14.83,15.24,0.0,0.0,4768398
05/10/2019,15.32,15.32,14.93,15.42,0.0,0.0,4655071
05/09/2019,15.43,15.36,15.18,15.57,0.0,0.0,5227953
05/08/2019,15.9,15.53,15.5,16.05,0.0,0.0,5103305
05/07/2019,15.81,15.96,15.79,16.32,0.0,0.0,7224989
05/06/2019,16.12,15.98,15.83,16.255,0.0,0.0,8264315
05/03/2019,15.55,16.63,15.5,16.7,0.0,0.0,19595030
05/02/2019,14.33,14.65,14.33,14.73,0.0,0.0,7218167
05/01/2019,14.42,14.35,14.215,14.71,0.0,0.0,7448224
04/30/2019,14.39,14.38,14.19,14.5,0.0,0.0,7172972
04/29/2019,14.4,14.42,14.32,14.685,0.0,0.0,5651274
04/26/2019,13.64,14.32,13.64,14.39,0.0,0.0,7791765
04/25/2019,14.16,13.63,13.57,14.18,0.0,0.0,8404479
04/24/2019,14.21,14.23,14.05,14.35,0.0,0.0,5761799
04/23/2019,14.48,14.17,14.15,14.54,0.0,0.0,7703499
04/22/2019,15.16,14.41,14.395,15.24,0.0,0.0,10265440
04/18/2019,15.16,15.15,15.12,15.29,0.0,0.0,7221765
04/17/2019,15.25,15.16,15.115,15.3671,0.0,0.0,4274690
04/16/2019,15.19,15.18,15.03,15.26,0.0,0.0,5514821
