Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,262.87,263.7,261.25,270.901,0.0,0.0,15067
07/15/2019,261.28,263.23,259.67,265.51,0.0,0.0,10238
07/12/2019,262,263,262,266.7144,0.0,0.0,4847
07/11/2019,259.22,261.5,258,261.5,0.0,0.0,6706
07/10/2019,261.8,260.61,259.1,266.3,0.0,0.0,4910
07/09/2019,258,261.41,258,262.05,0.0,0.0,7855
07/08/2019,258,260.7,257.88,260.7,0.0,0.0,3917
07/05/2019,257.74,260.43,257.74,261.115,0.0,0.0,6856
07/03/2019,254.4734,258.26,254.4734,258.26,0.0,0.0,2579
07/02/2019,258,255.93,255,258.87,0.0,0.0,6027
07/01/2019,258.49,257,255.6,258.49,0.0,0.0,6444
06/28/2019,254.92,257,252.31,257,0.0,0.0,18609
06/27/2019,255.2,255.68,253.52,255.68,0.0,0.0,4261
06/26/2019,254.7906,254.42,254.2833,257.6,0.0,0.0,5045
06/25/2019,253.566,253.13,251.5,254.45,0.0,0.0,8025
06/24/2019,257.84,253.05,253.05,257.84,0.0,0.0,6776
06/21/2019,255.8,254.76,253.8,256.5,0.0,0.0,14185
06/20/2019,260.3,256.97,256.97,260.59,0.0,0.0,6343
06/19/2019,264.14,258.6,258.6,264.14,0.0,0.0,5523
06/18/2019,267.4,264.44,263.14,270.27,0.0,0.0,5610
06/17/2019,263,265.61,261.35,265.61,0.0,0.0,7724
06/14/2019,260,262.2,258.6,266.94,0.0,0.0,12123
06/13/2019,256.5,259.025,255.9,259.025,0.0,0.0,8645
06/12/2019,257.3,256.51,255.25,257.55,0.0,0.0,8762
06/11/2019,260.01,256.05,256.05,260.01,0.0,0.0,4981
06/10/2019,260.37,258.99,257.13,263.47,0.0,0.0,10052
06/07/2019,267.67,261.41,261.4,267.67,0.0,0.0,8717
06/06/2019,268.5,267.3,266.29,272.955,0.0,0.0,5493
06/05/2019,270.6,270.12,265.745,273.1,0.0,0.0,4698
06/04/2019,270.9,272.11,269.3,274.7485,0.0,0.0,11278
06/03/2019,268.125,269.69,265,271.755,0.0,0.0,8722
05/31/2019,270.62,266.64,266.64,273.815,0.0,0.0,6681
05/30/2019,274.1,275.4,273.51,275.9,0.0,0.0,8524
05/29/2019,274.99,273.46,264.75,275,0.0,0.0,5694
05/28/2019,274.3,276.22,272.25,276.39,0.0,0.0,11607
05/24/2019,269.23,274.01,269.23,275.22,0.0,0.0,5814
05/23/2019,273.2,271.32,270.0805,273.6,0.0,0.0,12701
05/22/2019,275.1,273.78,270.8,275.1,0.0,0.0,6609
05/21/2019,276.86,274.41,274.1,278.68,0.0,0.0,11843
05/20/2019,274.25,275.25,271.51,278.9,0.0,0.0,7329
05/17/2019,277.51,277.4,275.62,281.3,0.0,0.0,7687
05/16/2019,275.41,279.08,275.11,281.06,0.0,0.0,10296
05/15/2019,273.9,275.24,272.7,275.5,0.0,0.0,6824
05/14/2019,277.1,276.13,274.96,277.95,0.0,0.0,17148
05/13/2019,270.98,276.13,270.2969,276.13,0.0,0.0,6381
05/10/2019,270.14,274.55,269.3,274.99,0.0,0.0,7189
05/09/2019,269,266.11,264.87,269.7,0.0,0.0,6704
05/08/2019,268.86,268.22,268.22,272.595,0.0,0.0,10908
05/07/2019,267.5,269.53,267,270.83,0.0,0.0,8194
05/06/2019,264.25,268.56,264.25,269.9601,0.0,0.0,7764
05/03/2019,267.801,267.35,267.1,268,0.0,0.0,3412
05/02/2019,265.92,266.27,265.06,268.3401,0.0,0.0,7937
05/01/2019,273.91,266.06,266,273.91,0.0,0.0,5464
04/30/2019,269.88,266.72,266.08,270.3,0.0,0.0,7308
04/29/2019,258.77,268.22,258.77,271.33,0.0,0.0,10621
04/26/2019,256,257.42,256,258.89,0.0,0.0,4369
04/25/2019,260.25,255.22,252.49,262.375,0.0,0.0,13767
04/24/2019,259,259,257.35,261.25,0.0,0.0,8983
04/23/2019,260.55,257.32,256.1655,261.89,0.0,0.0,9133
04/22/2019,264.43,260.44,260.27,264.43,0.0,0.0,5726
04/18/2019,266.09,264.46,264.1,267.65,0.0,0.0,4895
04/17/2019,267.48,266.94,264.96,267.8,0.0,0.0,7168
04/16/2019,267.5,265.49,265.49,271,0.0,0.0,10544
