Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.24,6.27,6.23,6.29,0.0,0.0,1449927
07/15/2019,6.25,6.24,6.23,6.26,0.0,0.0,1194106
07/12/2019,6.22,6.23,6.215,6.265,0.0,0.0,1463887
07/11/2019,6.22,6.21,6.18,6.22,0.0,0.0,1201225
07/10/2019,6.18,6.19,6.16,6.22,0.0,0.0,1878716
07/09/2019,6.14,6.155,6.11,6.17,0.0,0.0,1687145
07/08/2019,6.23,6.18,6.16,6.25,0.0,0.0,1913170
07/05/2019,6.18,6.23,6.16,6.23,0.0,0.0,1175164
07/03/2019,6.15,6.17,6.14,6.2,0.0,0.0,954758
07/02/2019,6.18,6.12,6.1,6.21,0.0,0.0,1805603
07/01/2019,6.23,6.18,6.16,6.235,0.0,0.0,1807207
06/28/2019,6.16,6.2,6.155,6.24,0.0,0.0,7356034
06/27/2019,6.14,6.16,6.12,6.16,0.0,0.0,1341107
06/26/2019,6.15,6.12,6.11,6.175,0.0,0.0,1938542
06/25/2019,6.18,6.13,6.13,6.18,0.0,0.0,1260710
06/24/2019,6.2,6.17,6.16,6.21,0.0,0.0,1686954
06/21/2019,6.22,6.17,6.16,6.24,0.0,0.0,4049747
06/20/2019,6.4,6.43,6.38,6.44,0.0,0.0,2580159
06/19/2019,6.33,6.39,6.31,6.39,0.0,0.0,2208763
06/18/2019,6.34,6.31,6.26,6.34,0.0,0.0,1804068
06/17/2019,6.3,6.29,6.27,6.34,0.0,0.0,2605221
06/14/2019,6.27,6.27,6.26,6.3,0.0,0.0,1882093
06/13/2019,6.28,6.27,6.23,6.2899,0.0,0.0,1831767
06/12/2019,6.19,6.25,6.175,6.25,0.0,0.0,2486262
06/11/2019,6.17,6.17,6.12,6.19,0.0,0.0,1318000
06/10/2019,6.19,6.16,6.12,6.19,0.0,0.0,1447130
06/07/2019,6.19,6.17,6.12,6.1997,0.0,0.0,1295310
06/06/2019,6.17,6.18,6.14,6.19,0.0,0.0,1415563
06/05/2019,6.2,6.15,6.13,6.21,0.0,0.0,989107
06/04/2019,6.19,6.18,6.12,6.195,0.0,0.0,1501851
06/03/2019,6.05,6.14,6.05,6.15,0.0,0.0,1686472
05/31/2019,6.09,6.04,6.01,6.09,0.0,0.0,2330919
05/30/2019,6.15,6.1,6.09,6.18,0.0,0.0,1280103
05/29/2019,6.15,6.15,6.11,6.16,0.0,0.0,1509827
05/28/2019,6.2,6.16,6.14,6.2,0.0,0.0,1693184
05/24/2019,6.14,6.18,6.13,6.19,0.0,0.0,1211701
05/23/2019,6.1,6.12,6.0914,6.15,0.0,0.0,1656629
05/22/2019,6.11,6.11,6.08,6.13,0.0,0.0,1846871
05/21/2019,6.08,6.1,6.05,6.13,0.0,0.0,3202186
05/20/2019,6.08,6.06,6.05,6.08,0.0,0.0,1286952
05/17/2019,6.07,6.05,6.03,6.07,0.0,0.0,2933064
05/16/2019,6.06,6.07,6.05,6.08,0.0,0.0,1542593
05/15/2019,6.06,6.06,6.03,6.08,0.0,0.0,2168617
05/14/2019,6.06,6.06,6.04,6.07,0.0,0.0,2198613
05/13/2019,6.05,6.04,6.03,6.075,0.0,0.0,2503725
05/10/2019,6.02,6.07,6.02,6.07,0.0,0.0,4374589
05/09/2019,6,6.03,5.94,6.07,0.0,0.0,18635770
05/08/2019,6.28,6.24,6.225,6.3,0.0,0.0,2704197
05/07/2019,6.32,6.27,6.21,6.33,0.0,0.0,2708723
05/06/2019,6.27,6.3,6.27,6.32,0.0,0.0,1287114
05/03/2019,6.24,6.28,6.23,6.29,0.0,0.0,1139281
05/02/2019,6.26,6.24,6.2,6.27,0.0,0.0,1226991
05/01/2019,6.31,6.24,6.23,6.33,0.0,0.0,1894858
04/30/2019,6.28,6.3,6.23,6.3,0.0,0.0,1248769
04/29/2019,6.31,6.27,6.26,6.32,0.0,0.0,766353
04/26/2019,6.25,6.31,6.24,6.34,0.0,0.0,1281333
04/25/2019,6.3,6.24,6.2,6.3,0.0,0.0,1144689
04/24/2019,6.25,6.29,6.24,6.3,0.0,0.0,1007512
04/23/2019,6.22,6.26,6.21,6.28,0.0,0.0,1414098
04/22/2019,6.19,6.2,6.16,6.22,0.0,0.0,1114861
04/18/2019,6.19,6.19,6.17,6.21,0.0,0.0,998724
04/17/2019,6.18,6.18,6.155,6.18,0.0,0.0,908184
04/16/2019,6.11,6.18,6.1,6.18,0.0,0.0,1069890
