Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,5.35,5.34,5.32,5.37,0.0,0.0,188090
07/15/2019,5.34,5.34,5.3,5.36,0.0,0.0,378870
07/12/2019,5.33,5.34,5.31,5.34,0.0,0.0,372742
07/11/2019,5.36,5.32,5.3,5.365,0.0,0.0,551645
07/10/2019,5.38,5.36,5.33,5.39,0.0,0.0,388256
07/09/2019,5.39,5.38,5.37,5.43,0.0,0.0,163227
07/08/2019,5.43,5.39,5.37,5.43,0.0,0.0,298394
07/05/2019,5.47,5.44,5.41,5.48,0.0,0.0,537768
07/03/2019,5.48,5.49,5.45,5.5,0.0,0.0,206457
07/02/2019,5.39,5.45,5.39,5.46,0.0,0.0,215387
07/01/2019,5.46,5.39,5.39,5.49,0.0,0.0,341442
06/28/2019,5.41,5.42,5.38,5.44,0.0,0.0,359736
06/27/2019,5.31,5.38,5.31,5.43,0.0,0.0,316099
06/26/2019,5.33,5.4,5.31,5.43,0.0,0.0,495161
06/25/2019,5.4,5.33,5.32,5.4,0.0,0.0,280074
06/24/2019,5.45,5.39,5.375,5.45,0.0,0.0,209831
06/21/2019,5.36,5.44,5.36,5.47,0.0,0.0,633713
06/20/2019,5.45,5.38,5.35,5.45,0.0,0.0,438696
06/19/2019,5.45,5.42,5.39,5.47,0.0,0.0,438320
06/18/2019,5.5,5.43,5.41,5.5,0.0,0.0,239313
06/17/2019,5.48,5.48,5.38,5.49,0.0,0.0,353939
06/14/2019,5.48,5.47,5.42,5.5,0.0,0.0,288143
06/13/2019,5.37,5.43,5.37,5.43,0.0,0.0,811309
06/12/2019,5.45,5.44,5.44,5.47,0.0,0.0,503681
06/11/2019,5.52,5.46,5.45,5.52,0.0,0.0,289848
06/10/2019,5.48,5.51,5.47,5.51,0.0,0.0,208968
06/07/2019,5.43,5.45,5.37,5.48,0.0,0.0,445752
06/06/2019,5.42,5.44,5.39,5.46,0.0,0.0,238952
06/05/2019,5.42,5.42,5.37,5.45,0.0,0.0,229778
06/04/2019,5.39,5.42,5.37,5.44,0.0,0.0,264781
06/03/2019,5.3,5.39,5.285,5.4,0.0,0.0,366491
05/31/2019,5.37,5.32,5.3,5.37,0.0,0.0,416572
05/30/2019,5.45,5.36,5.34,5.47,0.0,0.0,622661
05/29/2019,5.49,5.45,5.44,5.51,0.0,0.0,191130
05/28/2019,5.55,5.52,5.51,5.56,0.0,0.0,315942
05/24/2019,5.54,5.55,5.514,5.58,0.0,0.0,280350
05/23/2019,5.62,5.54,5.47,5.62,0.0,0.0,538610
05/22/2019,5.65,5.63,5.61,5.67,0.0,0.0,134365
05/21/2019,5.64,5.65,5.62,5.67,0.0,0.0,212601
05/20/2019,5.67,5.65,5.62,5.69,0.0,0.0,308542
05/17/2019,5.73,5.66,5.62,5.75,0.0,0.0,789147
05/16/2019,5.57,5.71,5.55,5.75,0.0,0.0,1040426
05/15/2019,5.5,5.58,5.43,5.58,0.0,0.0,627149
05/14/2019,5.49,5.53,5.45,5.53,0.0,0.0,442939
05/13/2019,5.45,5.5,5.42,5.52,0.0,0.0,361595
05/10/2019,5.45,5.5,5.42,5.52,0.0,0.0,503019
05/09/2019,5.54,5.48,5.4,5.54,0.0,0.0,539326
05/08/2019,5.35,5.51,5.35,5.525,0.0,0.0,1400789
05/07/2019,5.22,5.27,5.22,5.28,0.0,0.0,277034
05/06/2019,5.23,5.25,5.1828,5.27,0.0,0.0,153769
05/03/2019,5.29,5.27,5.27,5.32,0.0,0.0,154288
05/02/2019,5.28,5.3,5.25,5.32,0.0,0.0,299493
05/01/2019,5.27,5.27,5.23,5.29,0.0,0.0,421631
04/30/2019,5.28,5.28,5.25,5.32,0.0,0.0,284714
04/29/2019,5.3,5.3,5.26,5.32,0.0,0.0,247751
04/26/2019,5.28,5.25,5.24,5.29,0.0,0.0,215973
04/25/2019,5.3,5.26,5.26,5.32,0.0,0.0,277097
04/24/2019,5.32,5.3,5.29,5.36,0.0,0.0,293991
04/23/2019,5.25,5.3,5.25,5.32,0.0,0.0,208057
04/22/2019,5.2,5.27,5.13,5.28,0.0,0.0,243499
04/18/2019,5.22,5.22,5.2,5.25,0.0,0.0,197271
04/17/2019,5.25,5.23,5.22,5.258,0.0,0.0,111636
04/16/2019,5.24,5.25,5.23,5.27,0.0,0.0,205645
