Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,23.6,23.48,23.48,23.6,0.0,0.0,3413
07/15/2019,23.21,23.2,23.2,23.21,0.0,0.0,458
07/12/2019,24.4,23.44,23.44,24.4,0.0,0.0,656
07/11/2019,23.08,23.7,23.08,23.765,0.0,0.0,6612
07/10/2019,23.5,23.5,23.5,23.5,0.0,0.0,167
07/09/2019,23.26,23.46,23.1,23.61,0.0,0.0,1213
07/08/2019,23.06,23.06,23.06,23.06,0.0,0.0,247
07/05/2019,23,23.46,23,23.51,0.0,0.0,3152
07/03/2019,23,23,23,23,0.0,0.0,00
07/02/2019,23.17,23,22.98,23.17,0.0,0.0,6452
07/01/2019,23.11,23,23,23.18,0.0,0.0,8709
06/28/2019,22.91,22.95,22.56,23.02,0.0,0.0,145307
06/27/2019,22.78,22.55,22.55,23.065,0.0,0.0,5238
06/26/2019,22.9,23.07,22.62,23.07,0.0,0.0,9212
06/25/2019,22.92,22.9,22.9,23.1,0.0,0.0,3462
06/24/2019,23.2,23.1,22.9,23.2,0.0,0.0,8119
06/21/2019,22.86,23.06,22.86,23.06,0.0,0.0,5774
06/20/2019,22.86,22.98,22.86,22.98,0.0,0.0,1656
06/19/2019,22.85,23.05,22.85,23.05,0.0,0.0,2657
06/18/2019,22.99,22.85,22.85,22.99,0.0,0.0,3432
06/17/2019,23,23.07,22.81,23.07,0.0,0.0,5095
06/14/2019,22.91,22.92,22.91,23.05,0.0,0.0,3279
06/13/2019,22.85,23.09,22.85,23.09,0.0,0.0,4400
06/12/2019,22.91,22.87,22.86,22.91,0.0,0.0,5057
06/11/2019,22.92,23.08,22.9,23.09,0.0,0.0,3886
06/10/2019,23.195,23.01,22.65,23.195,0.0,0.0,18316
06/07/2019,23.05,23.26,23.05,23.32,0.0,0.0,1524
06/06/2019,23.1,23.05,23.05,23.1,0.0,0.0,2814
06/05/2019,23.07,23.06,23.06,23.07,0.0,0.0,1428
06/04/2019,23.06,23.4,23.05,23.4,0.0,0.0,1506
06/03/2019,23.05,23.34,23.05,23.34,0.0,0.0,1773
05/31/2019,23.1,23.24,23.01,23.24,0.0,0.0,3141
05/30/2019,23.05,23.24,23.05,23.24,0.0,0.0,2049
05/29/2019,23.2,23.05,23.05,23.2,0.0,0.0,3749
05/28/2019,23.25,23.05,23.05,23.25,0.0,0.0,1467
05/24/2019,23.26,23.5,23.26,23.5,0.0,0.0,1410
05/23/2019,23.2,23.21,23.07,23.21,0.0,0.0,1734
05/22/2019,23.6,23.32,23.32,23.84,0.0,0.0,2606
05/21/2019,23.55,23.61,23.345,23.715,0.0,0.0,3844
05/20/2019,23.61,23.5,23.5,23.65,0.0,0.0,1711
05/17/2019,24.48,23.6,23.6,24.48,0.0,0.0,3358
05/16/2019,23.56,24.139,23.56,24.58,0.0,0.0,3167
05/15/2019,23.55,24.22,23.55,24.22,0.0,0.0,1782
05/14/2019,24.93,24.51,23.51,24.93,0.0,0.0,2591
05/13/2019,24.7,24.26,24.26,25.2,0.0,0.0,2705
05/10/2019,24.8243,24.75,24.75,24.8243,0.0,0.0,1312
05/09/2019,24.96,24.96,24.96,24.96,0.0,0.0,605
05/08/2019,25.01,25.01,25.01,25.01,0.0,0.0,543
05/07/2019,25.28,25.1,25.1,25.28,0.0,0.0,550
05/06/2019,25.81,25.57,25.57,26.19,0.0,0.0,2005
05/03/2019,25.85,25.82,25.21,25.85,0.0,0.0,1073
05/02/2019,26.19,25.26,25.02,26.19,0.0,0.0,3756
05/01/2019,26.12,26.12,26.12,26.12,0.0,0.0,469
04/30/2019,26.5,26.22,26.22,26.5,0.0,0.0,2049
04/29/2019,26.48,26.48,26.48,26.48,0.0,0.0,429
04/26/2019,26.53,27.09,26.371,27.09,0.0,0.0,2939
04/25/2019,27.06,26.18,26.18,27.06,0.0,0.0,439
04/24/2019,26.3,26.3,26.3,26.3,0.0,0.0,260
04/23/2019,27.08,27.08,27.08,27.08,0.0,0.0,559
04/22/2019,26.37,26.4,26.25,26.7989,0.0,0.0,1783
04/18/2019,26.02,26.44,26.02,27.03,0.0,0.0,843
04/17/2019,26.07,26.07,26.07,26.07,0.0,0.0,444
04/16/2019,26.12,26.14,26.12,26.14,0.0,0.0,620
