Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.77,11.8,11.75,11.95,0.0,0.0,36388
07/15/2019,12.01,11.875,11.8,12.1102,0.0,0.0,56966
07/12/2019,12.06,11.99,11.95,12.24,0.0,0.0,57299
07/11/2019,12.16,12.09,12.03,12.2759,0.0,0.0,20474
07/10/2019,12.28,12.16,12.13,12.28,0.0,0.0,35175
07/09/2019,12.12,12.14,12.12,12.23,0.0,0.0,15305
07/08/2019,12.31,12.23,12.14,12.31,0.0,0.0,21235
07/05/2019,12.2,12.26,12.2,12.35,0.0,0.0,32269
07/03/2019,12.03,12.2,12.03,12.3,0.0,0.0,21652
07/02/2019,12.19,12.03,12.03,12.29,0.0,0.0,35992
07/01/2019,12.03,12.27,12.03,12.48,0.0,0.0,51099
06/28/2019,12,12,12,12.46,0.0,0.0,67646
06/27/2019,12.07,12,11.81,12.0999,0.0,0.0,26165
06/26/2019,11.8,12,11.6311,12.16,0.0,0.0,52635
06/25/2019,12.32,11.87,11.83,12.32,0.0,0.0,66650
06/24/2019,12.3,12.35,12.3,12.4,0.0,0.0,38773
06/21/2019,12.4,12.4,12.31,12.4,0.0,0.0,38068
06/20/2019,12.56,12.4,12.2273,12.56,0.0,0.0,109023
06/19/2019,12.73,12.8,12.6,12.8,0.0,0.0,191742
06/18/2019,12.55,12.72,12.55,12.81,0.0,0.0,108156
06/17/2019,12.6,12.59,12.51,12.75,0.0,0.0,121655
06/14/2019,12.5,12.49,12.4,12.5,0.0,0.0,29904
06/13/2019,12.51,12.47,12.37,12.51,0.0,0.0,37488
06/12/2019,12.5,12.5,12.38,12.525,0.0,0.0,50756
06/11/2019,12.54,12.49,12.37,12.55,0.0,0.0,32181
06/10/2019,12.45,12.53,12.35,12.55,0.0,0.0,59009
06/07/2019,12.24,12.28,12.24,12.33,0.0,0.0,18719
06/06/2019,12.14,12.29,12.14,12.29,0.0,0.0,20499
06/05/2019,12.25,12.18,12.14,12.329,0.0,0.0,17922
06/04/2019,12.25,12.27,12.11,12.29,0.0,0.0,16891
06/03/2019,12.09,12.19,12.06,12.28,0.0,0.0,28771
05/31/2019,12.18,12.01,12,12.27,0.0,0.0,51333
05/30/2019,12.34,12.2,12.17,12.39,0.0,0.0,45180
05/29/2019,12.39,12.36,12.28,12.3992,0.0,0.0,27731
05/28/2019,12.39,12.35,12.33,12.3909,0.0,0.0,21759
05/24/2019,12.35,12.33,12.32,12.38,0.0,0.0,11134
05/23/2019,12.3,12.32,12.21,12.35,0.0,0.0,33720
05/22/2019,12.33,12.34,12.23,12.34,0.0,0.0,4030
05/21/2019,12.28,12.34,12.22,12.35,0.0,0.0,9190
05/20/2019,12.28,12.23,12.1,12.395,0.0,0.0,34930
05/17/2019,12.37,12.32,12.24,12.37,0.0,0.0,10743
05/16/2019,12.33,12.3,12.2066,12.35,0.0,0.0,15893
05/15/2019,12.32,12.33,12.25,12.48,0.0,0.0,18164
05/14/2019,12.44,12.3,12.3,12.44,0.0,0.0,58739
05/13/2019,12.38,12.44,12.1398,12.44,0.0,0.0,37218
05/10/2019,12.25,12.33,12.25,12.5,0.0,0.0,34540
05/09/2019,12.12,12.27,12.12,12.49,0.0,0.0,26770
05/08/2019,12.18,12.13,12.12,12.24,0.0,0.0,35636
05/07/2019,12.4,12.24,12.1,12.423,0.0,0.0,71358
05/06/2019,12.55,12.4,12.3,12.6399,0.0,0.0,74392
05/03/2019,12.8,12.57,12.55,12.8,0.0,0.0,49350
05/02/2019,12.52,12.64,12.5,12.64,0.0,0.0,40503
05/01/2019,12.5,12.5,12.42,12.53,0.0,0.0,30821
04/30/2019,12.46,12.47,12.31,12.485,0.0,0.0,35360
04/29/2019,12.55,12.47,12.41,12.6,0.0,0.0,39362
04/26/2019,12.46,12.51,12.4,12.51,0.0,0.0,43310
04/25/2019,12.5,12.45,12.25,12.51,0.0,0.0,43630
04/24/2019,12.29,12.43,12.29,12.47,0.0,0.0,56202
04/23/2019,12.15,12.28,12.12,12.33,0.0,0.0,33023
04/22/2019,12.18,12.16,12.12,12.22,0.0,0.0,24409
04/18/2019,12.2,12.12,12.12,12.201,0.0,0.0,19484
04/17/2019,12.27,12.21,12.1,12.27,0.0,0.0,23366
04/16/2019,12.28,12.23,12.16,12.33,0.0,0.0,30476
