Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,74.04,71.19,70.51,74.04,0.0,0.0,496023
07/15/2019,71.45,74.23,70.2518,75.375,0.0,0.0,1098205
07/12/2019,74.79,68.61,67.3,74.79,0.0,0.0,1827639
07/11/2019,86.27,75.11,72.27,86.59,0.0,0.0,3097936
07/10/2019,85.31,86.52,85.31,87.12,0.0,0.0,246112
07/09/2019,85.31,84.94,83.7,85.53,0.0,0.0,256367
07/08/2019,86.18,85.47,85.01,86.7,0.0,0.0,297804
07/05/2019,85.82,86.28,85,86.79,0.0,0.0,229455
07/03/2019,86.95,86.22,85.73,87.41,0.0,0.0,160527
07/02/2019,88.45,86.52,85.51,88.59,0.0,0.0,223235
07/01/2019,87.74,88.34,86.04,89.5,0.0,0.0,372084
06/28/2019,86.2,86.03,84.66,86.79,0.0,0.0,788260
06/27/2019,83.78,86.23,83.54,86.44,0.0,0.0,480825
06/26/2019,86.46,83.79,83.01,87.0722,0.0,0.0,372009
06/25/2019,88.29,86.39,85.82,88.9852,0.0,0.0,356414
06/24/2019,92.44,87.88,87.16,92.48,0.0,0.0,323796
06/21/2019,90.43,92.21,88.68,92.59,0.0,0.0,645607
06/20/2019,87.08,90.73,87,91.22,0.0,0.0,591320
06/19/2019,85.05,86.66,83.46,86.97,0.0,0.0,265341
06/18/2019,82.74,84.68,82.48,85.695,0.0,0.0,295448
06/17/2019,81.31,82.12,80.98,83.49,0.0,0.0,236368
06/14/2019,82.58,81.03,80.94,83.49,0.0,0.0,154324
06/13/2019,84,82.39,81.5601,84.05,0.0,0.0,188666
06/12/2019,83.48,83.44,82.3972,83.945,0.0,0.0,210018
06/11/2019,81.85,83.52,80.86,83.84,0.0,0.0,400183
06/10/2019,80.21,81.4,80.21,82.14,0.0,0.0,212705
06/07/2019,80.16,80.32,80.11,81.37,0.0,0.0,211234
06/06/2019,81.73,80.14,79.97,82.095,0.0,0.0,188278
06/05/2019,82.08,81.74,81.02,82.98,0.0,0.0,196507
06/04/2019,80.47,81.72,80.03,81.78,0.0,0.0,260563
06/03/2019,79.63,79.67,78.72,80.07,0.0,0.0,342619
05/31/2019,78.73,79.45,78.4707,79.935,0.0,0.0,183739
05/30/2019,79.64,79.76,78.97,80.9,0.0,0.0,173156
05/29/2019,80.32,79.29,78.38,80.4576,0.0,0.0,136972
05/28/2019,81.12,81.05,80.3701,82.48,0.0,0.0,215490
05/24/2019,80.04,81.1,79.72,81.26,0.0,0.0,160799
05/23/2019,80.97,79.57,79.17,81.49,0.0,0.0,234823
05/22/2019,81.33,81.75,79.82,81.94,0.0,0.0,122398
05/21/2019,80.66,81.78,80.095,82.24,0.0,0.0,341240
05/20/2019,79.99,80.25,79.23,81.06,0.0,0.0,225953
05/17/2019,80.42,80.23,79.92,81.14,0.0,0.0,200871
05/16/2019,82.03,81.18,80.825,82.68,0.0,0.0,261647
05/15/2019,81.36,81.95,80.9108,82.465,0.0,0.0,162860
05/14/2019,80.05,81.92,79.8761,82.09,0.0,0.0,256730
05/13/2019,81.2,80.01,79.56,81.38,0.0,0.0,238474
05/10/2019,81.64,82.41,80.55,82.63,0.0,0.0,277082
05/09/2019,81.51,81.79,80.78,82.66,0.0,0.0,249922
05/08/2019,81.62,82.29,81.16,83.41,0.0,0.0,244955
05/07/2019,83.11,81.62,80.51,83.94,0.0,0.0,300262
05/06/2019,81.76,83.79,80.46,83.98,0.0,0.0,298237
05/03/2019,82,83.07,81.65,84.41,0.0,0.0,241410
05/02/2019,80.05,81.86,79.63,81.97,0.0,0.0,223741
05/01/2019,80.55,80.49,79.3401,81.2499,0.0,0.0,508634
04/30/2019,80.99,80.36,78.98,81.84,0.0,0.0,461713
04/29/2019,78.27,81.03,76.795,81.51,0.0,0.0,542164
04/26/2019,80.05,78,76.93,82.65,0.0,0.0,720921
04/25/2019,76.77,77.37,75.91,79.08,0.0,0.0,483759
04/24/2019,75.29,77.45,75.02,79.365,0.0,0.0,551775
04/23/2019,72.88,75.29,72.58,75.88,0.0,0.0,653309
04/22/2019,71.49,72.1,70.83,72.3,0.0,0.0,360910
04/18/2019,71.53,71.38,70.391,72.91,0.0,0.0,451831
04/17/2019,77.64,71.67,70.06,77.64,0.0,0.0,673034
04/16/2019,81.4,77.81,77.43,81.98,0.0,0.0,258613
