Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.52,2.67,2.52,2.74,0.0,0.0,39248
07/15/2019,2.5,2.43,2.37,2.67,0.0,0.0,31031
07/12/2019,2.4723,2.57,2.4723,2.71,0.0,0.0,17716
07/11/2019,2.8,2.62,2.62,2.8,0.0,0.0,6218
07/10/2019,2.8,2.8,2.76,2.846,0.0,0.0,5718
07/09/2019,2.85,2.77,2.77,2.87,0.0,0.0,22957
07/08/2019,2.85,2.86,2.83,3.09,0.0,0.0,24889
07/05/2019,2.85,2.84,2.84,2.8799,0.0,0.0,20888
07/03/2019,2.97,2.84,2.7244,2.97,0.0,0.0,9182
07/02/2019,2.88,2.98,2.785,2.98,0.0,0.0,7982
07/01/2019,3.09,2.86,2.8,3.09,0.0,0.0,19381
06/28/2019,2.97,2.85,2.66,2.97,0.0,0.0,107355
06/27/2019,3.18,2.97,2.85,3.48,0.0,0.0,235470
06/26/2019,3.28,3.26,3.22,3.4425,0.0,0.0,16295
06/25/2019,3.73,3.28,3.25,3.73,0.0,0.0,25018
06/24/2019,4,3.74,3.42,4,0.0,0.0,55978
06/21/2019,3.57,3.75,3.1,3.75,0.0,0.0,53584
06/20/2019,3.35,3.57,3.34,3.8618,0.0,0.0,106437
06/19/2019,3.36,3.35,3.2661,3.36,0.0,0.0,1871
06/18/2019,3.37,3.39,3.2323,3.4,0.0,0.0,21489
06/17/2019,3.32,3.39,3.3,3.42,0.0,0.0,9902
06/14/2019,3.49,3.5,3.2701,3.5,0.0,0.0,16724
06/13/2019,3.6431,3.32,3.32,3.6431,0.0,0.0,11253
06/12/2019,3.42,3.35,3.3324,3.44,0.0,0.0,15938
06/11/2019,3.445,3.41,3.26,3.5,0.0,0.0,22971
06/10/2019,3.348,3.49,3.26,3.49,0.0,0.0,12265
06/07/2019,3.4,3.38,3.2261,3.42,0.0,0.0,9380
06/06/2019,3.51,3.42,3.4,3.52,0.0,0.0,5604
06/05/2019,3.51,3.52,3.2992,3.54,0.0,0.0,6687
06/04/2019,3.2436,3.54,3.18,3.6199,0.0,0.0,19298
06/03/2019,3.15,3.23,3.15,3.25,0.0,0.0,6045
05/31/2019,3.23,3.15,3.15,3.25,0.0,0.0,18354
05/30/2019,3.24,3.24,3.18,3.25,0.0,0.0,4500
05/29/2019,3.23,3.18,3.0854,3.28,0.0,0.0,18900
05/28/2019,3.28,3.27,3.1194,3.28,0.0,0.0,20332
05/24/2019,3.3739,3.18,3.1202,3.3739,0.0,0.0,19888
05/23/2019,3.62,3.27,3.2,3.62,0.0,0.0,64530
05/22/2019,3.58,3.51,3.5,3.6592,0.0,0.0,22751
05/21/2019,3.77,3.58,3.52,3.8,0.0,0.0,60526
05/20/2019,3.79,3.68,3.6381,3.87,0.0,0.0,31160
05/17/2019,3.72,3.77,3.579,3.9277,0.0,0.0,34651
05/16/2019,3.88,3.75,3.701,3.94,0.0,0.0,56033
05/15/2019,4.16,3.9,3.8014,4.16,0.0,0.0,14094
05/14/2019,4.19,4.16,3.8678,4.2,0.0,0.0,57296
05/13/2019,4.23,4.3,3.8,4.45,0.0,0.0,159319
05/10/2019,4.03,4.145,3.9,4.2399,0.0,0.0,29141
05/09/2019,4.19,4.09,4.06,4.19,0.0,0.0,14324
05/08/2019,4.19,4.2,4.14,4.3,0.0,0.0,73038
05/07/2019,4.17,4.13,4.05,4.2802,0.0,0.0,13691
05/06/2019,3.96,4.2,3.96,4.2999,0.0,0.0,79832
05/03/2019,4.02,4.07,4.02,4.2811,0.0,0.0,50029
05/02/2019,4,4.07,3.985,4.2,0.0,0.0,10048
05/01/2019,4.06,4.2,4.0323,4.2298,0.0,0.0,36491
04/30/2019,4,4,3.9,4.2391,0.0,0.0,48360
04/29/2019,3.93,4.03,3.9,4.3,0.0,0.0,84311
04/26/2019,4.02,3.97,3.8393,4.1,0.0,0.0,20621
04/25/2019,4.16,4.06,4.01,4.16,0.0,0.0,27979
04/24/2019,4.07,4.1,4,4.1,0.0,0.0,24766
04/23/2019,3.97,3.95,3.86,4.098,0.0,0.0,51169
04/22/2019,3.6601,3.92,3.6601,3.97,0.0,0.0,17140
04/18/2019,3.66,3.7817,3.6573,3.9517,0.0,0.0,33577
04/17/2019,3.93,3.68,3.65,3.93,0.0,0.0,38497
04/16/2019,3.94,3.88,3.73,4.0199,0.0,0.0,52004
