Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.196,0.196,0.196,0.196,0.0,0.0,00
07/15/2019,0.196,0.196,0.196,0.196,0.0,0.0,00
07/12/2019,0.196,0.196,0.196,0.196,0.0,0.0,00
07/11/2019,0.196,0.196,0.196,0.196,0.0,0.0,200
07/10/2019,0.28,0.28,0.28,0.28,0.0,0.0,00
07/09/2019,0.28,0.28,0.28,0.28,0.0,0.0,00
07/08/2019,0.28,0.28,0.28,0.28,0.0,0.0,100
07/05/2019,0.25,0.25,0.25,0.25,0.0,0.0,00
07/03/2019,0.25,0.25,0.25,0.25,0.0,0.0,00
07/02/2019,0.25,0.25,0.25,0.25,0.0,0.0,00
07/01/2019,0.118,0.25,0.118,0.28,0.0,0.0,700
06/28/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/27/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/26/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/25/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/24/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/21/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/20/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/19/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/18/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/17/2019,0.1927,0.1927,0.1927,0.1927,0.0,0.0,00
06/14/2019,0.104,0.1927,0.104,0.1927,0.0,0.0,400
06/13/2019,0.234,0.234,0.234,0.234,0.0,0.0,00
06/12/2019,0.234,0.234,0.234,0.234,0.0,0.0,00
06/11/2019,0.245,0.234,0.234,0.245,0.0,0.0,220
06/10/2019,0.35,0.35,0.35,0.35,0.0,0.0,687
06/07/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
06/06/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
06/05/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
06/04/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
06/03/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
05/31/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,162
05/30/2019,0.1204,0.1204,0.1204,0.1204,0.0,0.0,00
05/29/2019,0.12,0.1204,0.1008,0.1204,0.0,0.0,1073
05/28/2019,0.1363,0.1363,0.1363,0.1363,0.0,0.0,00
05/24/2019,0.11,0.1363,0.11,0.1363,0.0,0.0,503
05/23/2019,0.1,0.1004,0.1,0.1004,0.0,0.0,416
05/22/2019,0.4389,0.4389,0.4389,0.4389,0.0,0.0,200
05/21/2019,0.0511,0.0511,0.0511,0.0511,0.0,0.0,00
05/20/2019,0.0511,0.0511,0.0511,0.0511,0.0,0.0,00
05/17/2019,0.0511,0.0511,0.0511,0.0511,0.0,0.0,00
05/16/2019,0.0511,0.0511,0.0511,0.0511,0.0,0.0,00
05/15/2019,0.0511,0.0511,0.0511,0.0511,0.0,0.0,120
05/14/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
05/13/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
05/10/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
05/09/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
05/08/2019,0.26,0.26,0.26,0.26,0.0,0.0,200
05/07/2019,0.0936,0.2,0.0936,0.2291,0.0,0.0,2736
05/06/2019,0.06,0.06,0.06,0.06,0.0,0.0,00
05/03/2019,0.06,0.06,0.06,0.06,0.0,0.0,1165
05/02/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
05/01/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
04/30/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
04/29/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
04/26/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
04/25/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
04/24/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,00
04/23/2019,0.3988,0.3988,0.3988,0.3988,0.0,0.0,1525
04/22/2019,0.4,0.4,0.4,0.4,0.0,0.0,2050
04/18/2019,0.0911,0.0914,0.0911,0.0914,0.0,0.0,200
04/17/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
04/16/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
