Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,15.23,15.57,15.0901,15.81,0.0,0.0,46031
07/15/2019,16.08,15.32,15.07,16.08,0.0,0.0,65504
07/12/2019,15.81,15.94,15.1,16.01,0.0,0.0,105008
07/11/2019,16,15.84,15.64,16.26,0.0,0.0,118960
07/10/2019,16.12,15.98,15.5,16.24,0.0,0.0,107643
07/09/2019,16.08,16.09,15.76,16.3,0.0,0.0,39474
07/08/2019,15.97,15.96,15.52,16.155,0.0,0.0,58150
07/05/2019,16.25,16.05,14.89,16.49,0.0,0.0,139294
07/03/2019,16,16.21,15.71,16.39,0.0,0.0,45749
07/02/2019,16.49,16.07,15.5326,16.49,0.0,0.0,161984
07/01/2019,16.35,16.51,16.19,16.57,0.0,0.0,177163
06/28/2019,15.44,16.2,15.35,16.29,0.0,0.0,1612948
06/27/2019,15.06,15.41,15.06,15.54,0.0,0.0,123213
06/26/2019,14.62,15.01,14.62,15.51,0.0,0.0,96444
06/25/2019,14.79,14.7,14.62,15.02,0.0,0.0,70154
06/24/2019,15.21,14.88,14.63,15.54,0.0,0.0,75550
06/21/2019,15.26,15.05,15.03,15.93,0.0,0.0,342089
06/20/2019,15.64,15.24,14.66,15.64,0.0,0.0,70409
06/19/2019,14.61,15.47,14.5941,15.5,0.0,0.0,97073
06/18/2019,14.49,14.62,14.12,14.85,0.0,0.0,112201
06/17/2019,14.2,14.54,14,14.91,0.0,0.0,131332
06/14/2019,14.41,14.26,13.565,14.7,0.0,0.0,55786
06/13/2019,14.12,14.3,13.96,14.8,0.0,0.0,92037
06/12/2019,13.49,13.96,13.17,14.01,0.0,0.0,93829
06/11/2019,13.3,13.62,12.875,13.98,0.0,0.0,124113
06/10/2019,13.35,13.31,12.77,13.76,0.0,0.0,146443
06/07/2019,13.35,13.18,12.935,13.65,0.0,0.0,169633
06/06/2019,12.9,13.31,12.9,13.5,0.0,0.0,193056
06/05/2019,13,12.72,12.67,13.38,0.0,0.0,615789
06/04/2019,14.12,13.33,12.94,14.23,0.0,0.0,73545
06/03/2019,15.36,14.05,13.86,15.63,0.0,0.0,54741
05/31/2019,15.44,15.39,14.75,15.925,0.0,0.0,57356
05/30/2019,15.8,15.51,14.21,16.4,0.0,0.0,138078
05/29/2019,16.21,15.6,15.33,16.67,0.0,0.0,50819
05/28/2019,15.89,16.04,15.64,16.5,0.0,0.0,47917
05/24/2019,15.32,15.84,14.63,16.02,0.0,0.0,19898
05/23/2019,15.6,15.1,14.8,16.2,0.0,0.0,25549
05/22/2019,16.6,15.66,15.05,16.6,0.0,0.0,34879
05/21/2019,16.71,16.62,15.8991,16.71,0.0,0.0,82315
05/20/2019,15.11,16.48,15.04,16.75,0.0,0.0,149929
05/17/2019,15.6,15.63,12.48,16.08,0.0,0.0,98523
05/16/2019,15.6,15.45,14.6,15.79,0.0,0.0,145579
05/15/2019,14.5,15.6,14.2,16.14,0.0,0.0,104726
05/14/2019,13.63,14.7,13.15,14.73,0.0,0.0,112646
05/13/2019,13.66,13.75,13.303,13.75,0.0,0.0,36277
05/10/2019,13.65,13.57,13.33,13.92,0.0,0.0,110070
05/09/2019,12,13.27,12,14.04,0.0,0.0,386861
05/08/2019,11.445,11.48,10.8,11.49,0.0,0.0,55485
05/07/2019,10.55,11.2,10.55,11.46,0.0,0.0,9021
05/06/2019,10.63,10.81,10.5,11.25,0.0,0.0,17948
05/03/2019,10.44,10.7,10.44,11.5,0.0,0.0,37359
05/02/2019,11.28,10.43,10.43,11.87,0.0,0.0,52925
05/01/2019,11.1,11.49,10.96,11.74,0.0,0.0,16635
04/30/2019,11.24,11.2,10.8,11.98,0.0,0.0,41254
04/29/2019,11.23,11.37,11.2,11.405,0.0,0.0,14589
04/26/2019,11.29,11.17,10.89,11.67,0.0,0.0,23415
04/25/2019,10.75,10.8,10.0001,11.17,0.0,0.0,55679
04/24/2019,11.45,10.76,10.28,11.71,0.0,0.0,52710
04/23/2019,12.1,11.51,11.3,12.198,0.0,0.0,40330
04/22/2019,12.02,12.12,11.8601,12.18,0.0,0.0,13936
04/18/2019,11.89,12.1,11.86,12.5292,0.0,0.0,11925
04/17/2019,11.93,11.95,11.89,12.205,0.0,0.0,40697
04/16/2019,12.3,11.95,11.9,12.4,0.0,0.0,47897
