Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.9,6.31,6.3,7.023,0.0,0.0,72633
07/15/2019,7.86,6.82,6.62,7.86,0.0,0.0,88561
07/12/2019,7.87,7.74,7.7101,7.93,0.0,0.0,21353
07/11/2019,7.95,7.93,7.6,8,0.0,0.0,20335
07/10/2019,8.02,7.96,7.84,8.05,0.0,0.0,11078
07/09/2019,8.01,8.05,7.63,8.1,0.0,0.0,20728
07/08/2019,7.92,7.99,7.79,8.04,0.0,0.0,25360
07/05/2019,7.66,7.91,7.62,8.25,0.0,0.0,33827
07/03/2019,8.03,7.75,7.7,8.03,0.0,0.0,14064
07/02/2019,7.94,8.09,7.7138,8.15,0.0,0.0,32530
07/01/2019,7.67,8,7.67,8.35,0.0,0.0,97386
06/28/2019,7.37,7.6,7.2662,7.89,0.0,0.0,1122066
06/27/2019,7.29,7.43,7.2101,7.48,0.0,0.0,33381
06/26/2019,7.28,7.35,7.0851,7.35,0.0,0.0,27729
06/25/2019,7.22,7.34,7.15,7.4,0.0,0.0,10325
06/24/2019,7.04,7.21,7.0012,7.31,0.0,0.0,22790
06/21/2019,7.38,7.14,6.99,7.38,0.0,0.0,32201
06/20/2019,7.48,7.18,7.18,7.57,0.0,0.0,105320
06/19/2019,7.37,7.39,7.37,7.46,0.0,0.0,22107
06/18/2019,7.41,7.35,7.1601,7.46,0.0,0.0,20215
06/17/2019,7.28,7.4,7.23,7.49,0.0,0.0,31595
06/14/2019,6.9305,7.33,6.9305,7.4,0.0,0.0,25459
06/13/2019,7.15,7.27,7.1317,7.45,0.0,0.0,28933
06/12/2019,7.4606,7.3,7.26,7.4606,0.0,0.0,42527
06/11/2019,7.37,7.31,7.28,7.4999,0.0,0.0,117033
06/10/2019,7.12,7.3,7.0804,7.4,0.0,0.0,36899
06/07/2019,7.01,7.07,6.8992,7.51,0.0,0.0,28591
06/06/2019,6.7,7.15,6.6397,7.25,0.0,0.0,44125
06/05/2019,6.66,6.69,6.6,6.87,0.0,0.0,25723
06/04/2019,6.86,6.58,6.3801,6.86,0.0,0.0,54519
06/03/2019,6.7,6.79,6.65,6.9799,0.0,0.0,32047
05/31/2019,7.04,6.75,6.64,7.19,0.0,0.0,40612
05/30/2019,6.93,7.1,6.93,7.1,0.0,0.0,24280
05/29/2019,6.97,6.94,6.895,7,0.0,0.0,15808
05/28/2019,6.9,7.08,6.85,7.09,0.0,0.0,57515
05/24/2019,7.14,6.91,6.72,7.25,0.0,0.0,31965
05/23/2019,7.15,7.13,6.9,7.15,0.0,0.0,49256
05/22/2019,7.14,7.08,7,7.25,0.0,0.0,19045
05/21/2019,6.86,7.13,6.86,7.24,0.0,0.0,54497
05/20/2019,6.97,6.86,6.86,7.0155,0.0,0.0,17324
05/17/2019,6.95,6.97,6.76,7.169,0.0,0.0,52061
05/16/2019,7.09,6.99,6.92,7.195,0.0,0.0,24954
05/15/2019,6.94,7.09,6.89,7.1975,0.0,0.0,34777
05/14/2019,6.97,7,6.85,7.13,0.0,0.0,42414
05/13/2019,6.9,6.99,6.8,7.05,0.0,0.0,58847
05/10/2019,7.09,7.01,6.761,7.295,0.0,0.0,74994
05/09/2019,6.92,7.02,6.6301,7.4,0.0,0.0,107708
05/08/2019,7.09,7,7,7.2499,0.0,0.0,33937
05/07/2019,7.45,7.07,7.07,7.59,0.0,0.0,33825
05/06/2019,7.53,7.45,7.4201,7.7,0.0,0.0,35424
05/03/2019,7.85,7.5,7.3,7.879,0.0,0.0,61703
05/02/2019,7.13,7.89,7.08,8.05,0.0,0.0,96580
05/01/2019,7.32,7.05,6.96,7.32,0.0,0.0,51074
04/30/2019,7,6.98,6.92,7.08,0.0,0.0,67280
04/29/2019,7,6.98,6.95,7.1,0.0,0.0,86027
04/26/2019,7.04,7,6.9198,7.09,0.0,0.0,35007
04/25/2019,7.06,6.99,6.831,7.1247,0.0,0.0,45929
04/24/2019,7.16,7.06,7.06,7.33,0.0,0.0,44079
04/23/2019,7.51,7.13,7.11,7.64,0.0,0.0,59159
04/22/2019,7.7,7.5,7.5,7.73,0.0,0.0,62034
04/18/2019,8,7.81,7.62,8,0.0,0.0,32549
04/17/2019,8.2,7.83,7.7758,8.2,0.0,0.0,40023
04/16/2019,8.1,7.9,7.84,8.2699,0.0,0.0,38757
