Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,42.76,42.44,42.38,42.82,0.0,0.0,543589
07/15/2019,42.46,42.75,42.29,42.78,0.0,0.0,421035
07/12/2019,43.04,42.5,42.36,43.12,0.0,0.0,496812
07/11/2019,42.99,42.95,42.7,43.14,0.0,0.0,595059
07/10/2019,42.56,42.56,42.4,43.09,0.0,0.0,934323
07/09/2019,41.79,42.45,41.63,42.88,0.0,0.0,658147
07/08/2019,41.79,41.83,41.52,41.94,0.0,0.0,429282
07/05/2019,42.33,42,41.63,42.34,0.0,0.0,420534
07/03/2019,41.99,42.33,41.98,42.41,0.0,0.0,192869
07/02/2019,41.38,41.88,41.36,41.96,0.0,0.0,431794
07/01/2019,41.52,41.36,41.2,41.6,0.0,0.0,470681
06/28/2019,41.32,41.2,41.06,41.44,0.0,0.0,777135
06/27/2019,41.18,41.19,41.04,41.57,0.0,0.0,629711
06/26/2019,41.15,41.03,40.67,41.22,0.0,0.0,633650
06/25/2019,41.64,40.89,40.86,41.75,0.0,0.0,677878
06/24/2019,41.35,41.67,41.21,41.95,0.0,0.0,1039468
06/21/2019,41.28,41.14,41.025,41.51,0.0,0.0,4986087
06/20/2019,41.92,41.57,41.42,42.34,0.0,0.0,1655156
06/19/2019,41.39,41.34,40.835,41.39,0.0,0.0,912200
06/18/2019,41.14,41.23,40.87,41.3,0.0,0.0,879206
06/17/2019,41.36,40.84,40.64,41.44,0.0,0.0,1287713
06/14/2019,41.12,41.26,41,41.31,0.0,0.0,473464
06/13/2019,41.48,41.36,41.18,41.5,0.0,0.0,446880
06/12/2019,41.05,41.27,40.875,41.35,0.0,0.0,347591
06/11/2019,41.57,40.99,40.63,41.57,0.0,0.0,350575
06/10/2019,41.42,41.28,41.2,41.57,0.0,0.0,382184
06/07/2019,40.92,41.11,40.92,41.35,0.0,0.0,490605
06/06/2019,40.31,40.75,40.23,40.805,0.0,0.0,659030
06/05/2019,39.89,40.11,39.5,40.21,0.0,0.0,359314
06/04/2019,39.3,39.59,38.88,39.6,0.0,0.0,536947
06/03/2019,39.8,39,38.811,39.87,0.0,0.0,662396
05/31/2019,39.54,39.72,39.3805,39.93,0.0,0.0,414574
05/30/2019,39.88,39.76,39.635,39.9,0.0,0.0,297467
05/29/2019,40.4,39.9,39.84,40.58,0.0,0.0,584017
05/28/2019,40.62,40.57,40.53,40.95,0.0,0.0,403768
05/24/2019,40.59,40.47,40.45,40.89,0.0,0.0,322780
05/23/2019,40.74,40.35,40.11,40.7943,0.0,0.0,549334
05/22/2019,40.8,41.03,40.77,41.13,0.0,0.0,602853
05/21/2019,40.79,40.94,40.7,41.04,0.0,0.0,426615
05/20/2019,40.65,40.43,40.31,40.72,0.0,0.0,427172
05/17/2019,40.13,40.8,39.97,40.98,0.0,0.0,733049
05/16/2019,39.93,40.3,39.8158,40.41,0.0,0.0,1365408
05/15/2019,39.66,39.93,39.66,40.15,0.0,0.0,659309
05/14/2019,39.61,39.72,39.49,39.88,0.0,0.0,568575
05/13/2019,39.8,39.59,39.51,40.09,0.0,0.0,546833
05/10/2019,40.21,40.35,39.61,40.49,0.0,0.0,495091
05/09/2019,39.79,40.22,39.69,40.39,0.0,0.0,590898
05/08/2019,39.4,40.24,39.2379,40.46,0.0,0.0,655407
05/07/2019,40.1,39.32,39.2,40.1,0.0,0.0,485362
05/06/2019,39.53,40.2,39.52,40.26,0.0,0.0,429596
05/03/2019,39.75,40.29,39.75,40.32,0.0,0.0,787143
05/02/2019,39.5,39.75,38.59,40.34,0.0,0.0,861358
05/01/2019,38.57,38.44,38.27,38.675,0.0,0.0,647843
04/30/2019,38.39,38.45,38.14,38.64,0.0,0.0,649992
04/29/2019,38.42,38.27,38.02,38.43,0.0,0.0,542677
04/26/2019,38.33,38.42,37.93,38.43,0.0,0.0,260862
04/25/2019,38.15,38.35,38,38.38,0.0,0.0,263751
04/24/2019,38.31,38.14,38.08,38.43,0.0,0.0,270828
04/23/2019,37.99,38.12,37.84,38.15,0.0,0.0,520327
04/22/2019,38.03,37.94,37.85,38.27,0.0,0.0,307633
04/18/2019,38.06,38.08,37.5,38.12,0.0,0.0,367409
04/17/2019,38.96,38.05,37.91,38.96,0.0,0.0,440841
04/16/2019,38.78,38.71,38.635,39.29,0.0,0.0,579475
