Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.57,2.37,2.37,2.6,0.0,0.0,216446
07/15/2019,2.59,2.57,2.51,2.65,0.0,0.0,158936
07/12/2019,2.77,2.56,2.56,2.78,0.0,0.0,264901
07/11/2019,2.79,2.77,2.76,2.95,0.0,0.0,496138
07/10/2019,2.75,2.8,2.7,2.83,0.0,0.0,391209
07/09/2019,2.67,2.71,2.6402,2.78,0.0,0.0,166611
07/08/2019,2.72,2.71,2.59,2.84,0.0,0.0,418275
07/05/2019,2.6,2.71,2.55,2.76,0.0,0.0,545214
07/03/2019,2.41,2.59,2.08,2.6,0.0,0.0,589908
07/02/2019,2.37,2.52,2.35,2.8,0.0,0.0,4256784
07/01/2019,1.91,2.31,1.9,2.39,0.0,0.0,1278908
06/28/2019,1.88,1.85,1.77,1.88,0.0,0.0,1484081
06/27/2019,1.85,1.84,1.78,1.87,0.0,0.0,252276
06/26/2019,1.83,1.78,1.775,1.91,0.0,0.0,171294
06/25/2019,1.78,1.82,1.7401,1.83,0.0,0.0,98528
06/24/2019,1.84,1.76,1.71,1.84,0.0,0.0,153346
06/21/2019,1.83,1.81,1.75,1.83,0.0,0.0,164349
06/20/2019,1.78,1.88,1.76,1.95,0.0,0.0,270926
06/19/2019,1.91,1.78,1.75,1.91,0.0,0.0,294647
06/18/2019,1.75,1.93,1.75,1.95,0.0,0.0,452134
06/17/2019,1.78,1.69,1.67,1.79,0.0,0.0,138168
06/14/2019,1.75,1.77,1.6894,1.78,0.0,0.0,132770
06/13/2019,1.66,1.74,1.5911,1.76,0.0,0.0,167889
06/12/2019,1.62,1.64,1.53,1.67,0.0,0.0,163857
06/11/2019,1.66,1.64,1.601,1.68,0.0,0.0,56627
06/10/2019,1.62,1.65,1.58,1.675,0.0,0.0,142704
06/07/2019,1.6,1.6,1.555,1.61,0.0,0.0,164051
06/06/2019,1.63,1.61,1.53,1.65,0.0,0.0,121243
06/05/2019,1.69,1.6,1.6,1.69,0.0,0.0,103030
06/04/2019,1.7,1.68,1.63,1.7,0.0,0.0,124218
06/03/2019,1.62,1.68,1.5755,1.685,0.0,0.0,250011
05/31/2019,1.58,1.6,1.5522,1.61,0.0,0.0,155149
05/30/2019,1.7,1.59,1.58,1.7,0.0,0.0,132844
05/29/2019,1.62,1.69,1.55,1.7,0.0,0.0,244717
05/28/2019,1.71,1.61,1.6,1.73,0.0,0.0,169611
05/24/2019,1.67,1.7,1.66,1.77,0.0,0.0,198726
05/23/2019,1.61,1.65,1.6,1.67,0.0,0.0,201339
05/22/2019,1.71,1.64,1.64,1.72,0.0,0.0,239204
05/21/2019,1.72,1.72,1.695,1.76,0.0,0.0,144562
05/20/2019,1.75,1.73,1.6836,1.76,0.0,0.0,123780
05/17/2019,1.75,1.75,1.72,1.79,0.0,0.0,227008
05/16/2019,1.73,1.75,1.67,1.78,0.0,0.0,392751
05/15/2019,1.66,1.74,1.61,1.77,0.0,0.0,272601
05/14/2019,1.68,1.66,1.56,1.6891,0.0,0.0,550545
05/13/2019,1.73,1.66,1.63,1.75,0.0,0.0,329935
05/10/2019,1.7,1.71,1.64,1.73,0.0,0.0,517616
05/09/2019,1.84,1.71,1.68,1.84,0.0,0.0,810415
05/08/2019,1.89,1.84,1.79,1.89,0.0,0.0,717447
05/07/2019,2.05,1.89,1.8,2.08,0.0,0.0,2106518
05/06/2019,2,2.14,1.96,2.25,0.0,0.0,8717783
05/03/2019,1.82,1.83,1.75,1.839,0.0,0.0,450980
05/02/2019,1.87,1.79,1.72,1.8799,0.0,0.0,521320
05/01/2019,2.04,1.85,1.75,2.04,0.0,0.0,1418607
04/30/2019,2.07,2.04,1.9,2.13,0.0,0.0,1059048
04/29/2019,1.95,2.05,1.9413,2.12,0.0,0.0,1115140
04/26/2019,1.95,1.93,1.89,1.95,0.0,0.0,213109
04/25/2019,1.96,1.95,1.9,1.96,0.0,0.0,213949
04/24/2019,1.98,1.95,1.88,1.98,0.0,0.0,411690
04/23/2019,1.83,1.96,1.83,1.98,0.0,0.0,1674653
04/22/2019,1.8,1.8,1.76,1.88,0.0,0.0,664412
04/18/2019,1.78,1.77,1.7,1.82,0.0,0.0,401832
04/17/2019,1.85,1.79,1.75,1.9105,0.0,0.0,1267565
04/16/2019,1.83,1.83,1.77,1.87,0.0,0.0,277701
