Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,30.36,30.39,30.1011,30.89,0.0,0.0,78214
07/15/2019,30.73,30.38,30.11,30.73,0.0,0.0,118644
07/12/2019,30.35,30.51,30.08,30.71,0.0,0.0,90501
07/11/2019,30.4,30.36,29.55,30.73,0.0,0.0,190573
07/10/2019,31.39,30.35,30.25,31.905,0.0,0.0,138091
07/09/2019,32.23,31.42,31.19,32.54,0.0,0.0,330968
07/08/2019,32.25,32.31,31.85,32.58,0.0,0.0,124867
07/05/2019,31.93,32.32,31.93,32.58,0.0,0.0,257625
07/03/2019,31.95,32.13,31.85,32.53,0.0,0.0,85648
07/02/2019,31.43,31.98,31.42,32.09,0.0,0.0,127104
07/01/2019,32.12,31.62,30.98,32.68,0.0,0.0,433442
06/28/2019,31.55,31.77,31.2,31.99,0.0,0.0,237660
06/27/2019,31.43,31.5,31.38,32.28,0.0,0.0,151852
06/26/2019,30.82,31.39,30.58,31.83,0.0,0.0,116824
06/25/2019,30.56,30.75,29.94,30.985,0.0,0.0,154488
06/24/2019,30.29,30.64,29.76,31.06,0.0,0.0,141663
06/21/2019,29.83,30.16,29.345,30.612,0.0,0.0,280635
06/20/2019,30.03,30.01,29.51,30.23,0.0,0.0,132687
06/19/2019,29.66,29.89,29.06,30.04,0.0,0.0,89199
06/18/2019,29.02,29.57,28.74,29.88,0.0,0.0,79121
06/17/2019,29.07,28.93,28.82,29.51,0.0,0.0,62410
06/14/2019,29.15,29.01,28.74,29.35,0.0,0.0,71911
06/13/2019,29.49,29.18,28.97,29.6,0.0,0.0,95814
06/12/2019,28.09,29.4,27.95,29.8,0.0,0.0,138052
06/11/2019,29.51,28.03,27.315,29.71,0.0,0.0,476233
06/10/2019,30.06,29.9,29.87,30.66,0.0,0.0,68296
06/07/2019,29.7,29.96,29.58,30.07,0.0,0.0,85892
06/06/2019,30.04,29.53,29.28,30.21,0.0,0.0,181873
06/05/2019,30.01,29.96,29.71,30.18,0.0,0.0,109239
06/04/2019,29.71,29.9,29.45,30.1,0.0,0.0,250634
06/03/2019,29.46,29.67,29.42,30.58,0.0,0.0,278330
05/31/2019,29.54,29.58,28.88,30.13,0.0,0.0,142436
05/30/2019,29.78,29.82,29.48,30.05,0.0,0.0,147744
05/29/2019,29.64,29.81,28.3786,29.94,0.0,0.0,117766
05/28/2019,29.86,29.86,29.455,30.17,0.0,0.0,150662
05/24/2019,29.86,29.74,29.67,30.565,0.0,0.0,210042
05/23/2019,29.33,29.77,28.93,29.84,0.0,0.0,267866
05/22/2019,29.28,29.53,29.115,29.725,0.0,0.0,454811
05/21/2019,29.24,29.3,29.06,29.545,0.0,0.0,124976
05/20/2019,28.66,29.14,28.63,29.2725,0.0,0.0,108247
05/17/2019,28.72,28.88,28.65,29.13,0.0,0.0,134806
05/16/2019,28.55,28.95,28.26,28.985,0.0,0.0,306501
05/15/2019,28.58,28.46,28.433,29.08,0.0,0.0,108305
05/14/2019,28.7,28.6,28.48,29,0.0,0.0,167300
05/13/2019,29.52,28.59,28.48,29.52,0.0,0.0,126180
05/10/2019,31.05,29.87,28.81,31.05,0.0,0.0,213582
05/09/2019,31.84,31.1,30.74,31.84,0.0,0.0,368908
05/08/2019,28.91,30.86,28.8,31.55,0.0,0.0,518460
05/07/2019,32.19,28.99,28.6604,32.885,0.0,0.0,1007337
05/06/2019,35.62,36.85,35.53,36.9786,0.0,0.0,206130
05/03/2019,35.54,36.09,34.51,36.16,0.0,0.0,354006
05/02/2019,34.82,35.55,33.76,35.67,0.0,0.0,242377
05/01/2019,34.75,34.76,34.23,35,0.0,0.0,256759
04/30/2019,33.76,34.71,33.46,34.82,0.0,0.0,393105
04/29/2019,33.63,33.77,33.585,33.99,0.0,0.0,233728
04/26/2019,33.49,33.51,33.25,33.77,0.0,0.0,244050
04/25/2019,33.15,33.43,32.55,33.57,0.0,0.0,83064
04/24/2019,33.09,33.17,33,33.37,0.0,0.0,83573
04/23/2019,33.38,33.09,33.03,33.82,0.0,0.0,93949
04/22/2019,33.1,33.37,32.84,33.37,0.0,0.0,56330
04/18/2019,33.16,33.34,32.76,33.54,0.0,0.0,53187
04/17/2019,33.7,33.25,32.57,33.7,0.0,0.0,119146
04/16/2019,33.63,33.6,33.355,33.87,0.0,0.0,105729
