Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,17.01,17.01,17.01,17.01,0.0,0.0,00
07/15/2019,17,17.01,16.9,17.01,0.0,0.0,1382
07/12/2019,17.79,16.8,16.8,17.79,0.0,0.0,2405
07/11/2019,17.1,17.11,17.1,17.49,0.0,0.0,749
07/10/2019,17.12,17.1,17.08,17.2,0.0,0.0,1869
07/09/2019,17.8,17.1,17.1,17.8,0.0,0.0,468
07/08/2019,17.12,17.12,17.12,17.12,0.0,0.0,00
07/05/2019,17.12,17.12,17.12,17.12,0.0,0.0,00
07/03/2019,17.12,17.12,17.12,17.12,0.0,0.0,00
07/02/2019,17.83,17.12,17.1,17.83,0.0,0.0,1612
07/01/2019,17.06,17.4,17.06,18.19,0.0,0.0,1471
06/28/2019,17.53,16.97,16.97,17.79,0.0,0.0,9388
06/27/2019,17.93,17.35,17.11,17.93,0.0,0.0,1353
06/26/2019,18.55,17.25,17.25,18.55,0.0,0.0,4610
06/25/2019,18.49,18.31,18.14,18.99,0.0,0.0,687
06/24/2019,18.31,18.31,18.31,18.31,0.0,0.0,147
06/21/2019,18.23,18.23,18.23,18.23,0.0,0.0,104
06/20/2019,18.2,18.2,18.2,18.2,0.0,0.0,134
06/19/2019,18.75,18.75,18.75,18.75,0.0,0.0,00
06/18/2019,17.45,18.75,17.42,18.84,0.0,0.0,8761
06/17/2019,18.3,17.5,17.1,18.3,0.0,0.0,7251
06/14/2019,18.41,18.41,18.41,18.41,0.0,0.0,145
06/13/2019,18.86,18.4,18.4,18.86,0.0,0.0,878
06/12/2019,18.25,18.25,18.25,18.25,0.0,0.0,125
06/11/2019,19,19,19,19,0.0,0.0,00
06/10/2019,19,19,19,19,0.0,0.0,00
06/07/2019,19,19,18.97,19,0.0,0.0,5011
06/06/2019,18.3471,18.3471,18.3471,18.3471,0.0,0.0,00
06/05/2019,18.3471,18.3471,18.3471,18.3471,0.0,0.0,00
06/04/2019,18.3471,18.3471,18.3471,18.3471,0.0,0.0,00
06/03/2019,18.4,18.3471,18.3471,18.4,0.0,0.0,1623
05/31/2019,18.35,18.35,18.35,18.35,0.0,0.0,00
05/30/2019,18.35,18.35,18.35,18.35,0.0,0.0,00
05/29/2019,18.35,18.35,18.35,18.35,0.0,0.0,00
05/28/2019,18.35,18.35,18.35,18.35,0.0,0.0,00
05/24/2019,18.4,18.35,18.35,18.4,0.0,0.0,643
05/23/2019,18.4,18.4001,18.4,18.4001,0.0,0.0,608
05/22/2019,18.6527,18.6527,18.6527,18.6527,0.0,0.0,00
05/21/2019,18.6527,18.6527,18.6527,18.6527,0.0,0.0,00
05/20/2019,18.6527,18.6527,18.6527,18.6527,0.0,0.0,109
05/17/2019,19,18.3,17.99,19,0.0,0.0,3852
05/16/2019,18.6558,18.6558,18.6558,18.6558,0.0,0.0,432
05/15/2019,18.777,18.777,18.777,18.777,0.0,0.0,00
05/14/2019,18.6059,18.777,18.6059,18.777,0.0,0.0,619
05/13/2019,19.08,19.09,19.08,19.09,0.0,0.0,880
05/10/2019,19.25,19.25,19.25,19.25,0.0,0.0,00
05/09/2019,19.25,19.25,19.25,19.25,0.0,0.0,00
05/08/2019,19.25,19.25,19.25,19.25,0.0,0.0,00
05/07/2019,19.21,19.25,19.2,19.25,0.0,0.0,1502
05/06/2019,19.17,19.17,19.17,19.17,0.0,0.0,194
05/03/2019,18.6873,18.6873,18.6873,18.6873,0.0,0.0,00
05/02/2019,18.6873,18.6873,18.6873,18.6873,0.0,0.0,00
05/01/2019,18.6873,18.6873,18.6873,18.6873,0.0,0.0,00
04/30/2019,18.6873,18.6873,18.6873,18.6873,0.0,0.0,00
04/29/2019,18.6873,18.6873,18.6873,18.6873,0.0,0.0,1489
04/26/2019,19.24,19.24,19.24,19.24,0.0,0.0,00
04/25/2019,19.24,19.24,19.24,19.24,0.0,0.0,00
04/24/2019,19.24,19.24,19.24,19.24,0.0,0.0,00
04/23/2019,19.24,19.24,19.24,19.24,0.0,0.0,366
04/22/2019,18.99,19,18.99,19,0.0,0.0,1734
04/18/2019,18.65,18.65,18.65,18.65,0.0,0.0,00
04/17/2019,18.65,18.65,18.65,18.65,0.0,0.0,112
04/16/2019,19.1899,19.1899,19.1899,19.1899,0.0,0.0,00
