Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,44.91,45.07,44.7,45.595,0.0,0.0,206147
07/15/2019,46.26,44.84,44.11,46.26,0.0,0.0,132169
07/12/2019,45.09,46.06,45.09,46.18,0.0,0.0,118138
07/11/2019,46.31,44.76,44.72,46.31,0.0,0.0,111730
07/10/2019,46.57,46.12,45.6,46.72,0.0,0.0,90691
07/09/2019,46.52,46.22,45.74,46.775,0.0,0.0,130610
07/08/2019,48.17,46.75,46.74,48.41,0.0,0.0,119012
07/05/2019,47.81,48.32,47.1838,48.55,0.0,0.0,77092
07/03/2019,46.84,48.05,46.19,48.2,0.0,0.0,74782
07/02/2019,48.37,46.67,46.47,48.42,0.0,0.0,111159
07/01/2019,50.22,48.47,47.96,50.22,0.0,0.0,123987
06/28/2019,47.96,49.19,47.96,49.7,0.0,0.0,424458
06/27/2019,46.54,47.74,46.05,47.74,0.0,0.0,149426
06/26/2019,45.26,46.35,45.22,46.44,0.0,0.0,150643
06/25/2019,46.59,44.97,44.86,46.59,0.0,0.0,125066
06/24/2019,48.21,46.37,46.305,48.21,0.0,0.0,163117
06/21/2019,47.66,48.09,47.65,48.79,0.0,0.0,177792
06/20/2019,47.5,47.83,46.97,48.19,0.0,0.0,117774
06/19/2019,47.12,47.13,45.85,47.42,0.0,0.0,157682
06/18/2019,46.1,46.9,45.435,47.535,0.0,0.0,130419
06/17/2019,46.8,45.92,45.86,46.87,0.0,0.0,92233
06/14/2019,46.38,46.8,45.94,47.12,0.0,0.0,160467
06/13/2019,45.31,46.48,45.31,46.625,0.0,0.0,130384
06/12/2019,45.47,44.82,44.41,45.495,0.0,0.0,125514
06/11/2019,46.5,45.53,44.8279,47.01,0.0,0.0,148335
06/10/2019,44.16,46.03,44.16,46.16,0.0,0.0,126684
06/07/2019,42.85,43.83,42.36,44.5,0.0,0.0,161946
06/06/2019,43.07,42.95,41.385,43.07,0.0,0.0,105879
06/05/2019,43.71,43.13,42.47,44.3035,0.0,0.0,194034
06/04/2019,42.5,43.71,42.25,43.71,0.0,0.0,84154
06/03/2019,40.47,41.82,40.38,42.58,0.0,0.0,202660
05/31/2019,41.58,40.79,40.46,41.855,0.0,0.0,135826
05/30/2019,42.5,42.25,41.88,43.6,0.0,0.0,126881
05/29/2019,42.79,42.31,42.06,43.0336,0.0,0.0,136234
05/28/2019,44.2,43.1,42.87,44.61,0.0,0.0,237073
05/24/2019,44.42,43.94,43.77,44.73,0.0,0.0,111550
05/23/2019,43.75,43.98,43.1357,44.72,0.0,0.0,138382
05/22/2019,44.12,44.24,43.69,44.61,0.0,0.0,127546
05/21/2019,43.52,44.54,43.4659,44.57,0.0,0.0,133951
05/20/2019,42.96,43.14,42.37,43.452,0.0,0.0,162575
05/17/2019,43.67,43.37,41.19,44.3557,0.0,0.0,169715
05/16/2019,44.71,44.44,44.25,45.26,0.0,0.0,137298
05/15/2019,43.98,44.63,43.4,44.77,0.0,0.0,233236
05/14/2019,43.93,44.55,43.17,44.88,0.0,0.0,220149
05/13/2019,44.66,43.91,43.3,45.1357,0.0,0.0,234024
05/10/2019,46.77,46.01,45.29,46.77,0.0,0.0,163663
05/09/2019,45.73,47.05,44.865,47.11,0.0,0.0,486400
05/08/2019,46.99,46.41,46.4,47.56,0.0,0.0,213609
05/07/2019,47.85,47.28,46.74,48.96,0.0,0.0,273732
05/06/2019,48.5,48.59,47.65,49.37,0.0,0.0,194478
05/03/2019,47.48,49.32,47.1948,49.395,0.0,0.0,194282
05/02/2019,48.01,47.27,46.36,48.375,0.0,0.0,337112
05/01/2019,49.97,47.98,47.91,50.125,0.0,0.0,361446
04/30/2019,50.05,49.87,48.73,50.36,0.0,0.0,440632
04/29/2019,51.93,49.96,49.85,52.355,0.0,0.0,324432
04/26/2019,51,51.93,49.13,52.3199,0.0,0.0,542145
04/25/2019,53,52.05,49.44,55.32,0.0,0.0,765366
04/24/2019,54.9,55.42,54.9,55.865,0.0,0.0,442179
04/23/2019,54.49,55.25,54.34,55.34,0.0,0.0,199025
04/22/2019,54.9,54.45,54.32,55.5,0.0,0.0,231497
04/18/2019,55.82,55.13,54.36,55.82,0.0,0.0,303217
04/17/2019,54.37,55.55,54.07,55.85,0.0,0.0,355626
04/16/2019,52.24,54.12,51.8408,54.18,0.0,0.0,395241
