Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,34.95,34.99,34.84,35.05,0.0,0.0,156418
07/15/2019,34.91,34.97,34.85,34.97,0.0,0.0,124849
07/12/2019,34.84,34.87,34.77,34.93,0.0,0.0,97447
07/11/2019,34.84,34.79,34.71,34.85,0.0,0.0,203736
07/10/2019,34.78,34.8,34.76,35.1,0.0,0.0,155877
07/09/2019,34.75,34.71,34.66,34.91,0.0,0.0,173524
07/08/2019,34.88,34.7,34.68,35.09,0.0,0.0,172576
07/05/2019,34.95,34.82,34.82,35.195,0.0,0.0,192261
07/03/2019,34.96,35,34.94,35.15,0.0,0.0,335047
07/02/2019,34.94,34.96,34.81,35,0.0,0.0,419377
07/01/2019,35.04,34.96,34.76,35.04,0.0,0.0,358190
06/28/2019,34.88,35.04,34.67,35.07,0.0,0.0,1604807
06/27/2019,34.9,34.89,34.52,35.015,0.0,0.0,1107039
06/26/2019,35.1,34.8,34.8,35.1,0.0,0.0,737884
06/25/2019,34.73,35.09,34.72,35.66,0.0,0.0,837369
06/24/2019,34.54,34.84,34.52,35.2,0.0,0.0,2583574
06/21/2019,25.59,24.38,24.07,25.72,0.0,0.0,138425
06/20/2019,25.5,25.86,25.5,26.16,0.0,0.0,82178
06/19/2019,25.35,25.17,24.9,25.41,0.0,0.0,104853
06/18/2019,25.99,25.3,25.3,26.44,0.0,0.0,78462
06/17/2019,25.72,25.73,25.63,26.18,0.0,0.0,89833
06/14/2019,25.72,25.72,25.41,25.85,0.0,0.0,84505
06/13/2019,25.68,25.8,25.17,25.83,0.0,0.0,118773
06/12/2019,25.39,25.67,25.09,25.84,0.0,0.0,92118
06/11/2019,25.71,25.39,25.34,26.415,0.0,0.0,86356
06/10/2019,25.47,25.49,25.155,25.95,0.0,0.0,129631
06/07/2019,24.92,25.25,24.46,25.505,0.0,0.0,101526
06/06/2019,25.11,24.83,24.51,25.36,0.0,0.0,75843
06/05/2019,25.01,25.13,24.445,25.228,0.0,0.0,104993
06/04/2019,24.4,24.82,23.77,24.83,0.0,0.0,149351
06/03/2019,25.44,24.03,23.87,25.44,0.0,0.0,132533
05/31/2019,25.52,25.55,25.02,25.72,0.0,0.0,105178
05/30/2019,26.37,25.82,25.54,26.74,0.0,0.0,98654
05/29/2019,26.28,26.15,24.87,26.295,0.0,0.0,121330
05/28/2019,26.33,26.6,26.04,26.79,0.0,0.0,75700
05/24/2019,27.49,26.42,26.31,27.69,0.0,0.0,151117
05/23/2019,27.47,27.33,26.6,27.535,0.0,0.0,112425
05/22/2019,28.48,27.7,27.66,28.62,0.0,0.0,70366
05/21/2019,28.17,28.61,28.125,28.78,0.0,0.0,62280
05/20/2019,27.99,28.01,27.401,28.24,0.0,0.0,93279
05/17/2019,29.12,28.14,28.04,29.32,0.0,0.0,112187
05/16/2019,29.19,29.5,28.91,29.96,0.0,0.0,81876
05/15/2019,28.36,29.2,28.36,29.39,0.0,0.0,99082
05/14/2019,27.93,28.55,27.84,28.71,0.0,0.0,101397
05/13/2019,28.12,27.78,27.14,28.12,0.0,0.0,122572
05/10/2019,28.68,29.01,27.9,29.11,0.0,0.0,78974
05/09/2019,29.47,28.87,28.15,29.495,0.0,0.0,133694
05/08/2019,29.48,29.83,29.1222,30.22,0.0,0.0,112825
05/07/2019,29.73,29.49,29.25,30.21,0.0,0.0,144644
05/06/2019,28.31,30,27.93,30.06,0.0,0.0,207326
05/03/2019,28.29,28.82,27.875,29.3,0.0,0.0,145654
05/02/2019,27.71,28.36,27.38,28.43,0.0,0.0,122674
05/01/2019,27.86,27.71,27.63,28.3,0.0,0.0,89122
04/30/2019,27.1,27.59,27.1,28.4,0.0,0.0,142033
04/29/2019,27.36,27.19,26.5,27.51,0.0,0.0,218315
04/26/2019,27.55,27.43,26.85,28.74,0.0,0.0,306414
04/25/2019,30,27.55,27.06,33.42,0.0,0.0,418479
04/24/2019,28.85,28.84,28.345,29.23,0.0,0.0,157565
04/23/2019,27.73,28.79,27.68,29.11,0.0,0.0,233395
04/22/2019,28.95,27.76,27.28,29,0.0,0.0,282563
04/18/2019,29.15,29.23,28.4487,29.84,0.0,0.0,165345
04/17/2019,31.25,29.59,29.46,31.25,0.0,0.0,330727
04/16/2019,33.26,31.33,31.09,33.4,0.0,0.0,366838
