Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.43,11.9,11.37,12.11,0.0,0.0,58919
07/15/2019,11.32,11.5,11.26,11.56,0.0,0.0,50965
07/12/2019,11.01,11.34,10.92,11.41,0.0,0.0,53928
07/11/2019,10.96,11,10.85,11.09,0.0,0.0,76707
07/10/2019,10.89,10.98,10.86,11.18,0.0,0.0,61380
07/09/2019,11.09,10.96,10.86,11.19,0.0,0.0,48225
07/08/2019,10.76,11.19,10.65,11.25,0.0,0.0,130731
07/05/2019,10.64,10.72,10.6,10.765,0.0,0.0,81519
07/03/2019,10.29,10.64,10.29,10.8,0.0,0.0,94453
07/02/2019,10.2,10.41,9.75,10.79,0.0,0.0,270237
07/01/2019,12.35,10.4,10.25,12.56,0.0,0.0,593361
06/28/2019,12.15,12.35,12.08,12.39,0.0,0.0,32439
06/27/2019,11.979,12.15,11.92,12.365,0.0,0.0,41284
06/26/2019,11.94,11.91,11.87,12.1,0.0,0.0,47105
06/25/2019,11.96,12.03,11.8665,12.19,0.0,0.0,67998
06/24/2019,11.95,12.05,11.41,12.29,0.0,0.0,65117
06/21/2019,12.05,12,11.83,12.15,0.0,0.0,48407
06/20/2019,12.19,12.005,11.751,12.365,0.0,0.0,54643
06/19/2019,11.97,12.07,11.66,12.12,0.0,0.0,50118
06/18/2019,12.2,11.88,11.8,12.35,0.0,0.0,74511
06/17/2019,12.09,12.05,11.84,12.2,0.0,0.0,51581
06/14/2019,11.88,11.96,11.83,12.24,0.0,0.0,31892
06/13/2019,11.81,11.88,11.3,12.07,0.0,0.0,78330
06/12/2019,11.53,11.66,11.13,11.83,0.0,0.0,88084
06/11/2019,11.34,11.52,10.94,11.85,0.0,0.0,194017
06/10/2019,11.1,11.23,10.83,11.68,0.0,0.0,276963
06/07/2019,11.03,11.07,10.82,11.44,0.0,0.0,505780
06/06/2019,11.38,11.085,10.91,11.535,0.0,0.0,70518
06/05/2019,11.7,11.49,11.31,11.7,0.0,0.0,47413
06/04/2019,11.26,11.76,11.26,11.76,0.0,0.0,69915
06/03/2019,11.84,11.5,11.36,12.03,0.0,0.0,46382
05/31/2019,12.08,11.95,11.88,12.54,0.0,0.0,83308
05/30/2019,12.42,12.52,12.395,12.82,0.0,0.0,85509
05/29/2019,12.165,12.41,12.01,12.45,0.0,0.0,38358
05/28/2019,12.43,12.35,12.03,12.63,0.0,0.0,77732
05/24/2019,12.5,12.49,12.295,12.67,0.0,0.0,33024
05/23/2019,12.84,12.58,12.36,12.95,0.0,0.0,27237
05/22/2019,12.91,12.99,12.65,13.18,0.0,0.0,31011
05/21/2019,13.26,13.02,12.857,13.3844,0.0,0.0,61823
05/20/2019,12.9,13.15,12.9,13.29,0.0,0.0,61011
05/17/2019,12.49,12.86,12.245,12.88,0.0,0.0,39854
05/16/2019,12.53,12.5,12.47,12.9,0.0,0.0,39517
05/15/2019,12.18,12.53,12.18,12.695,0.0,0.0,46521
05/14/2019,12,12.36,11.87,12.9609,0.0,0.0,94446
05/13/2019,11.82,11.91,11.26,12.065,0.0,0.0,96946
05/10/2019,12.01,11.65,11.39,12.35,0.0,0.0,89060
05/09/2019,12.6,12.37,12.37,12.64,0.0,0.0,50641
05/08/2019,12.54,12.71,12.01,12.75,0.0,0.0,55047
05/07/2019,12.95,12.61,12.46,13.06,0.0,0.0,53116
05/06/2019,12.81,12.98,12.77,13.12,0.0,0.0,67437
05/03/2019,12.82,13.01,12.82,13.18,0.0,0.0,41003
05/02/2019,12.87,12.81,12.74,13.12,0.0,0.0,24207
05/01/2019,13,12.9,12.77,13.24,0.0,0.0,68318
04/30/2019,12.8,12.98,12.76,13.41,0.0,0.0,62213
04/29/2019,12.47,12.84,12.47,13.1,0.0,0.0,74875
04/26/2019,12.36,12.6,12.36,12.91,0.0,0.0,55801
04/25/2019,12.53,12.35,12.32,12.66,0.0,0.0,57436
04/24/2019,12.32,12.5,12.32,12.68,0.0,0.0,69842
04/23/2019,12.24,12.33,12.23,12.69,0.0,0.0,63604
04/22/2019,12.08,12.19,11.93,12.4139,0.0,0.0,53223
04/18/2019,11.87,11.95,11.71,12.18,0.0,0.0,56671
04/17/2019,11.72,11.77,11.66,12.01,0.0,0.0,45357
04/16/2019,11.82,11.73,11.59,11.95,0.0,0.0,57969
