Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,19.44,20.12,19.3,20.37,0.0,0.0,9463665
07/15/2019,19.43,19.35,19.23,19.64,0.0,0.0,4197934
07/12/2019,19.5,19.14,19.105,19.56,0.0,0.0,4545323
07/11/2019,19.86,19.34,19.24,19.9,0.0,0.0,7464466
07/10/2019,20.45,19.84,19.51,20.69,0.0,0.0,9304921
07/09/2019,19.99,20.48,19.88,20.63,0.0,0.0,4211617
07/08/2019,19.9,20.04,19.5,20.08,0.0,0.0,6575886
07/05/2019,19.88,20.29,19.81,20.34,0.0,0.0,4300868
07/03/2019,20.25,20.09,19.85,20.31,0.0,0.0,3357592
07/02/2019,20.73,20.31,19.8,20.73,0.0,0.0,6493908
07/01/2019,21.3,20.64,20.52,21.7,0.0,0.0,7599563
06/28/2019,20.8,20.63,20.3502,20.89,0.0,0.0,3002421
06/27/2019,20.7,20.76,20.64,21.08,0.0,0.0,4537544
06/26/2019,20.54,20.45,20.295,20.77,0.0,0.0,6456712
06/25/2019,20.46,20.54,20.26,20.7227,0.0,0.0,4833312
06/24/2019,21.04,20.75,20.56,21.14,0.0,0.0,3552327
06/21/2019,20.88,21.05,20.76,21.3,0.0,0.0,6801075
06/20/2019,21.5,20.95,20.615,21.78,0.0,0.0,6480781
06/19/2019,21.29,20.96,20.24,21.3,0.0,0.0,4221184
06/18/2019,20.95,20.89,20.8193,21.31,0.0,0.0,7482878
06/17/2019,20.5,20.59,20.37,20.87,0.0,0.0,2690282
06/14/2019,20.29,20.51,19.93,20.56,0.0,0.0,2631230
06/13/2019,20.69,20.47,20.4,21.08,0.0,0.0,4121757
06/12/2019,19.9,20.41,19.64,20.46,0.0,0.0,4362748
06/11/2019,20.56,20.05,19.99,20.75,0.0,0.0,4035524
06/10/2019,20.25,20.2,20.15,20.95,0.0,0.0,4995147
06/07/2019,19.49,19.78,19.46,20.13,0.0,0.0,3391691
06/06/2019,19.09,19.37,19,19.64,0.0,0.0,4101353
06/05/2019,19.29,19.13,18.84,19.37,0.0,0.0,3951560
06/04/2019,19.18,19.28,18.96,19.72,0.0,0.0,6081140
06/03/2019,19.38,19.03,18.46,19.38,0.0,0.0,6404796
05/31/2019,19.29,19.42,19.12,19.56,0.0,0.0,4569825
05/30/2019,20.05,19.65,19.32,20.17,0.0,0.0,4987497
05/29/2019,20,19.98,19.54,20.1329,0.0,0.0,5740291
05/28/2019,20.51,20.23,19.95,20.54,0.0,0.0,7613559
05/24/2019,20.8,20.28,20.14,20.98,0.0,0.0,3124165
05/23/2019,20.13,20.53,19.95,20.991,0.0,0.0,8147184
05/22/2019,21.3,20.46,20.08,21.3,0.0,0.0,10456430
05/21/2019,21.24,21.52,21.21,22.06,0.0,0.0,8945169
05/20/2019,21.51,20.78,20,21.61,0.0,0.0,26784900
05/17/2019,22.2,22.7,22.13,23.4,0.0,0.0,10572600
05/16/2019,22.2,22.86,22.05,23.23,0.0,0.0,9291021
05/15/2019,22.21,22.03,21.6,22.26,0.0,0.0,6364588
05/14/2019,21.26,22.15,20.98,22.1999,0.0,0.0,8332534
05/13/2019,21.51,20.75,20.58,21.51,0.0,0.0,13825990
05/10/2019,22.6,22.4,21.8,22.98,0.0,0.0,7946087
05/09/2019,22.63,23.13,21.61,23.33,0.0,0.0,6359694
05/08/2019,22.77,23.19,22.31,23.48,0.0,0.0,5858813
05/07/2019,23.4,22.82,22.47,23.74,0.0,0.0,5378229
05/06/2019,22.5,23.74,22.47,23.78,0.0,0.0,6698425
05/03/2019,23.45,23.96,23.3,24.04,0.0,0.0,4956936
05/02/2019,23.27,23.13,22.89,23.64,0.0,0.0,4471925
05/01/2019,22.18,23.3,21.6,23.62,0.0,0.0,7310560
04/30/2019,22.01,22.23,21.93,22.47,0.0,0.0,4622206
04/29/2019,22,22.28,22,22.4,0.0,0.0,3930912
04/26/2019,22.85,21.92,21.76,23,0.0,0.0,13266900
04/25/2019,23.62,23.07,22.81,23.62,0.0,0.0,7135312
04/24/2019,24.3,23.94,23.3645,24.365,0.0,0.0,6961170
04/23/2019,24.28,24.43,24.2,24.83,0.0,0.0,5237949
04/22/2019,23.46,24,23.2556,24.11,0.0,0.0,4285839
04/18/2019,23.13,23.55,23.05,23.76,0.0,0.0,5202940
04/17/2019,23.1,23.02,22.74,23.56,0.0,0.0,5901677
04/16/2019,22.35,22.5,22.1,23.1,0.0,0.0,7193278
