Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,77.3,76.52,76.34,77.32,0.0,0.0,206215
07/15/2019,78.45,77.19,77.15,78.45,0.0,0.0,198124
07/12/2019,77.28,78.1,77.28,78.61,0.0,0.0,469771
07/11/2019,76.42,76.96,76.18,77.55,0.0,0.0,390486
07/10/2019,75.28,75.85,75.15,76.1,0.0,0.0,242091
07/09/2019,72.97,74.87,72.97,74.93,0.0,0.0,237187
07/08/2019,72.84,73.08,72.485,73.22,0.0,0.0,148841
07/05/2019,73.16,73.38,72.15,73.48,0.0,0.0,155095
07/03/2019,73.11,73.64,73.03,74.29,0.0,0.0,458734
07/02/2019,72.3,72.71,72,72.89,0.0,0.0,276268
07/01/2019,72.17,72.4,71.2,72.97,0.0,0.0,291357
06/28/2019,70.9,71.21,69.58,71.34,0.0,0.0,502459
06/27/2019,70.42,70.35,70.09,71.3,0.0,0.0,426413
06/26/2019,70.54,70.1,70.02,71.75,0.0,0.0,261740
06/25/2019,72.19,70.51,70.445,73.09,0.0,0.0,242534
06/24/2019,73.43,71.92,71.8,73.43,0.0,0.0,268010
06/21/2019,73.36,73.34,72.8,74.35,0.0,0.0,738919
06/20/2019,74.37,73.56,73.53,75,0.0,0.0,291925
06/19/2019,72.67,73.35,72.41,73.54,0.0,0.0,269167
06/18/2019,71.28,72.52,71.275,72.54,0.0,0.0,214967
06/17/2019,70.38,70.51,70.17,71.605,0.0,0.0,376465
06/14/2019,71.09,70.14,69.83,71.09,0.0,0.0,165384
06/13/2019,70.25,71.19,70.22,71.6,0.0,0.0,406354
06/12/2019,70.65,70.22,70.105,71.855,0.0,0.0,244284
06/11/2019,72.03,70.66,69.99,72.325,0.0,0.0,388993
06/10/2019,70.95,71.64,70.65,72.62,0.0,0.0,211206
06/07/2019,71.49,70.63,70.28,71.49,0.0,0.0,203660
06/06/2019,71.58,71.06,70.91,71.665,0.0,0.0,333185
06/05/2019,70.78,71.67,69.875,71.81,0.0,0.0,221906
06/04/2019,70.69,69.91,69.43,70.69,0.0,0.0,600688
06/03/2019,72.15,69.68,69.36,72.675,0.0,0.0,313105
05/31/2019,72.43,72.14,71.97,72.9719,0.0,0.0,176630
05/30/2019,73.04,73.3,72.7118,73.625,0.0,0.0,261413
05/29/2019,73.96,72.81,72.65,74.11,0.0,0.0,308516
05/28/2019,73.62,74.13,73.62,75.16,0.0,0.0,534932
05/24/2019,73.14,73.53,73.14,74.61,0.0,0.0,298009
05/23/2019,71.9,72.96,71.8,73.4,0.0,0.0,680665
05/22/2019,72.11,72.96,72.11,73.42,0.0,0.0,145835
05/21/2019,71.41,72.64,71.352,72.8596,0.0,0.0,360655
05/20/2019,70.68,70.63,69.99,71.46,0.0,0.0,182193
05/17/2019,71.36,71.59,71.22,72.705,0.0,0.0,308071
05/16/2019,70.31,72.06,70.31,72.6,0.0,0.0,398805
05/15/2019,68.13,70.26,68.13,70.4,0.0,0.0,265353
05/14/2019,68.07,68.62,68.07,69.14,0.0,0.0,312298
05/13/2019,68.8,67.8,67.7,69.55,0.0,0.0,450319
05/10/2019,68.66,70.65,68.06,70.65,0.0,0.0,394488
05/09/2019,68.29,68.98,67.62,70.465,0.0,0.0,398849
05/08/2019,71.65,70.53,69.56,74.29,0.0,0.0,925626
05/07/2019,74.41,72.92,72.32,74.98,0.0,0.0,561217
05/06/2019,74.14,75,71.9813,75.28,0.0,0.0,198987
05/03/2019,74.15,75.17,73.88,75.29,0.0,0.0,171041
05/02/2019,72.89,73.9,72.46,73.99,0.0,0.0,178185
05/01/2019,75.13,72.95,72.81,75.13,0.0,0.0,475975
04/30/2019,75.23,75.01,74.52,75.64,0.0,0.0,229733
04/29/2019,75.79,75.41,75.3,76.49,0.0,0.0,170846
04/26/2019,74.75,75.63,74.08,75.77,0.0,0.0,199428
04/25/2019,74.53,74.65,73.79,75.6,0.0,0.0,308420
04/24/2019,74,74.22,73.85,74.89,0.0,0.0,365316
04/23/2019,72.27,73.67,72.27,74.31,0.0,0.0,445953
04/22/2019,70.11,71.91,70.11,72.15,0.0,0.0,402896
04/18/2019,70.12,70.23,69.37,70.62,0.0,0.0,355816
04/17/2019,70.89,70.01,69.97,71.36,0.0,0.0,338215
04/16/2019,70,70.71,69.86,70.76,0.0,0.0,363065
