Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.685,0.7,0.68,0.71,0.0,0.0,268922
07/15/2019,0.6886,0.6803,0.67,0.69,0.0,0.0,160808
07/12/2019,0.71,0.6747,0.67,0.71,0.0,0.0,223056
07/11/2019,0.73,0.693,0.6851,0.7317,0.0,0.0,280082
07/10/2019,0.76,0.7126,0.7126,0.76,0.0,0.0,346167
07/09/2019,0.7739,0.7551,0.7551,0.7746,0.0,0.0,171399
07/08/2019,0.8,0.77,0.68,0.8473,0.0,0.0,1965949
07/05/2019,0.7638,0.7762,0.7501,0.79,0.0,0.0,123553
07/03/2019,0.77,0.7603,0.7559,0.7799,0.0,0.0,54761
07/02/2019,0.7511,0.778,0.7511,0.78,0.0,0.0,64143
07/01/2019,0.77,0.75,0.75,0.8099,0.0,0.0,129829
06/28/2019,0.76,0.765,0.751,0.81,0.0,0.0,272341
06/27/2019,0.785,0.7588,0.7505,0.8457,0.0,0.0,400504
06/26/2019,0.8,0.785,0.77,0.8091,0.0,0.0,256496
06/25/2019,0.822,0.78,0.78,0.84,0.0,0.0,230023
06/24/2019,0.8648,0.8076,0.805,0.8648,0.0,0.0,147475
06/21/2019,0.85,0.8333,0.807,0.87,0.0,0.0,149614
06/20/2019,0.842,0.85,0.8404,0.88,0.0,0.0,109065
06/19/2019,0.86,0.84,0.8141,0.88,0.0,0.0,318645
06/18/2019,0.87,0.8799,0.84,0.89,0.0,0.0,391066
06/17/2019,0.857,0.8072,0.8029,0.857,0.0,0.0,229015
06/14/2019,0.9,0.8414,0.8301,0.91,0.0,0.0,257241
06/13/2019,0.83,0.89,0.815,0.8921,0.0,0.0,363719
06/12/2019,0.8176,0.8101,0.8,0.826,0.0,0.0,246406
06/11/2019,0.84,0.8258,0.8,0.88,0.0,0.0,425088
06/10/2019,0.81,0.85,0.81,0.87,0.0,0.0,343066
06/07/2019,0.9361,0.865,0.83,0.9599,0.0,0.0,472552
06/06/2019,0.9514,0.93,0.93,0.99,0.0,0.0,176670
06/05/2019,1.01,0.9326,0.9,1.01,0.0,0.0,506434
06/04/2019,1.01,1.01,0.9761,1.02,0.0,0.0,255112
06/03/2019,0.97,1.01,0.96,1.04,0.0,0.0,253951
05/31/2019,1.02,0.9697,0.9695,1.03,0.0,0.0,607323
05/30/2019,1.08,1.04,1,1.11,0.0,0.0,311725
05/29/2019,1.1,1.07,1.06,1.13,0.0,0.0,210820
05/28/2019,1,1.11,1,1.15,0.0,0.0,419968
05/24/2019,1.01,1.03,0.99,1.04,0.0,0.0,138393
05/23/2019,1.05,0.99,0.9653,1.05,0.0,0.0,560243
05/22/2019,1.09,1.05,1.05,1.14,0.0,0.0,306821
05/21/2019,1.1,1.1,1.07,1.19,0.0,0.0,292115
05/20/2019,1.1,1.08,1.06,1.1,0.0,0.0,135579
05/17/2019,1.17,1.09,1.05,1.17,0.0,0.0,401747
05/16/2019,1.17,1.16,1.14,1.2,0.0,0.0,111258
05/15/2019,1.11,1.17,1.1,1.2,0.0,0.0,144560
05/14/2019,1.115,1.1,1.08,1.14,0.0,0.0,258629
05/13/2019,1.23,1.11,1.11,1.24,0.0,0.0,403926
05/10/2019,1.26,1.24,1.16,1.26,0.0,0.0,394551
05/09/2019,1.25,1.25,1.1797,1.31,0.0,0.0,445669
05/08/2019,1.15,1.25,1.112,1.25,0.0,0.0,857189
05/07/2019,1.08,1.15,1.07,1.19,0.0,0.0,914021
05/06/2019,1.05,1.1,1.02,1.12,0.0,0.0,393772
05/03/2019,1.02,1.05,1.02,1.1,0.0,0.0,575544
05/02/2019,1.04,1.04,1,1.1,0.0,0.0,559495
05/01/2019,1.09,1.08,1.04,1.14,0.0,0.0,473195
04/30/2019,1.15,1.09,1.08,1.17,0.0,0.0,278255
04/29/2019,1.17,1.15,1.11,1.18,0.0,0.0,289343
04/26/2019,1.06,1.15,1.05,1.16,0.0,0.0,445574
04/25/2019,1.07,1.06,1.04,1.11,0.0,0.0,121209
04/24/2019,1.1,1.09,1.07,1.14,0.0,0.0,492347
04/23/2019,1.11,1.1,1.1,1.13,0.0,0.0,173320
04/22/2019,1.04,1.12,1.03,1.14,0.0,0.0,280518
04/18/2019,1.04,1.03,1.03,1.09,0.0,0.0,137087
04/17/2019,1.06,1.04,1.03,1.1,0.0,0.0,256037
04/16/2019,1.11,1.08,1.06,1.12,0.0,0.0,83015
