Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,4.21,4.25,4.12,4.35,0.0,0.0,457263
07/15/2019,3.7,4,3.7,4,0.0,0.0,542854
07/12/2019,3.35,3.51,3.35,3.6,0.0,0.0,139527
07/11/2019,3.44,3.33,3.25,3.69,0.0,0.0,347953
07/10/2019,3.42,3.34,3.27,3.5,0.0,0.0,489118
07/09/2019,3.05,3.16,3.05,3.21,0.0,0.0,491350
07/08/2019,2.97,2.91,2.91,2.97,0.0,0.0,14666
07/05/2019,2.92,2.97,2.92,2.974,0.0,0.0,8592
07/03/2019,2.94,2.92,2.92,2.98,0.0,0.0,11364
07/02/2019,2.94,2.92,2.89,2.94,0.0,0.0,9725
07/01/2019,2.97,2.98,2.94,3,0.0,0.0,20426
06/28/2019,2.89,2.91,2.8668,2.91,0.0,0.0,4941
06/27/2019,2.83,2.87,2.7562,2.87,0.0,0.0,36567
06/26/2019,2.85,2.83,2.8,2.85,0.0,0.0,36418
06/25/2019,2.85,2.85,2.84,2.8718,0.0,0.0,13586
06/24/2019,2.91,2.87,2.8442,2.93,0.0,0.0,18502
06/21/2019,2.93,2.93,2.82,2.96,0.0,0.0,40171
06/20/2019,2.9,2.92,2.88,2.92,0.0,0.0,9153
06/19/2019,2.86,2.88,2.86,2.89,0.0,0.0,6967
06/18/2019,2.89,2.845,2.83,2.89,0.0,0.0,46451
06/17/2019,2.86,2.85,2.84,2.88,0.0,0.0,24302
06/14/2019,2.95,2.91,2.8601,2.95,0.0,0.0,7606
06/13/2019,2.87,2.96,2.85,2.96,0.0,0.0,36163
06/12/2019,3,2.87,2.82,3.0399,0.0,0.0,142944
06/11/2019,3.09,3.04,3.04,3.1,0.0,0.0,9521
06/10/2019,3.07,3.1,3.05,3.11,0.0,0.0,24456
06/07/2019,3.056,3.05,3.04,3.07,0.0,0.0,10876
06/06/2019,3.08,3.08,3.0499,3.14,0.0,0.0,31853
06/05/2019,3.14,3.11,3.11,3.15,0.0,0.0,4684
06/04/2019,3.03,3.09,3.03,3.1,0.0,0.0,6089
06/03/2019,3.05,3.02,3,3.08,0.0,0.0,17192
05/31/2019,3.08,3.1,3.04,3.1,0.0,0.0,14408
05/30/2019,3.11,3.11,3.0802,3.16,0.0,0.0,27834
05/29/2019,3.09,3.1,3.05,3.1,0.0,0.0,133122
05/28/2019,3.11,3.07,3.03,3.13,0.0,0.0,62488
05/24/2019,3.15,3.18,3.15,3.2,0.0,0.0,22270
05/23/2019,3.11,3.16,3.11,3.2,0.0,0.0,95218
05/22/2019,3.15,3.18,3.12,3.21,0.0,0.0,61032
05/21/2019,3.08,3.18,3.0662,3.32,0.0,0.0,207477
05/20/2019,2.97,3.06,2.93,3.15,0.0,0.0,60057
05/17/2019,3.03,2.98,2.98,3.05,0.0,0.0,30124
05/16/2019,2.99,3.06,2.93,3.08,0.0,0.0,49383
05/15/2019,3.04,2.99,2.97,3.0488,0.0,0.0,46121
05/14/2019,2.91,2.97,2.9,3,0.0,0.0,21105
05/13/2019,2.94,2.8527,2.8,2.97,0.0,0.0,41849
05/10/2019,2.91,2.97,2.83,3.01,0.0,0.0,50880
05/09/2019,2.99,2.93,2.91,3,0.0,0.0,48315
05/08/2019,3.01,2.99,2.99,3.01,0.0,0.0,8264
05/07/2019,2.99,2.99,2.99,3.01,0.0,0.0,44916
05/06/2019,2.95,2.99,2.95,3.1,0.0,0.0,38491
05/03/2019,2.95,2.99,2.95,3.04,0.0,0.0,28524
05/02/2019,2.9,2.91,2.9,2.98,0.0,0.0,32917
05/01/2019,2.94,2.97,2.93,2.97,0.0,0.0,57981
04/30/2019,2.88,2.93,2.88,2.93,0.0,0.0,20256
04/29/2019,2.88,2.89,2.86,2.9482,0.0,0.0,8870
04/26/2019,2.83,2.86,2.8,2.87,0.0,0.0,19893
04/25/2019,2.9,2.83,2.82,2.9355,0.0,0.0,12216
04/24/2019,3,2.87,2.87,3.02,0.0,0.0,28521
04/23/2019,3.02,3.03,2.9602,3.0899,0.0,0.0,8169
04/22/2019,2.97,3.02,2.86,3.06,0.0,0.0,12901
04/18/2019,3.06,2.98,2.98,3.09,0.0,0.0,10464
04/17/2019,3.15,3.09,3.03,3.18,0.0,0.0,27601
04/16/2019,3.16,3.18,3.15,3.22,0.0,0.0,54286
