Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,3.74,3.83,3.74,3.83,0.0,0.0,900
07/15/2019,3.7,3.9,3.7,3.9,0.0,0.0,5908
07/12/2019,3.74,3.6,3.6,3.79,0.0,0.0,3760
07/11/2019,3.89,3.77,3.77,3.89,0.0,0.0,906
07/10/2019,3.9,3.92,3.72,3.92,0.0,0.0,16132
07/09/2019,3.8,3.68,3.68,3.9,0.0,0.0,1788
07/08/2019,3.9,3.91,3.64,3.93,0.0,0.0,11063
07/05/2019,3.93,3.83,3.66,3.93,0.0,0.0,6759
07/03/2019,3.9,3.9,3.9,3.93,0.0,0.0,7982
07/02/2019,3.9516,3.75,3.62,3.9516,0.0,0.0,4591
07/01/2019,3.95,3.95,3.7185,3.96,0.0,0.0,840
06/28/2019,3.9546,3.91,3.9077,3.98,0.0,0.0,10707
06/27/2019,4.04,3.98,3.9605,4.04,0.0,0.0,9916
06/26/2019,3.9,3.98,3.9,4,0.0,0.0,17286
06/25/2019,3.95,3.955,3.9195,3.955,0.0,0.0,9101
06/24/2019,3.9,3.95,3.9,3.98,0.0,0.0,5906
06/21/2019,4,3.85,3.85,4,0.0,0.0,37246
06/20/2019,3.96,3.99,3.9431,4,0.0,0.0,21963
06/19/2019,3.95,3.9355,3.91,3.99,0.0,0.0,3519
06/18/2019,3.9,3.9,3.9,3.94,0.0,0.0,6598
06/17/2019,3.99,3.98,3.8793,3.99,0.0,0.0,2276
06/14/2019,3.99,3.9,3.9,3.99,0.0,0.0,2814
06/13/2019,4,3.86,3.86,4,0.0,0.0,2821
06/12/2019,4,3.8694,3.8694,4,0.0,0.0,2121
06/11/2019,3.845,3.9,3.845,4,0.0,0.0,5909
06/10/2019,3.95,3.99,3.89,3.99,0.0,0.0,524
06/07/2019,3.8599,3.89,3.8254,4.045,0.0,0.0,3765
06/06/2019,4.05,3.75,3.71,4.05,0.0,0.0,16905
06/05/2019,4.0924,4.08,4.05,4.0924,0.0,0.0,5500
06/04/2019,4.05,4.08,4.05,4.08,0.0,0.0,1416
06/03/2019,3.95,4.1,3.95,4.1,0.0,0.0,1550
05/31/2019,4.15,4.15,4.05,4.15,0.0,0.0,20389
05/30/2019,4.1,4.13,4.1,4.13,0.0,0.0,310
05/29/2019,4,4.08,4,4.11,0.0,0.0,4915
05/28/2019,4.1,4.14,4,4.14,0.0,0.0,24227
05/24/2019,4,3.96,3.9,4.15,0.0,0.0,23498
05/23/2019,3.9,3.93,3.811,4.1,0.0,0.0,46507
05/22/2019,4,3.95,3.82,4,0.0,0.0,14372
05/21/2019,4,3.93,3.9,4,0.0,0.0,3975
05/20/2019,4.1,3.96,3.9,4.1,0.0,0.0,5991
05/17/2019,4,4.1,3.95,4.22,0.0,0.0,15907
05/16/2019,3.75,3.98,3.75,4.05,0.0,0.0,3427
05/15/2019,3.8,3.67,3.67,3.81,0.0,0.0,8899
05/14/2019,3.9,3.75,3.75,3.9,0.0,0.0,25198
05/13/2019,4.0399,3.8689,3.653,4.0399,0.0,0.0,53152
05/10/2019,4.1,4.1,4,4.1,0.0,0.0,26189
05/09/2019,4.21,4.02,3.96,4.38,0.0,0.0,20846
05/08/2019,4.3602,4.3144,4.3,4.46,0.0,0.0,16611
05/07/2019,4.35,4.35,4.3,4.4057,0.0,0.0,19094
05/06/2019,4.3,4.3,4.28,4.32,0.0,0.0,12612
05/03/2019,4.3,4.3,4.24,4.3,0.0,0.0,905
05/02/2019,4.2,4.2285,4.18,4.25,0.0,0.0,11948
05/01/2019,4.25,4.25,4.2162,4.25,0.0,0.0,691
04/30/2019,4.3,4.2583,4.25,4.35,0.0,0.0,25777
04/29/2019,4.28,4.24,4.19,4.3,0.0,0.0,7435
04/26/2019,4.26,4.27,4.19,4.2789,0.0,0.0,22870
04/25/2019,4.15,4.25,4.15,4.25,0.0,0.0,3407
04/24/2019,4.12,4.18,4.12,4.3,0.0,0.0,9483
04/23/2019,4.2,4.05,3.9501,4.27,0.0,0.0,24600
04/22/2019,4.37,4.19,4.12,4.39,0.0,0.0,34138
04/18/2019,4.31,4.23,4.1261,4.359,0.0,0.0,24952
04/17/2019,4.25,4.27,4.2201,4.37,0.0,0.0,53101
04/16/2019,4.15,4.2,4.13,4.27,0.0,0.0,28389
