Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,27.98,27.97,27.97,28.048,0.0,0.0,8816
07/15/2019,28.16,28.05,28.05,28.16,0.0,0.0,20126
07/12/2019,27.98,28.055,27.9407,28.055,0.0,0.0,9169
07/11/2019,27.9694,27.96,27.84,27.9694,0.0,0.0,15626
07/10/2019,27.91,27.9284,27.91,28,0.0,0.0,10794
07/09/2019,27.81,27.8,27.8,27.86,0.0,0.0,2364
07/08/2019,28.084,27.96,27.96,28.084,0.0,0.0,4182
07/05/2019,28.1,28.1578,27.9,28.2,0.0,0.0,25383
07/03/2019,28.28,28.36,28.28,28.42,0.0,0.0,6740
07/02/2019,28.05,28.14,28.02,28.14,0.0,0.0,8011
07/01/2019,28.14,27.98,27.9,28.14,0.0,0.0,26491
06/28/2019,27.7,27.8,27.7,27.85,0.0,0.0,9835
06/27/2019,27.62,27.71,27.5611,27.71,0.0,0.0,7274
06/26/2019,27.78,27.58,27.58,27.809,0.0,0.0,12121
06/25/2019,27.84,27.65,27.65,27.9085,0.0,0.0,11535
06/24/2019,27.93,27.8849,27.8849,27.9938,0.0,0.0,11924
06/21/2019,28.12,28.13,28.02,28.16,0.0,0.0,282748
06/20/2019,28.07,28.14,27.97,28.21,0.0,0.0,11520
06/19/2019,27.65,27.78,27.64,27.8499,0.0,0.0,12306
06/18/2019,27.7536,27.715,27.7,27.7798,0.0,0.0,2419
06/17/2019,27.64,27.43,27.43,27.64,0.0,0.0,6938
06/14/2019,27.5761,27.6006,27.5761,27.6555,0.0,0.0,1609
06/13/2019,27.73,27.73,27.67,27.805,0.0,0.0,2746
06/12/2019,27.51,27.6123,27.51,27.6123,0.0,0.0,2214
06/11/2019,27.67,27.5,27.46,27.67,0.0,0.0,5478
06/10/2019,27.53,27.57,27.53,27.6166,0.0,0.0,19377
06/07/2019,27.52,27.63,27.5,27.6689,0.0,0.0,8187
06/06/2019,27.35,27.3926,27.25,27.3926,0.0,0.0,6649
06/05/2019,27.16,27.1479,27.1301,27.16,0.0,0.0,2458
06/04/2019,26.73,27,26.65,27,0.0,0.0,6981
06/03/2019,26.44,26.66,26.44,26.66,0.0,0.0,7222
05/31/2019,26.2708,26.375,26.2708,26.39,0.0,0.0,7191
05/30/2019,26.41,26.33,26.33,26.42,0.0,0.0,4858
05/29/2019,26.29,26.25,26.2,26.44,0.0,0.0,8548
05/28/2019,26.53,26.375,26.375,26.56,0.0,0.0,5950
05/24/2019,26.485,26.5011,26.4327,26.5171,0.0,0.0,1779
05/23/2019,26.38,26.3,26.215,26.38,0.0,0.0,5675
05/22/2019,26.49,26.6083,26.49,26.6502,0.0,0.0,3510
05/21/2019,26.5,26.5979,26.5,26.6355,0.0,0.0,3188
05/20/2019,26.35,26.27,26.27,26.35,0.0,0.0,6439
05/17/2019,26.46,26.3615,26.3615,26.5492,0.0,0.0,3330
05/16/2019,26.68,26.56,26.56,26.7116,0.0,0.0,5869
05/15/2019,26.5293,26.6823,26.5293,26.7059,0.0,0.0,5422
05/14/2019,26.56,26.6107,26.56,26.74,0.0,0.0,3998
05/13/2019,26.76,26.6,26.45,26.78,0.0,0.0,7633
05/10/2019,27.09,27.11,26.83,27.2,0.0,0.0,6936
05/09/2019,26.95,27.13,26.79,27.13,0.0,0.0,6669
05/08/2019,27.21,27.25,27.1821,27.265,0.0,0.0,4048
05/07/2019,27.43,27.23,27.13,27.43,0.0,0.0,15037
05/06/2019,27.51,27.6832,27.51,27.6832,0.0,0.0,4440
05/03/2019,27.74,27.92,27.74,27.95,0.0,0.0,4915
05/02/2019,27.59,27.6096,27.4725,27.6299,0.0,0.0,6052
05/01/2019,27.63,27.41,27.41,27.65,0.0,0.0,4054
04/30/2019,27.58,27.6593,27.51,27.69,0.0,0.0,10287
04/29/2019,27.51,27.6148,27.51,27.65,0.0,0.0,1852
04/26/2019,27.39,27.51,27.36,27.51,0.0,0.0,7632
04/25/2019,27.31,27.2889,27.2,27.31,0.0,0.0,28845
04/24/2019,27.21,27.254,27.21,27.289,0.0,0.0,5633
04/23/2019,27.12,27.29,27.12,27.29,0.0,0.0,9314
04/22/2019,27.23,27.32,27.18,27.32,0.0,0.0,8772
04/18/2019,27.19,27.32,27.19,27.34,0.0,0.0,17872
04/17/2019,27.45,27.27,27.191,27.45,0.0,0.0,22717
04/16/2019,27.49,27.44,27.3801,27.5,0.0,0.0,5120
