Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,24.11,24.8194,24.11,24.8194,0.0,0.0,576
07/15/2019,24.2205,24.2,24.18,24.2205,0.0,0.0,1895
07/12/2019,23.88,24.11,23.8714,24.94,0.0,0.0,5558
07/11/2019,24.1184,24.1068,24.1,24.14,0.0,0.0,2784
07/10/2019,24.5,24.31,24.31,24.5,0.0,0.0,1032
07/09/2019,24.2413,24.2413,24.2413,24.2413,0.0,0.0,188
07/08/2019,24.35,24.1723,24.1723,24.35,0.0,0.0,1042
07/05/2019,24.1,24.1,24.1,24.1,0.0,0.0,816
07/03/2019,24.3,24.3,24.3,24.3,0.0,0.0,783
07/02/2019,24.79,24.3,24.3,24.79,0.0,0.0,3200
07/01/2019,24.35,24.3,24.1001,24.35,0.0,0.0,4141
06/28/2019,24.386,24.3,24.273,24.59,0.0,0.0,9188
06/27/2019,24.48,24.49,24.072,24.49,0.0,0.0,556
06/26/2019,24.4278,24.4999,24.3978,24.4999,0.0,0.0,2739
06/25/2019,24.01,23.97,23.85,24.01,0.0,0.0,635
06/24/2019,24,24.3,24,24.428,0.0,0.0,1690
06/21/2019,24.45,24.025,24.025,24.5,0.0,0.0,2914
06/20/2019,23.95,24.1785,23.95,24.1785,0.0,0.0,1211
06/19/2019,24.3792,24.3792,24.3792,24.3792,0.0,0.0,00
06/18/2019,24.1592,24.3792,24.1592,24.4088,0.0,0.0,1107
06/17/2019,24.05,24.06,24,24.25,0.0,0.0,4447
06/14/2019,24.11,24.11,24.11,24.11,0.0,0.0,330
06/13/2019,24.5,24.25,24.1908,24.5,0.0,0.0,1332
06/12/2019,24.09,24.15,24.09,24.3913,0.0,0.0,1152
06/11/2019,24.08,24.08,24.08,24.08,0.0,0.0,00
06/10/2019,24.15,24.08,24.08,24.2,0.0,0.0,1543
06/07/2019,24.11,24.15,24.11,24.2317,0.0,0.0,2785
06/06/2019,24.272,24.24,24.09,24.5,0.0,0.0,7015
06/05/2019,24.1625,24.07,24.07,24.1625,0.0,0.0,397
06/04/2019,24.09,24.08,24.05,24.32,0.0,0.0,5051
06/03/2019,24.11,24.05,24.05,24.15,0.0,0.0,6012
05/31/2019,24.01,24.4515,24.01,24.4515,0.0,0.0,1417
05/30/2019,24.93,24.75,24.75,24.93,0.0,0.0,2332
05/29/2019,24.75,24.75,24.75,24.8424,0.0,0.0,1506
05/28/2019,24.75,24.75,24.75,24.75,0.0,0.0,243
05/24/2019,24.95,24.81,24.75,24.95,0.0,0.0,4166
05/23/2019,25.1,24.93,24.78,25.1195,0.0,0.0,4168
05/22/2019,25.12,25.1,25.1,25.1387,0.0,0.0,5186
05/21/2019,25.19,25.15,25.15,25.19,0.0,0.0,1323
05/20/2019,25.1,25.22,25.1,25.22,0.0,0.0,4615
05/17/2019,25.6,24.75,24.5,25.6,0.0,0.0,7744
05/16/2019,25.49,25.72,25.49,25.8407,0.0,0.0,12459
05/15/2019,25.36,25.74,25.01,25.74,0.0,0.0,4842
05/14/2019,25.67,25.5,25.14,25.8,0.0,0.0,5734
05/13/2019,25.13,25.29,25.13,25.93,0.0,0.0,5383
05/10/2019,25.08,25.15,25.08,26.35,0.0,0.0,10956
05/09/2019,25.0491,25.38,24.9505,25.46,0.0,0.0,11896
05/08/2019,24.9,24.9965,24.9,25.05,0.0,0.0,5612
05/07/2019,25,25,25,25,0.0,0.0,00
05/06/2019,25.25,25,24.85,25.25,0.0,0.0,8466
05/03/2019,26.18,25.73,25.39,26.2,0.0,0.0,26381
05/02/2019,26,25.71,25.71,26.25,0.0,0.0,4632
05/01/2019,26.15,26.15,26.15,26.15,0.0,0.0,00
04/30/2019,25.91,26.15,25.91,26.425,0.0,0.0,4713
04/29/2019,25.75,26,25.2792,26,0.0,0.0,4658
04/26/2019,25.7054,25.7054,25.7054,25.7054,0.0,0.0,409
04/25/2019,26,25.49,25.3461,26,0.0,0.0,10121
04/24/2019,25.96,25.32,25.32,25.96,0.0,0.0,308
04/23/2019,26.25,25.83,25.62,26.25,0.0,0.0,3899
04/22/2019,25.53,25.95,25.53,26.067,0.0,0.0,5002
04/18/2019,25.75,25.7475,25.56,25.9,0.0,0.0,4052
04/17/2019,25.4942,25.5,25.36,25.6461,0.0,0.0,6345
04/16/2019,23.99,25.35,23.99,25.99,0.0,0.0,24908
