Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.54,6.33,6.04,6.54,0.0,0.0,9137
07/15/2019,6.8963,6.63,6.63,6.8963,0.0,0.0,3302
07/12/2019,6.93,6.67,6.5728,6.96,0.0,0.0,10199
07/11/2019,6.94,6.92,6.8,6.94,0.0,0.0,1256
07/10/2019,6.885,6.71,6.6521,6.9,0.0,0.0,12480
07/09/2019,6.54,6.655,6.54,6.84,0.0,0.0,19640
07/08/2019,6.64,6.7,6.55,7.09,0.0,0.0,6706
07/05/2019,6.82,6.83,6.57,6.91,0.0,0.0,6503
07/03/2019,7,6.99,6.81,7.06,0.0,0.0,3049
07/02/2019,7.2,7.05,7.01,7.23,0.0,0.0,14734
07/01/2019,7.2,7.18,7.125,7.41,0.0,0.0,32421
06/28/2019,6.96,7.2,6.74,7.2,0.0,0.0,33466
06/27/2019,6.45,6.83,6.39,7.1,0.0,0.0,45995
06/26/2019,6.38,6.2207,5.62,7.199,0.0,0.0,25091
06/25/2019,6.23,5.98,5.98,6.2999,0.0,0.0,5912
06/24/2019,5.82,6.23,5.82,6.25,0.0,0.0,19815
06/21/2019,5.4,5.75,5.1826,5.75,0.0,0.0,20768
06/20/2019,5.35,5.4,5,5.4,0.0,0.0,6486
06/19/2019,4.973,5.1,4.97,5.1,0.0,0.0,1158
06/18/2019,5.24,4.97,4.9,5.24,0.0,0.0,6036
06/17/2019,4.95,4.94,4.86,4.9563,0.0,0.0,4962
06/14/2019,4.95,4.95,4.95,4.9975,0.0,0.0,1674
06/13/2019,5.053,4.95,4.95,5.1,0.0,0.0,1201
06/12/2019,5.1,5,4.96,5.1,0.0,0.0,612
06/11/2019,5.071,5,5,5.17,0.0,0.0,540
06/10/2019,5,5.1,5,5.1,0.0,0.0,15315
06/07/2019,4.952,5,4.952,5.1,0.0,0.0,4811
06/06/2019,5.06,5.1,5.06,5.1,0.0,0.0,11303
06/05/2019,4.95,5.1,4.95,5.15,0.0,0.0,10134
06/04/2019,4.95,4.95,4.95,5.15,0.0,0.0,8050
06/03/2019,5.05,5,4.95,5.05,0.0,0.0,3936
05/31/2019,4.95,4.95,4.95,5.0852,0.0,0.0,1703
05/30/2019,5.075,5.025,5.025,5.24,0.0,0.0,4844
05/29/2019,5.025,4.93,4.9,5.025,0.0,0.0,11784
05/28/2019,5.2,5,4.72,5.2401,0.0,0.0,25551
05/24/2019,5.3,5.3,5.2,5.3,0.0,0.0,1682
05/23/2019,5.4,5.22,5.22,5.4,0.0,0.0,1129
05/22/2019,5.36,5.4,5.36,5.42,0.0,0.0,2087
05/21/2019,5.6241,5.27,5.1506,5.6241,0.0,0.0,25317
05/20/2019,5.57,5.6,5.1409,5.65,0.0,0.0,46524
05/17/2019,5.64,5.72,5.3,5.72,0.0,0.0,8816
05/16/2019,5.476,5.525,5.36,5.525,0.0,0.0,13951
05/15/2019,5.72,5.57,5.2763,5.72,0.0,0.0,2445
05/14/2019,5.485,5.72,5.485,5.72,0.0,0.0,1273
05/13/2019,5.59,5.5,5.1,5.59,0.0,0.0,9605
05/10/2019,5.41,5.65,5.1565,5.72,0.0,0.0,6422
05/09/2019,5.343,5.34,5.33,5.375,0.0,0.0,3603
05/08/2019,5.4,5.3,5.2374,5.4,0.0,0.0,6513
05/07/2019,5.3,5.5,5.1129,5.5,0.0,0.0,5523
05/06/2019,5.34,5.2,5.2,5.4,0.0,0.0,1263
05/03/2019,5.5093,5.6238,5.24,5.6238,0.0,0.0,4821
05/02/2019,5.42,5.42,5.42,5.42,0.0,0.0,00
05/01/2019,5.3001,5.42,5.3001,5.6235,0.0,0.0,2736
04/30/2019,5.503,5.4735,5.32,5.65,0.0,0.0,30309
04/29/2019,5.68,5.65,5.65,5.68,0.0,0.0,571
04/26/2019,5.81,5.54,5.3,5.815,0.0,0.0,10449
04/25/2019,5.57,5.87,5.4477,5.87,0.0,0.0,3442
04/24/2019,5.5,5.43,5.43,5.61,0.0,0.0,4361
04/23/2019,5.478,5.45,5.45,5.478,0.0,0.0,660
04/22/2019,5.5,5.45,5.01,5.5,0.0,0.0,2092
04/18/2019,5.446,5.4995,5.41,5.4995,0.0,0.0,4224
04/17/2019,5.4749,5.5,5.4749,5.5,0.0,0.0,1875
04/16/2019,5.38,5.5,5.34,5.5,0.0,0.0,383
