Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.64,2.65,2.64,2.72,0.0,0.0,4864
07/15/2019,2.7,2.61,2.61,2.75,0.0,0.0,11520
07/12/2019,2.65,2.67,2.64,2.6834,0.0,0.0,13900
07/11/2019,2.63,2.6689,2.62,2.68,0.0,0.0,2055
07/10/2019,2.7,2.6885,2.67,2.7,0.0,0.0,11530
07/09/2019,2.53,2.66,2.52,2.66,0.0,0.0,4306
07/08/2019,2.7,2.51,2.51,2.7,0.0,0.0,4690
07/05/2019,2.69,2.69,2.6432,2.69,0.0,0.0,2400
07/03/2019,2.6,2.67,2.6,2.67,0.0,0.0,2082
07/02/2019,2.54,2.62,2.4961,2.65,0.0,0.0,3147
07/01/2019,2.52,2.56,2.43,2.7,0.0,0.0,10687
06/28/2019,2.613,2.5,2.2,2.66,0.0,0.0,13743
06/27/2019,2.6469,2.62,2.62,2.6469,0.0,0.0,1389
06/26/2019,2.663,2.66,2.64,2.72,0.0,0.0,9425
06/25/2019,2.8,2.7,2.7,2.835,0.0,0.0,14626
06/24/2019,2.75,2.76,2.7498,2.8,0.0,0.0,13527
06/21/2019,2.7011,2.75,2.7011,2.75,0.0,0.0,9484
06/20/2019,2.71,2.65,2.6231,2.75,0.0,0.0,10732
06/19/2019,2.75,2.73,2.65,2.75,0.0,0.0,1132
06/18/2019,2.61,2.74,2.572,2.75,0.0,0.0,30812
06/17/2019,2.6052,2.6077,2.52,2.665,0.0,0.0,20092
06/14/2019,2.63,2.6273,2.6273,2.63,0.0,0.0,414
06/13/2019,2.61,2.6,2.51,2.6499,0.0,0.0,9646
06/12/2019,2.54,2.54,2.54,2.56,0.0,0.0,792
06/11/2019,2.69,2.52,2.4701,2.69,0.0,0.0,10771
06/10/2019,2.7,2.58,2.58,2.815,0.0,0.0,22894
06/07/2019,2.75,2.75,2.7244,2.75,0.0,0.0,8547
06/06/2019,2.42,2.79,2.412,2.8,0.0,0.0,26555
06/05/2019,2.44,2.49,2.44,2.5,0.0,0.0,2241
06/04/2019,2.24,2.3968,2.2099,2.3968,0.0,0.0,20507
06/03/2019,2.49,2.11,2.01,2.5173,0.0,0.0,10906
05/31/2019,2.6235,2.43,2.43,2.6235,0.0,0.0,4861
05/30/2019,2.7,2.66,2.6521,2.7,0.0,0.0,6903
05/29/2019,2.691,2.68,2.68,2.71,0.0,0.0,7135
05/28/2019,2.73,2.7,2.7,2.75,0.0,0.0,2746
05/24/2019,2.53,2.72,2.01,2.75,0.0,0.0,12028
05/23/2019,2.75,2.7365,2.69,2.75,0.0,0.0,1754
05/22/2019,2.61,2.7681,2.61,2.82,0.0,0.0,23963
05/21/2019,2.7,2.49,2.49,2.72,0.0,0.0,3910
05/20/2019,2.7,2.7,2.7,2.7,0.0,0.0,291
05/17/2019,2.7,2.738,2.678,2.738,0.0,0.0,1908
05/16/2019,2.692,2.762,2.692,2.762,0.0,0.0,10777
05/15/2019,2.5536,2.69,2.5235,2.7899,0.0,0.0,26825
05/14/2019,2.59,2.5536,2.53,2.59,0.0,0.0,681
05/13/2019,2.6,2.5299,2.5299,2.6,0.0,0.0,795
05/10/2019,2.6,2.54,2.47,2.6,0.0,0.0,10790
05/09/2019,2.75,2.6,2.38,2.75,0.0,0.0,55901
05/08/2019,2.4,2.39,2.39,2.41,0.0,0.0,1464
05/07/2019,2.3207,2.4,2.3207,2.4,0.0,0.0,8902
05/06/2019,2.21,2.25,2.1675,2.34,0.0,0.0,7044
05/03/2019,2.39,2.31,2.3,2.39,0.0,0.0,11908
05/02/2019,2.38,2.3289,2.3289,2.42,0.0,0.0,13776
05/01/2019,2.4,2.42,2.38,2.42,0.0,0.0,9336
04/30/2019,2.47,2.41,2.41,2.5,0.0,0.0,16410
04/29/2019,2.48,2.46,2.45,2.5226,0.0,0.0,3258
04/26/2019,2.42,2.47,2.41,2.48,0.0,0.0,5033
04/25/2019,2.56,2.45,2.45,2.58,0.0,0.0,2444
04/24/2019,2.52,2.5,2.45,2.56,0.0,0.0,23502
04/23/2019,2.61,2.55,2.54,2.6312,0.0,0.0,9568
04/22/2019,2.74,2.62,2.57,2.794,0.0,0.0,43403
04/18/2019,2.69,2.84,2.62,3,0.0,0.0,93394
04/17/2019,2.58,2.66,2.5,2.68,0.0,0.0,40699
04/16/2019,2.59,2.585,2.51,2.67,0.0,0.0,49330
