Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,99.1,98.44,98.14,99.41,0.0,0.0,363729
07/15/2019,98.12,99.07,97.38,99.5,0.0,0.0,284942
07/12/2019,97.17,97.8,96.89,98.07,0.0,0.0,467183
07/11/2019,97.31,97.49,96.27,97.69,0.0,0.0,244848
07/10/2019,97.33,96.89,96.1,97.89,0.0,0.0,375006
07/09/2019,96.08,97.1,96.08,97.56,0.0,0.0,302295
07/08/2019,97.87,96.78,96.065,98.8,0.0,0.0,393990
07/05/2019,97.35,98.65,96.985,98.94,0.0,0.0,238847
07/03/2019,98.26,98.23,96.95,98.52,0.0,0.0,593998
07/02/2019,98.43,97.81,97.08,98.51,0.0,0.0,492049
07/01/2019,99.5,98.56,96.61,99.5,0.0,0.0,429302
06/28/2019,96.09,99.15,95.84,99.31,0.0,0.0,1130803
06/27/2019,95.44,95.95,94.6,96.51,0.0,0.0,680779
06/26/2019,96.56,94.96,93.97,96.56,0.0,0.0,673656
06/25/2019,99.21,95.96,95.51,99.76,0.0,0.0,575726
06/24/2019,99.31,98.53,98.11,99.51,0.0,0.0,729844
06/21/2019,98.81,99.05,96.34,99.48,0.0,0.0,663757
06/20/2019,100.03,98.87,97.97,100.28,0.0,0.0,1309192
06/19/2019,97.55,98.6,96.82,98.85,0.0,0.0,740341
06/18/2019,97.19,97.78,96.42,98.34,0.0,0.0,270186
06/17/2019,96.06,96.45,95.835,96.79,0.0,0.0,382824
06/14/2019,96.51,95.93,95.87,96.9,0.0,0.0,463195
06/13/2019,95.39,96.42,94.5,96.45,0.0,0.0,428537
06/12/2019,94.9,95.96,94.76,96.39,0.0,0.0,484063
06/11/2019,95.19,95.2,93.59,95.98,0.0,0.0,638424
06/10/2019,93.58,94.3,93.4,94.82,0.0,0.0,306131
06/07/2019,93.12,93.12,92.87,93.62,0.0,0.0,320976
06/06/2019,92.83,92.47,92.19,93.85,0.0,0.0,397121
06/05/2019,92.45,92.79,91.87,93.74,0.0,0.0,756518
06/04/2019,88.02,91.86,87.81,91.97,0.0,0.0,1215052
06/03/2019,86.61,87.06,86.61,89.11,0.0,0.0,1095913
05/31/2019,86.55,86.73,85.8698,87.14,0.0,0.0,713403
05/30/2019,87.34,87.29,86.57,88.89,0.0,0.0,515408
05/29/2019,86.94,87.53,85.79,87.97,0.0,0.0,469858
05/28/2019,89.37,87.38,87.37,90.36,0.0,0.0,621541
05/24/2019,88.01,89.05,88.01,90.3,0.0,0.0,586840
05/23/2019,86.49,87.72,86.03,88.09,0.0,0.0,778736
05/22/2019,85.58,87.25,85.07,87.32,0.0,0.0,692899
05/21/2019,86.11,85.72,85.15,86.73,0.0,0.0,760558
05/20/2019,87.56,85.98,85,87.56,0.0,0.0,821085
05/17/2019,88.92,87.08,86.91,90.61,0.0,0.0,677926
05/16/2019,88.69,89.47,88.34,90.455,0.0,0.0,659676
05/15/2019,87.43,88.37,87.14,90.24,0.0,0.0,583011
05/14/2019,89.56,88.1,87.75,89.75,0.0,0.0,512762
05/13/2019,90.11,89.18,87.7247,90.56,0.0,0.0,734014
05/10/2019,91.28,92.17,88.65,92.54,0.0,0.0,866639
05/09/2019,89.89,91.54,89.25,92.18,0.0,0.0,537739
05/08/2019,91.39,90.93,90.21,92.08,0.0,0.0,395664
05/07/2019,92.2,91.44,90.52,93.89,0.0,0.0,591246
05/06/2019,91.54,93.53,90.935,94.21,0.0,0.0,437341
05/03/2019,91.81,93.38,91.215,93.51,0.0,0.0,1012897
05/02/2019,93.51,92,90.3401,97.4,0.0,0.0,1513620
05/01/2019,97.22,95.24,95.09,97.25,0.0,0.0,586821
04/30/2019,98,96.82,96.5101,98.705,0.0,0.0,461391
04/29/2019,98.53,98.17,97.5093,99.21,0.0,0.0,320384
04/26/2019,96.35,98.27,95.35,98.52,0.0,0.0,538692
04/25/2019,95.26,96.37,94.71,96.86,0.0,0.0,448915
04/24/2019,96.62,95.51,94.28,96.62,0.0,0.0,494819
04/23/2019,94.28,95.93,93.37,97.3363,0.0,0.0,930999
04/22/2019,94.14,94.3,93.24,95.63,0.0,0.0,320685
04/18/2019,94.59,94.47,93.36,95.9,0.0,0.0,623793
04/17/2019,98.59,94.13,93.63,98.59,0.0,0.0,911010
04/16/2019,101.86,98.6,97.47,102.05,0.0,0.0,610835
