Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,20.36,20.25,20.21,20.49,0.0,0.0,177342
07/15/2019,20.62,20.33,20.22,20.82,0.0,0.0,170054
07/12/2019,20.54,20.65,20.52,20.87,0.0,0.0,115644
07/11/2019,20.71,20.55,20.08,20.78,0.0,0.0,126399
07/10/2019,21.02,20.71,20.67,21.13,0.0,0.0,201674
07/09/2019,20.75,20.9,20.57,20.91,0.0,0.0,109306
07/08/2019,21.21,20.88,20.72,21.25,0.0,0.0,139719
07/05/2019,20.95,21.23,20.89,21.62,0.0,0.0,400242
07/03/2019,20.94,21.04,20.9,21.12,0.0,0.0,68136
07/02/2019,20.74,20.85,20.42,20.86,0.0,0.0,138232
07/01/2019,21.16,20.89,20.72,21.41,0.0,0.0,137155
06/28/2019,20.4,20.93,20.4,21.1,0.0,0.0,680618
06/27/2019,19.96,20.37,19.96,20.39,0.0,0.0,194833
06/26/2019,19.67,19.98,19.66,20.05,0.0,0.0,116887
06/25/2019,19.34,19.55,19.15,19.6,0.0,0.0,175602
06/24/2019,19.7,19.24,19.12,19.7,0.0,0.0,230587
06/21/2019,19.45,19.61,19.45,19.69,0.0,0.0,226772
06/20/2019,19.79,19.46,19.42,19.82,0.0,0.0,104786
06/19/2019,19.57,19.58,19.41,19.69,0.0,0.0,106738
06/18/2019,19.26,19.57,19.26,19.79,0.0,0.0,97323
06/17/2019,19.02,19.13,18.95,19.36,0.0,0.0,102228
06/14/2019,19.13,18.99,18.97,19.23,0.0,0.0,65712
06/13/2019,19.11,19.13,18.94,19.29,0.0,0.0,145484
06/12/2019,19.11,19.04,18.86,19.24,0.0,0.0,86354
06/11/2019,19.25,19.16,18.89,19.39,0.0,0.0,123197
06/10/2019,18.95,19.05,18.8,19.52,0.0,0.0,404429
06/07/2019,18.88,18.84,18.84,19.13,0.0,0.0,60876
06/06/2019,19.02,18.79,18.68,19.09,0.0,0.0,68221
06/05/2019,19.24,19.07,18.87,19.26,0.0,0.0,97550
06/04/2019,18.77,19.23,18.77,19.46,0.0,0.0,118894
06/03/2019,18.3,18.41,18.11,18.6,0.0,0.0,223188
05/31/2019,18.31,18.24,18.03,18.31,0.0,0.0,146785
05/30/2019,19.11,18.55,18.35,19.24,0.0,0.0,103952
05/29/2019,19,19.06,18.85,19.1458,0.0,0.0,166590
05/28/2019,18.85,19,18.84,19.12,0.0,0.0,229903
05/24/2019,19.48,18.8,18.75,19.6,0.0,0.0,145459
05/23/2019,19.79,19.39,19.195,19.79,0.0,0.0,257468
05/22/2019,20.33,20.04,20.02,20.33,0.0,0.0,364185
05/21/2019,20.37,20.41,20.295,20.51,0.0,0.0,103114
05/20/2019,20.265,20.25,20.06,20.345,0.0,0.0,102387
05/17/2019,20.33,20.34,20.23,20.54,0.0,0.0,153790
05/16/2019,20.38,20.5,20.38,20.81,0.0,0.0,244720
05/15/2019,20.08,20.3,19.95,20.45,0.0,0.0,249989
05/14/2019,20.06,20.25,19.92,20.26,0.0,0.0,146743
05/13/2019,20.19,20.06,19.75,20.45,0.0,0.0,316603
05/10/2019,20.49,20.57,20.29,20.73,0.0,0.0,146910
05/09/2019,21.13,20.67,20.51,21.13,0.0,0.0,139964
05/08/2019,22.73,21.3,21.22,22.735,0.0,0.0,392349
05/07/2019,22.75,22.66,22.35,23.98,0.0,0.0,452063
05/06/2019,21.38,21.61,21.22,21.62,0.0,0.0,212609
05/03/2019,21.55,21.71,21.43,21.84,0.0,0.0,286434
05/02/2019,21.53,21.43,21.08,21.915,0.0,0.0,159602
05/01/2019,22,21.65,21.64,22.1,0.0,0.0,130726
04/30/2019,22.21,21.92,21.5,22.21,0.0,0.0,161235
04/29/2019,22.09,22.21,21.855,22.33,0.0,0.0,113292
04/26/2019,22.3,22.03,21.89,22.3,0.0,0.0,157577
04/25/2019,22.45,22.3,21.92,22.45,0.0,0.0,154625
04/24/2019,22.18,22.53,22.15,22.69,0.0,0.0,172587
04/23/2019,21.95,22.2,21.9,22.28,0.0,0.0,179621
04/22/2019,21.89,21.98,21.53,22.09,0.0,0.0,126932
04/18/2019,21.52,21.86,21.52,22.135,0.0,0.0,357369
04/17/2019,21.8,21.64,21.57,21.81,0.0,0.0,113518
04/16/2019,21.57,21.65,21.57,21.81,0.0,0.0,128096
