Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,21.42,21.59,21.25,21.68,0.0,0.0,16176
07/15/2019,21.69,21.59,21.2,21.81,0.0,0.0,6932
07/12/2019,21.32,21.56,21.27,21.73,0.0,0.0,12690
07/11/2019,21.5,21.38,21.38,21.51,0.0,0.0,25105
07/10/2019,21.405,21.5,21.3211,21.5,0.0,0.0,12457
07/09/2019,21.5,21.42,21.18,21.51,0.0,0.0,32056
07/08/2019,21.53,21.75,21.32,21.81,0.0,0.0,17494
07/05/2019,21.4,21.36,21.05,21.46,0.0,0.0,5914
07/03/2019,21.41,21.28,21.22,21.5,0.0,0.0,5046
07/02/2019,21.64,21.36,21.298,21.66,0.0,0.0,24940
07/01/2019,21.13,21.49,21.02,21.77,0.0,0.0,34512
06/28/2019,20.76,20.99,20.59,21.49,0.0,0.0,708468
06/27/2019,20.51,20.58,20.33,20.69,0.0,0.0,20154
06/26/2019,20.44,20.62,20.3005,20.75,0.0,0.0,19970
06/25/2019,20.59,20.67,20.4,21.07,0.0,0.0,26384
06/24/2019,20.465,20.59,20.185,20.87,0.0,0.0,17859
06/21/2019,20.91,20.35,20.35,20.91,0.0,0.0,12994
06/20/2019,21.09,20.88,20.55,21.09,0.0,0.0,9658
06/19/2019,20.54,20.99,20,20.99,0.0,0.0,27263
06/18/2019,20.15,20.53,20.15,20.59,0.0,0.0,15157
06/17/2019,20.24,20.4,19.93,20.4,0.0,0.0,22768
06/14/2019,20,20.35,20,20.44,0.0,0.0,19619
06/13/2019,20.29,20.3,20,20.3,0.0,0.0,23818
06/12/2019,20.11,20.29,19.97,20.35,0.0,0.0,19227
06/11/2019,20.24,20.35,19.935,20.35,0.0,0.0,4764
06/10/2019,20.33,20.12,19.92,20.45,0.0,0.0,7808
06/07/2019,20.44,20.35,20.2,20.44,0.0,0.0,6071
06/06/2019,20.39,20.22,20.015,20.39,0.0,0.0,3535
06/05/2019,20.4,20.38,19.965,20.4,0.0,0.0,2448
06/04/2019,20.4,20.38,20.15,20.48,0.0,0.0,7284
06/03/2019,20,20.47,19.975,20.47,0.0,0.0,3203
05/31/2019,20.22,19.97,19.97,20.22,0.0,0.0,2797
05/30/2019,20,20.19,19.93,20.19,0.0,0.0,3828
05/29/2019,20.06,20.12,19.88,20.25,0.0,0.0,10874
05/28/2019,20.19,20.21,19.78,20.23,0.0,0.0,4602
05/24/2019,20.46,20.21,20.21,20.49,0.0,0.0,2318
05/23/2019,20.495,20.51,20.24,20.58,0.0,0.0,3789
05/22/2019,20.36,20.36,20.21,20.69,0.0,0.0,11828
05/21/2019,20.48,20.59,20.34,20.76,0.0,0.0,5425
05/20/2019,20.37,20.6,20.21,20.695,0.0,0.0,15484
05/17/2019,20.7,20.95,20.4558,20.99,0.0,0.0,3751
05/16/2019,20.91,20.895,20.3682,20.97,0.0,0.0,2656
05/15/2019,20.86,20.71,20.71,21.1,0.0,0.0,10705
05/14/2019,21.098,21.1,20.75,21.1,0.0,0.0,11100
05/13/2019,21.1,20.88,20.4924,21.1,0.0,0.0,5820
05/10/2019,19.97,21.5,19.97,21.8,0.0,0.0,30311
05/09/2019,20,20.2,19.94,20.58,0.0,0.0,4267
05/08/2019,20.02,20.02,20.01,20.45,0.0,0.0,2653
05/07/2019,19.983,20.18,19.82,20.2,0.0,0.0,2609
05/06/2019,19.61,20.35,19.61,20.625,0.0,0.0,6032
05/03/2019,20.0132,20.355,19.8942,20.48,0.0,0.0,3838
05/02/2019,20,20.025,19.84,20.22,0.0,0.0,4915
05/01/2019,20.25,19.84,19.76,20.25,0.0,0.0,2367
04/30/2019,19,20.25,19,20.25,0.0,0.0,6462
04/29/2019,18.39,19.2,18.2887,19.86,0.0,0.0,7315
04/26/2019,19.65,18.91,18.86,19.65,0.0,0.0,3545
04/25/2019,19.63,19.55,19.55,19.78,0.0,0.0,1527
04/24/2019,19.6578,20,19.6578,20.075,0.0,0.0,2564
04/23/2019,20.3791,19.75,19.68,20.3791,0.0,0.0,8125
04/22/2019,19.9,19.97,19.58,20.37,0.0,0.0,4378
04/18/2019,20.3,19.91,19.91,20.3,0.0,0.0,3250
04/17/2019,20.11,20.01,19.76,20.65,0.0,0.0,4967
04/16/2019,20.23,19.64,19.56,20.36,0.0,0.0,5653
