Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,44.26,44.9941,44.26,45.2049,0.0,0.0,822
07/15/2019,44.25,44.2159,44.133,44.25,0.0,0.0,566
07/12/2019,43.62,44.9699,43.62,44.9699,0.0,0.0,2698
07/11/2019,43.9583,43.9999,43.945,43.9999,0.0,0.0,1476
07/10/2019,44.637,44.41,44.41,44.637,0.0,0.0,697
07/09/2019,44.365,44.5312,44.365,44.5312,0.0,0.0,1028
07/08/2019,45.61,45.74,45.61,45.7479,0.0,0.0,2012
07/05/2019,45.538,45.5,45.5,45.538,0.0,0.0,1281
07/03/2019,45.7577,45.7577,45.7577,45.7577,0.0,0.0,00
07/02/2019,45.7577,45.7577,45.7577,45.7577,0.0,0.0,151
07/01/2019,46.64,45.99,45.99,46.9433,0.0,0.0,12656
06/28/2019,45.2,45.7163,45.2,45.7163,0.0,0.0,12240
06/27/2019,44.1782,44.61,44.1782,44.61,0.0,0.0,7161
06/26/2019,43.96,44.03,43.88,44.15,0.0,0.0,10586
06/25/2019,43.6157,43.85,43.6157,43.97,0.0,0.0,15984
06/24/2019,44.1,44.1,44.1,44.1,0.0,0.0,1270
06/21/2019,44.74,44.53,44.53,45,0.0,0.0,4920
06/20/2019,44.8,45.09,44.8,45.09,0.0,0.0,2704
06/19/2019,44.5,44.5,44.5,44.5,0.0,0.0,463
06/18/2019,43.98,44.56,43.98,45.1399,0.0,0.0,674
06/17/2019,43.8099,43.84,43.8099,43.84,0.0,0.0,525
06/14/2019,44.35,43.7,43.7,44.35,0.0,0.0,569
06/13/2019,44.16,44.32,44.14,44.44,0.0,0.0,2059
06/12/2019,43.7173,43.7173,43.7173,43.7173,0.0,0.0,00
06/11/2019,43.7173,43.7173,43.7173,43.7173,0.0,0.0,290
06/10/2019,43.54,43.62,43.54,43.7289,0.0,0.0,3713
06/07/2019,43.2,43.32,42.97,43.32,0.0,0.0,5797
06/06/2019,43,42.72,42.35,43,0.0,0.0,3425
06/05/2019,42.7838,42.735,42.735,42.7838,0.0,0.0,811
06/04/2019,42.185,42.7962,42.185,42.7962,0.0,0.0,1468
06/03/2019,40.63,41.26,40.63,41.5667,0.0,0.0,9616
05/31/2019,40.94,40.6725,40.61,40.94,0.0,0.0,932
05/30/2019,42.23,41.3639,41.3639,42.24,0.0,0.0,1337
05/29/2019,41.8,41.93,41.8,41.93,0.0,0.0,574
05/28/2019,42.66,42.55,42.55,42.66,0.0,0.0,443
05/24/2019,42.89,42.89,42.89,42.89,0.0,0.0,602
05/23/2019,43.17,43.37,43.17,43.47,0.0,0.0,713
05/22/2019,44.01,43.6501,43.6501,44.01,0.0,0.0,1463
05/21/2019,43.8055,44.101,43.8055,44.101,0.0,0.0,1025
05/20/2019,43.7956,43.7956,43.7956,43.7956,0.0,0.0,392
05/17/2019,44.58,44.4945,44.36,44.5831,0.0,0.0,1433
05/16/2019,45.4563,45.1258,45.1258,45.4563,0.0,0.0,968
05/15/2019,45.06,45.06,45.06,45.06,0.0,0.0,00
05/14/2019,44.7787,45.06,44.7787,45.06,0.0,0.0,722
05/13/2019,45.33,44.4453,44.4453,45.511,0.0,0.0,1950
05/10/2019,46.51,46.51,46.51,46.51,0.0,0.0,00
05/09/2019,46.9,46.51,46.03,46.9,0.0,0.0,480
05/08/2019,47.1214,47.215,47.0807,47.36,0.0,0.0,1170
05/07/2019,48.43,47.5,47.5,48.43,0.0,0.0,589
05/06/2019,48.61,48.7769,48.61,48.7769,0.0,0.0,453
05/03/2019,47.31,49,47.31,49,0.0,0.0,1556
05/02/2019,47.4069,47.4069,47.4069,47.4069,0.0,0.0,296
05/01/2019,48.4041,48.4041,48.4041,48.4041,0.0,0.0,00
04/30/2019,48.28,48.4041,48.28,48.4041,0.0,0.0,591
04/29/2019,48.15,48.3901,48.14,48.3901,0.0,0.0,1832
04/26/2019,47.94,47.99,47.94,48.05,0.0,0.0,3945
04/25/2019,48.06,47.6899,47.6899,48.06,0.0,0.0,417
04/24/2019,48.6438,48.47,48.2601,48.6438,0.0,0.0,7522
04/23/2019,48.43,49.15,48.11,49.15,0.0,0.0,2458
04/22/2019,49.13,49.13,49.13,49.13,0.0,0.0,00
04/18/2019,49.13,49.13,49.13,49.13,0.0,0.0,236
04/17/2019,49.44,49.44,49.44,49.44,0.0,0.0,136
04/16/2019,48.7,49.363,48.7,49.363,0.0,0.0,2200
