Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,61.54,62.19,61.315,62.54,0.0,0.0,230571
07/15/2019,61.15,61.39,59.99,61.63,0.0,0.0,254077
07/12/2019,56.82,61.21,56.82,61.74,0.0,0.0,366985
07/11/2019,50.87,56.74,49.99,57.0795,0.0,0.0,661293
07/10/2019,54.01,55.48,53.4882,55.66,0.0,0.0,407784
07/09/2019,55,53.71,53.46,55.46,0.0,0.0,213993
07/08/2019,51.13,55.05,50.995,55.66,0.0,0.0,325762
07/05/2019,50.59,51.05,50.38,51.25,0.0,0.0,300813
07/03/2019,51,50.76,50.63,51.45,0.0,0.0,81541
07/02/2019,50.99,50.86,50.49,51.75,0.0,0.0,189174
07/01/2019,52.15,50.85,50.3,53.65,0.0,0.0,297118
06/28/2019,52.07,51.12,50.77,52.43,0.0,0.0,1127138
06/27/2019,51.06,51.89,50.88,52.02,0.0,0.0,239331
06/26/2019,50.95,50.8,50.37,52.03,0.0,0.0,234156
06/25/2019,51,50.83,50.15,51.68,0.0,0.0,238588
06/24/2019,51.61,51.03,50.93,51.95,0.0,0.0,189103
06/21/2019,52.71,51.61,51.5,52.93,0.0,0.0,239062
06/20/2019,52.69,52.8,52.54,53.435,0.0,0.0,170634
06/19/2019,52.16,52.47,51.64,52.5,0.0,0.0,136128
06/18/2019,51.67,52.17,51.155,52.98,0.0,0.0,79270
06/17/2019,51.8,51.62,51.35,51.99,0.0,0.0,77845
06/14/2019,52.14,51.8,51.01,52.59,0.0,0.0,109328
06/13/2019,51.73,52.1,51.04,52.14,0.0,0.0,120775
06/12/2019,52.04,51.6,51.25,52.32,0.0,0.0,106232
06/11/2019,50.83,51.97,50.325,52.37,0.0,0.0,188311
06/10/2019,49.92,50.47,49.79,50.8,0.0,0.0,165600
06/07/2019,49.46,49.78,49.32,51.8,0.0,0.0,141640
06/06/2019,49.5,49.29,48.52,49.745,0.0,0.0,94732
06/05/2019,50.2,49.51,49.13,50.525,0.0,0.0,104374
06/04/2019,49.19,50.03,49.19,51.06,0.0,0.0,131989
06/03/2019,48.62,48.69,48.14,49.37,0.0,0.0,197240
05/31/2019,50.5,48.6,48.06,50.82,0.0,0.0,177210
05/30/2019,51.36,50.97,50.58,51.81,0.0,0.0,94306
05/29/2019,52.96,51.16,50.78,53.045,0.0,0.0,113615
05/28/2019,52.94,53.22,52.58,54.12,0.0,0.0,135852
05/24/2019,53.35,52.92,52.81,53.9,0.0,0.0,65544
05/23/2019,53.26,53.08,52.88,53.4472,0.0,0.0,141426
05/22/2019,54.35,53.69,53.45,54.3971,0.0,0.0,73756
05/21/2019,54.25,54.45,54.05,54.93,0.0,0.0,64520
05/20/2019,53.51,54.08,53.51,54.43,0.0,0.0,95438
05/17/2019,54.28,53.91,53.705,54.45,0.0,0.0,112336
05/16/2019,55.27,54.77,54.595,55.55,0.0,0.0,82226
05/15/2019,55.12,55.1,54.24,55.48,0.0,0.0,121320
05/14/2019,55.91,55.51,55.25,56.3,0.0,0.0,119553
05/13/2019,56.57,55.68,54.93,57.13,0.0,0.0,264070
05/10/2019,57.65,57.35,56.26,57.73,0.0,0.0,145331
05/09/2019,58.03,57.75,57.06,58.095,0.0,0.0,77326
05/08/2019,58.15,58.33,57.89,58.925,0.0,0.0,277754
05/07/2019,59.73,58.32,57.82,61.3,0.0,0.0,217151
05/06/2019,59.75,60.18,59.63,60.65,0.0,0.0,70907
05/03/2019,60,60.59,59.325,61.01,0.0,0.0,133411
05/02/2019,59.28,59.69,58.67,59.865,0.0,0.0,75720
05/01/2019,59.78,59.53,59.35,60.37,0.0,0.0,112638
04/30/2019,60.08,59.81,58.41,61.1295,0.0,0.0,237435
04/29/2019,60.54,60.11,59.98,61.475,0.0,0.0,89464
04/26/2019,60.22,60.54,59.81,60.76,0.0,0.0,89728
04/25/2019,59.84,60.27,59.16,60.67,0.0,0.0,127836
04/24/2019,58.42,60.13,58.42,60.33,0.0,0.0,145248
04/23/2019,58.3,58.42,57.41,59.4407,0.0,0.0,117979
04/22/2019,60.01,58.49,58.21,61.43,0.0,0.0,111594
04/18/2019,60.49,60.22,60.01,61.24,0.0,0.0,152088
04/17/2019,61.54,60.72,60.15,61.67,0.0,0.0,119669
04/16/2019,62.66,61.12,60.85,62.66,0.0,0.0,160317
