Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,29.81,30.26,29.47,30.7,0.0,0.0,494202
07/15/2019,30.47,29.83,29.4909,30.9,0.0,0.0,189458
07/12/2019,30.65,30.36,30.22,31.61,0.0,0.0,294914
07/11/2019,30.55,30.57,29.76,30.75,0.0,0.0,155671
07/10/2019,29.87,30.43,29.05,30.78,0.0,0.0,215558
07/09/2019,28.28,29.24,27.71,29.805,0.0,0.0,233228
07/08/2019,28.99,28.28,27.7,29.66,0.0,0.0,225649
07/05/2019,29.31,29.06,28.575,29.765,0.0,0.0,189619
07/03/2019,28.64,29.54,28.08,29.64,0.0,0.0,83294
07/02/2019,30.27,28.4,28.1263,30.55,0.0,0.0,251683
07/01/2019,31.62,30.8,30.14,31.9,0.0,0.0,284754
06/28/2019,30.31,30.68,30.1,31,0.0,0.0,736502
06/27/2019,30.2,30.26,29.47,30.76,0.0,0.0,236484
06/26/2019,28.58,30.2,28.36,30.375,0.0,0.0,327668
06/25/2019,29.28,28.02,27.69,29.79,0.0,0.0,309485
06/24/2019,30.6,29.37,29.22,30.755,0.0,0.0,127780
06/21/2019,31.46,30.58,30.19,32.05,0.0,0.0,542934
06/20/2019,30.93,31.53,30.93,32.31,0.0,0.0,213630
06/19/2019,30.74,29.92,29.21,30.79,0.0,0.0,116494
06/18/2019,29.99,30.73,29.99,31.23,0.0,0.0,111029
06/17/2019,29.02,29.61,27.87,29.81,0.0,0.0,158957
06/14/2019,29.32,29.06,28.77,29.9,0.0,0.0,164462
06/13/2019,28.43,29.32,28.21,29.43,0.0,0.0,132943
06/12/2019,29,27.86,27.33,29,0.0,0.0,131228
06/11/2019,31.01,29.29,29.04,31.355,0.0,0.0,167737
06/10/2019,31.87,30.62,30.54,32.375,0.0,0.0,123175
06/07/2019,30.56,31.75,30.03,32.085,0.0,0.0,141801
06/06/2019,29.5,30.58,28.95,30.695,0.0,0.0,151224
06/05/2019,31.81,29.5,29.13,31.9525,0.0,0.0,185331
06/04/2019,31.12,31.81,30.66,31.89,0.0,0.0,189485
06/03/2019,30.73,30.83,30.5,31.25,0.0,0.0,165162
05/31/2019,30.67,30.5,30.115,31.22,0.0,0.0,109166
05/30/2019,32,31.4,31.25,32.66,0.0,0.0,142976
05/29/2019,32,31.91,30.9201,32.59,0.0,0.0,420919
05/28/2019,32.8,32.52,32.22,33.17,0.0,0.0,140124
05/24/2019,33.27,32.78,32.4,33.27,0.0,0.0,321805
05/23/2019,35.99,32.75,32.58,35.99,0.0,0.0,446434
05/22/2019,37.4,35.9,35.84,37.71,0.0,0.0,453255
05/21/2019,37.98,37.84,37.31,38.5,0.0,0.0,183278
05/20/2019,37.86,37.62,37.02,38.55,0.0,0.0,193037
05/17/2019,38.35,38.22,37.55,39.24,0.0,0.0,254178
05/16/2019,38.33,38.85,37.81,39.31,0.0,0.0,365723
05/15/2019,37.52,38.22,36.135,38.43,0.0,0.0,308614
05/14/2019,37.91,37.91,36.98,38.65,0.0,0.0,213404
05/13/2019,39.85,37.69,36.85,40.49,0.0,0.0,506126
05/10/2019,43.27,40.99,39.55,43.27,0.0,0.0,492023
05/09/2019,42.84,43.28,41.505,43.43,0.0,0.0,226068
05/08/2019,42.7,43.06,42.13,43.405,0.0,0.0,228773
05/07/2019,43.23,42.75,42.2,43.74,0.0,0.0,274041
05/06/2019,40.54,43.89,40.3636,44.29,0.0,0.0,177285
05/03/2019,41.02,41.35,40.56,41.51,0.0,0.0,266366
05/02/2019,41.65,40.58,40.48,42.02,0.0,0.0,291800
05/01/2019,45.05,42.45,41.9,45.34,0.0,0.0,277879
04/30/2019,45.27,44.9,44.51,45.345,0.0,0.0,148674
04/29/2019,44.65,45.05,43.6,45.32,0.0,0.0,168897
04/26/2019,44.53,44.24,43.3234,44.53,0.0,0.0,148680
04/25/2019,46.21,45.02,44.36,46.4,0.0,0.0,261486
04/24/2019,45.7,46.18,44.61,46.34,0.0,0.0,374482
04/23/2019,44.01,45.6,43.275,45.725,0.0,0.0,252713
04/22/2019,41.85,43.83,40.96,44.32,0.0,0.0,325779
04/18/2019,41.7,41.19,40.37,41.9521,0.0,0.0,232279
04/17/2019,41.41,41.66,41.13,41.88,0.0,0.0,179197
04/16/2019,41.81,41.25,41.06,42.3619,0.0,0.0,224302
