Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.06,1.065,1.05,1.07,0.0,0.0,30203
07/15/2019,1.06,1.07,1.05,1.07,0.0,0.0,32012
07/12/2019,1.0542,1.0686,1.05,1.07,0.0,0.0,14714
07/11/2019,1.06,1.058,1.05,1.09,0.0,0.0,37396
07/10/2019,1.14,1.05,1.05,1.14,0.0,0.0,142491
07/09/2019,1.02,1.18,1.02,1.19,0.0,0.0,348020
07/08/2019,1.05,1.04,1.04,1.07,0.0,0.0,7557
07/05/2019,1.05,1.05,1.04,1.1,0.0,0.0,97933
07/03/2019,1.1,1.045,1.04,1.1,0.0,0.0,46549
07/02/2019,1.11,1.1,1.08,1.13,0.0,0.0,49764
07/01/2019,1.08,1.1,1.0722,1.1641,0.0,0.0,140802
06/28/2019,1.07,1.06,1.04,1.0997,0.0,0.0,40252
06/27/2019,1.05,1.04,1.03,1.06,0.0,0.0,39432
06/26/2019,1,1.03,1,1.05,0.0,0.0,23083
06/25/2019,1.02,1.04,1,1.04,0.0,0.0,43548
06/24/2019,1.02,1.02,1.0025,1.05,0.0,0.0,34124
06/21/2019,1.03,1.031,1.01,1.12,0.0,0.0,408756
06/20/2019,1.02,1.0392,1.01,1.05,0.0,0.0,82856
06/19/2019,1.016,1.018,1,1.04,0.0,0.0,37774
06/18/2019,1.05,1.02,0.9828,1.05,0.0,0.0,89747
06/17/2019,1.022,1.02,1.02,1.04,0.0,0.0,37616
06/14/2019,1.06,1.02,1.01,1.06,0.0,0.0,42798
06/13/2019,1.026,1.07,0.97,1.12,0.0,0.0,590454
06/12/2019,1.04,1.02,0.99,1.04,0.0,0.0,46185
06/11/2019,1.0601,1.0497,1.01,1.07,0.0,0.0,54700
06/10/2019,1.0893,1.0599,1.01,1.0893,0.0,0.0,27405
06/07/2019,1.045,1.05,1.04,1.09,0.0,0.0,40260
06/06/2019,1.07,1.05,1.03,1.08,0.0,0.0,37941
06/05/2019,1.1,1.1,1.06,1.1,0.0,0.0,41936
06/04/2019,1.078,1.1,1.06,1.15,0.0,0.0,150168
06/03/2019,1.04,1.04,1.04,1.09,0.0,0.0,45560
05/31/2019,1.061,1.056,1.04,1.12,0.0,0.0,34042
05/30/2019,1.07,1.06,1.06,1.0996,0.0,0.0,26495
05/29/2019,1.07,1.08,1.06,1.1,0.0,0.0,35232
05/28/2019,1.14,1.1,1.09,1.14,0.0,0.0,69153
05/24/2019,1.09,1.09,1.06,1.094,0.0,0.0,47024
05/23/2019,1.11,1.09,1.08,1.12,0.0,0.0,70828
05/22/2019,1.18,1.11,1.09,1.18,0.0,0.0,50268
05/21/2019,1.18,1.08,1.07,1.18,0.0,0.0,98526
05/20/2019,1.18,1.15,1.12,1.22,0.0,0.0,92522
05/17/2019,1.14,1.19,1.12,1.2,0.0,0.0,70487
05/16/2019,1.17,1.14,1.1226,1.24,0.0,0.0,154039
05/15/2019,1.1055,1.18,1.1001,1.24,0.0,0.0,138702
05/14/2019,1.17,1.1343,1.08,1.17,0.0,0.0,79186
05/13/2019,1.13,1.17,1.06,1.18,0.0,0.0,248322
05/10/2019,1.16,1.1396,1.1,1.16,0.0,0.0,34690
05/09/2019,1.19,1.15,1.12,1.2,0.0,0.0,53262
05/08/2019,1.11,1.19,1.11,1.22,0.0,0.0,43390
05/07/2019,1.0971,1.1144,1.09,1.16,0.0,0.0,42117
05/06/2019,1.15,1.16,1.12,1.2,0.0,0.0,54147
05/03/2019,1.23,1.19,1.15,1.235,0.0,0.0,79580
05/02/2019,1.22,1.23,1.2,1.25,0.0,0.0,30317
05/01/2019,1.22,1.24,1.1562,1.258,0.0,0.0,62630
04/30/2019,1.27,1.21,1.18,1.3065,0.0,0.0,44122
04/29/2019,1.23,1.26,1.1608,1.32,0.0,0.0,113151
04/26/2019,1.28,1.23,1.2,1.28,0.0,0.0,47342
04/25/2019,1.32,1.2635,1.17,1.32,0.0,0.0,63564
04/24/2019,1.34,1.32,1.29,1.34,0.0,0.0,42039
04/23/2019,1.39,1.33,1.2,1.41,0.0,0.0,113700
04/22/2019,1.35,1.38,1.31,1.39,0.0,0.0,35352
04/18/2019,1.26,1.34,1.26,1.34,0.0,0.0,53459
04/17/2019,1.35,1.25,1.22,1.36,0.0,0.0,51896
04/16/2019,1.43,1.3635,1.34,1.43,0.0,0.0,74297
