Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,32.383,33.25,31.55,33.39,0.0,0.0,2706
07/15/2019,33.2,32.99,32.4,33.6999,0.0,0.0,4705
07/12/2019,31.6,32.15,31.6,33.7999,0.0,0.0,1765
07/11/2019,31.5942,31.7,31.469,31.75,0.0,0.0,2430
07/10/2019,31.35,31.4628,31.35,31.7085,0.0,0.0,2732
07/09/2019,30.99,30.99,30.99,30.99,0.0,0.0,00
07/08/2019,30.99,30.99,30.99,30.99,0.0,0.0,00
07/05/2019,30.99,30.99,30.99,30.99,0.0,0.0,00
07/03/2019,30.99,30.99,30.99,30.99,0.0,0.0,00
07/02/2019,30.99,30.99,30.99,30.99,0.0,0.0,00
07/01/2019,30.99,30.99,30.39,30.99,0.0,0.0,757
06/28/2019,30.9875,30.9875,30.9875,30.9875,0.0,0.0,00
06/27/2019,30.55,30.9875,30.55,30.9875,0.0,0.0,478
06/26/2019,30.5,30,29.5138,30.5,0.0,0.0,1715
06/25/2019,30.2557,29.25,29.25,31.1198,0.0,0.0,3752
06/24/2019,30.1,30,30,30.5575,0.0,0.0,3100
06/21/2019,30.5,30.5,30.5,30.5,0.0,0.0,166
06/20/2019,30.21,30.21,30.21,30.21,0.0,0.0,123
06/19/2019,30.88,30.88,30.88,30.88,0.0,0.0,115
06/18/2019,31.8,31.8,31.8,31.8,0.0,0.0,853
06/17/2019,31.95,31.95,31.95,31.95,0.0,0.0,00
06/14/2019,31.95,31.95,31.95,31.95,0.0,0.0,00
06/13/2019,31.95,31.95,31.95,31.95,0.0,0.0,2045
06/12/2019,31.91,32,31.91,32,0.0,0.0,4175
06/11/2019,31.66,31.7,31.66,31.9,0.0,0.0,4984
06/10/2019,31.86,31.62,31.62,32.501,0.0,0.0,5315
06/07/2019,31.52,31.52,31.52,31.52,0.0,0.0,00
06/06/2019,33,31.52,31.52,33,0.0,0.0,4524
06/05/2019,31,33,30.99,33.42,0.0,0.0,9414
06/04/2019,30.55,32,30.05,32,0.0,0.0,6117
06/03/2019,33,33,33,33,0.0,0.0,00
05/31/2019,33,33,33,33,0.0,0.0,00
05/30/2019,32,33,30.5,33,0.0,0.0,14379
05/29/2019,33,33.5,33,33.5,0.0,0.0,1360
05/28/2019,34.75,34.1042,33.7338,34.75,0.0,0.0,3160
05/24/2019,33.21,33.1,33.09,33.9035,0.0,0.0,7491
05/23/2019,33.9999,33.9999,33.9999,33.9999,0.0,0.0,653
05/22/2019,34,34,34,34,0.0,0.0,492
05/21/2019,33.88,33.88,33.88,33.88,0.0,0.0,418
05/20/2019,33.5,33.3459,33.3459,33.5,0.0,0.0,931
05/17/2019,33.75,33.75,33.75,33.75,0.0,0.0,535
05/16/2019,34,34,34,34.01,0.0,0.0,2571
05/15/2019,33.38,33.38,33.38,33.38,0.0,0.0,00
05/14/2019,33.38,33.38,33.38,33.38,0.0,0.0,00
05/13/2019,33,33.38,33,33.38,0.0,0.0,694
05/10/2019,32.06,32.18,32.06,32.18,0.0,0.0,318
05/09/2019,33,33,33,33,0.0,0.0,00
05/08/2019,33,33,33,33,0.0,0.0,00
05/07/2019,33.29,33,33,33.29,0.0,0.0,214
05/06/2019,33.72,33.72,33.72,33.72,0.0,0.0,382
05/03/2019,33.338,33.34,33.28,33.5,0.0,0.0,7783
05/02/2019,33.5,33.05,33,33.5,0.0,0.0,694
05/01/2019,32.79,32.75,32.75,33,0.0,0.0,4867
04/30/2019,33.15,32.95,32.95,33.15,0.0,0.0,1400
04/29/2019,33.01,33.01,33.01,33.01,0.0,0.0,240
04/26/2019,32.84,32.72,32.72,32.84,0.0,0.0,902
04/25/2019,32.59,32.8,32.59,32.8,0.0,0.0,2824
04/24/2019,32.6,32.6,32.6,32.6,0.0,0.0,1140
04/23/2019,32.0427,32.0427,32.0427,32.0427,0.0,0.0,00
04/22/2019,32.0019,32.0427,32.0019,32.56,0.0,0.0,4079
04/18/2019,32.15,32.15,32.15,32.15,0.0,0.0,00
04/17/2019,32.15,32.15,32.15,32.15,0.0,0.0,00
04/16/2019,32.15,32.15,32.15,32.15,0.0,0.0,800
