Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.91,11.17,10.84,11.3,0.0,0.0,857525
07/15/2019,11.36,10.95,10.85,11.36,0.0,0.0,254367
07/12/2019,11.31,11.26,11.05,11.4,0.0,0.0,301934
07/11/2019,11.3,11.31,11.21,11.47,0.0,0.0,461209
07/10/2019,11.44,11.24,11.2,11.44,0.0,0.0,322300
07/09/2019,11.46,11.4,11.33,11.52,0.0,0.0,348724
07/08/2019,11.3,11.52,11.08,11.54,0.0,0.0,354748
07/05/2019,11.5,11.44,11.3,11.745,0.0,0.0,298479
07/03/2019,11.78,11.6,11.46,11.805,0.0,0.0,354161
07/02/2019,11.37,11.71,11.245,11.85,0.0,0.0,316535
07/01/2019,11.97,11.52,11.3,12.05,0.0,0.0,1103188
06/28/2019,11.39,11.75,11.12,11.9,0.0,0.0,1343034
06/27/2019,10,11.9,9.99,12.24,0.0,0.0,5559352
06/26/2019,10.5,11.06,10.47,11.64,0.0,0.0,934288
06/25/2019,10.62,10.7,9.9,10.76,0.0,0.0,1891463
06/24/2019,13.18,10.79,10.2,13.2,0.0,0.0,2204270
06/21/2019,14.08,13.79,13.56,14.1,0.0,0.0,81155
06/20/2019,14.13,14.2,14.0685,14.55,0.0,0.0,64443
06/19/2019,14,13.86,13.5,14.45,0.0,0.0,65277
06/18/2019,13.72,13.98,13.72,14.24,0.0,0.0,99363
06/17/2019,14.52,13.67,13.59,14.79,0.0,0.0,108151
06/14/2019,14.5,14.35,14.02,15.5,0.0,0.0,229726
06/13/2019,14.24,14.53,13.96,14.78,0.0,0.0,103582
06/12/2019,13.92,14.38,13.7,14.38,0.0,0.0,91588
06/11/2019,14.64,14.14,13.8,15.3389,0.0,0.0,194941
06/10/2019,13.73,14.5,13.62,14.78,0.0,0.0,184761
06/07/2019,14.39,13.58,13.29,14.82,0.0,0.0,116434
06/06/2019,14.35,14.14,13.73,14.9008,0.0,0.0,152194
06/05/2019,15.87,14.45,14.21,15.87,0.0,0.0,186449
06/04/2019,15,15.6,14.68,15.8,0.0,0.0,151757
06/03/2019,15.88,14.89,14.69,16.5,0.0,0.0,198376
05/31/2019,16.25,16.07,15.79,16.39,0.0,0.0,91395
05/30/2019,15.72,16.5,15.71,16.79,0.0,0.0,163615
05/29/2019,16.14,15.71,15.7,16.41,0.0,0.0,84724
05/28/2019,16.59,16.27,16.01,17.2464,0.0,0.0,118979
05/24/2019,16.45,16.27,16.27,16.75,0.0,0.0,37299
05/23/2019,17.51,16.4,16.12,17.6025,0.0,0.0,140986
05/22/2019,17.54,17.66,17.4,18.82,0.0,0.0,140251
05/21/2019,17.57,17.57,17.33,18.88,0.0,0.0,191094
05/20/2019,16.5,16.43,16.26,17.05,0.0,0.0,76092
05/17/2019,18.47,16.28,15.53,19,0.0,0.0,144463
05/16/2019,19.53,18.82,18.5,19.88,0.0,0.0,115643
05/15/2019,20,19.95,19.14,20.02,0.0,0.0,83569
05/14/2019,20.5,19.8,18.4,21.0771,0.0,0.0,239306
05/13/2019,20.01,20.6,19.8201,20.65,0.0,0.0,122055
05/10/2019,20.29,20.44,20.29,21.8,0.0,0.0,59347
05/09/2019,20.84,20.74,19.56,21.15,0.0,0.0,156986
05/08/2019,21.32,21.39,20.9,22.135,0.0,0.0,42527
05/07/2019,21,21.47,20.91,21.7,0.0,0.0,42599
05/06/2019,20.16,21.23,20,21.97,0.0,0.0,108233
05/03/2019,20.23,22.18,20.23,22.34,0.0,0.0,260563
05/02/2019,19.63,19.96,19.5,20.3,0.0,0.0,36342
05/01/2019,20.01,19.78,19.64,20.13,0.0,0.0,28755
04/30/2019,20.1,19.87,19.745,20.5,0.0,0.0,61245
04/29/2019,19.36,20.02,19.1525,21.2325,0.0,0.0,159106
04/26/2019,20.9,19.6,19.15,20.9,0.0,0.0,86720
04/25/2019,20.73,20.74,20.05,21.4875,0.0,0.0,39989
04/24/2019,20.96,20.83,20.71,21.8059,0.0,0.0,37243
04/23/2019,22.5,21.08,20.6702,22.7,0.0,0.0,69601
04/22/2019,22.86,22.81,21.56,23.2,0.0,0.0,130223
04/18/2019,20.82,24.1,20.66,24.45,0.0,0.0,290805
04/17/2019,22.45,20.7,20.3,22.55,0.0,0.0,181915
04/16/2019,17.66,22.69,17.34,22.8975,0.0,0.0,424422
