Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,70.65,70.55,69.3,70.72,0.0,0.0,1502147
07/15/2019,70.56,70.69,70.1,71.28,0.0,0.0,1367914
07/12/2019,69.56,70.26,69.52,70.38,0.0,0.0,839467
07/11/2019,69.64,69.34,68.74,69.72,0.0,0.0,612056
07/10/2019,70.1,69.34,69.2547,70.5,0.0,0.0,942946
07/09/2019,68.49,69.63,68.47,69.89,0.0,0.0,812522
07/08/2019,68.54,68.96,68.09,69.15,0.0,0.0,786128
07/05/2019,68.55,68.97,68.28,69.17,0.0,0.0,626525
07/03/2019,69.9,68.99,68.36,69.91,0.0,0.0,888211
07/02/2019,70.37,69.62,69.33,70.5,0.0,0.0,1168081
07/01/2019,71.93,70.58,69.45,72.71,0.0,0.0,3086274
06/28/2019,67.58,66.61,66.5,67.96,0.0,0.0,1240203
06/27/2019,66.39,67.06,66.36,67.85,0.0,0.0,1260909
06/26/2019,64.61,65.64,64.61,66.29,0.0,0.0,1142132
06/25/2019,64.41,63.46,63.4,64.99,0.0,0.0,923391
06/24/2019,64.18,64.55,63.54,65.42,0.0,0.0,1198127
06/21/2019,64.53,63.89,63.56,64.59,0.0,0.0,2202775
06/20/2019,66.82,64.84,64.75,66.82,0.0,0.0,1472061
06/19/2019,65.6,65.59,64.75,66.06,0.0,0.0,923229
06/18/2019,62.43,65.09,62.05,65.37,0.0,0.0,1380671
06/17/2019,61.71,61.66,60.77,62.35,0.0,0.0,741218
06/14/2019,60.93,61.5,60.37,61.82,0.0,0.0,1273286
06/13/2019,63,63.31,62.82,63.825,0.0,0.0,776871
06/12/2019,63.8,62.78,62.65,64.23,0.0,0.0,1317710
06/11/2019,65.88,64.31,63.99,66,0.0,0.0,1891408
06/10/2019,65.03,65.5,64.95,65.76,0.0,0.0,1886418
06/07/2019,63.68,64.38,63.6,64.63,0.0,0.0,1053566
06/06/2019,62.22,63.45,62.06,63.84,0.0,0.0,1022072
06/05/2019,64.65,63.44,62.57,65,0.0,0.0,1207421
06/04/2019,62.88,64.18,62.78,64.3,0.0,0.0,1643395
06/03/2019,61.65,61.88,60.77,62.75,0.0,0.0,1619138
05/31/2019,61,61.18,60.95,62.09,0.0,0.0,1284584
05/30/2019,62.18,61.87,61.41,63.73,0.0,0.0,1261072
05/29/2019,60.17,62.08,60.15,62.58,0.0,0.0,1566032
05/28/2019,62.6,60.73,60.7,62.92,0.0,0.0,1842762
05/24/2019,61.25,62.3,61.1834,62.31,0.0,0.0,3575720
05/23/2019,59.28,60.66,58.52,60.77,0.0,0.0,2774532
05/22/2019,60.87,60.2,59.47,61.18,0.0,0.0,2531863
05/21/2019,64.98,61.54,61.475,67.9516,0.0,0.0,4127067
05/20/2019,61.55,61.27,60.7,62.88,0.0,0.0,3119321
05/17/2019,66.26,63.93,63.4,66.6223,0.0,0.0,3317346
05/16/2019,69.65,68.11,68.05,70,0.0,0.0,3384224
05/15/2019,72,73.35,71.63,73.97,0.0,0.0,989244
05/14/2019,71.69,72.86,71.62,73.34,0.0,0.0,1037339
05/13/2019,72.5,71.05,70.48,73.01,0.0,0.0,1923366
05/10/2019,74.84,75.07,72.74,75.25,0.0,0.0,1897157
05/09/2019,75.38,75.15,72.76,75.38,0.0,0.0,2571286
05/08/2019,78,76.18,74.505,78.67,0.0,0.0,4752625
05/07/2019,73.61,73.68,72.7,74.46,0.0,0.0,2142836
05/06/2019,73.15,74.33,72.61,74.74,0.0,0.0,1128498
05/03/2019,76.71,75.18,75.01,76.75,0.0,0.0,1472711
05/02/2019,75.53,76.75,75.53,77.24,0.0,0.0,1198412
05/01/2019,76.81,75.58,75.45,77.67,0.0,0.0,1743436
04/30/2019,75.61,75.61,74.67,76.2475,0.0,0.0,1423823
04/29/2019,75.33,75.45,74.72,75.6,0.0,0.0,1170885
04/26/2019,73.85,74.99,72.55,75.16,0.0,0.0,2006167
04/25/2019,77.21,77.3,76.1252,77.8125,0.0,0.0,1061546
04/24/2019,77.05,77.25,76.66,78.51,0.0,0.0,1315088
04/23/2019,76.15,76.6,75.9617,76.91,0.0,0.0,1587266
04/22/2019,76.22,76.01,75.955,76.86,0.0,0.0,1185415
04/18/2019,76.64,76.68,76.14,76.995,0.0,0.0,934525
04/17/2019,78.81,76.56,76.455,78.98,0.0,0.0,1305280
04/16/2019,76.78,78.31,76.78,78.76,0.0,0.0,2131332
