Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,27.72,27.49,27.23,27.92,0.0,0.0,519165
07/15/2019,27.95,27.79,27.67,28.25,0.0,0.0,770371
07/12/2019,27.57,27.83,27.5,27.95,0.0,0.0,642996
07/11/2019,27.7,27.53,27.34,27.88,0.0,0.0,717124
07/10/2019,27.39,27.63,27.22,27.86,0.0,0.0,737984
07/09/2019,27.5,27.36,27.245,27.75,0.0,0.0,1014189
07/08/2019,27.31,27.6,27.07,27.71,0.0,0.0,692452
07/05/2019,27.46,27.43,27.04,27.54,0.0,0.0,953946
07/03/2019,27.64,27.51,27.32,27.93,0.0,0.0,450494
07/02/2019,27.23,27.52,27.06,27.69,0.0,0.0,713915
07/01/2019,26.92,27.09,26.615,27.29,0.0,0.0,1930056
06/28/2019,26,26.63,25.98,27.17,0.0,0.0,3124580
06/27/2019,25.43,26.02,25.4053,26.02,0.0,0.0,724852
06/26/2019,25.35,25.26,25.075,25.55,0.0,0.0,1457946
06/25/2019,24.58,25.32,24.43,25.7,0.0,0.0,1039263
06/24/2019,24.98,24.55,24.23,25.05,0.0,0.0,1691767
06/21/2019,25.03,24.18,24.08,25.08,0.0,0.0,1339200
06/20/2019,25.24,25.14,25.03,25.61,0.0,0.0,1862769
06/19/2019,25.83,25.16,24.94,25.99,0.0,0.0,1426714
06/18/2019,26.28,25.8,25.57,26.47,0.0,0.0,666208
06/17/2019,26.01,26.11,25.91,26.43,0.0,0.0,557877
06/14/2019,25.98,25.9,25.68,26.35,0.0,0.0,726565
06/13/2019,25.3,25.95,25.3,25.96,0.0,0.0,959711
06/12/2019,24.7,25.25,24.69,25.75,0.0,0.0,1624570
06/11/2019,23.75,24.64,23.75,24.67,0.0,0.0,1743323
06/10/2019,23.75,23.77,23.67,24.2,0.0,0.0,1604278
06/07/2019,24.02,23.6,23.435,24.02,0.0,0.0,1502819
06/06/2019,24.05,23.91,23.4,24.27,0.0,0.0,1025605
06/05/2019,24.65,24.05,23.97,24.84,0.0,0.0,991011
06/04/2019,24.26,24.52,23.82,24.7,0.0,0.0,889620
06/03/2019,23.76,24.12,23.76,24.28,0.0,0.0,686663
05/31/2019,23.72,23.86,23.53,24.08,0.0,0.0,803329
05/30/2019,23.92,24.1,23.835,24.24,0.0,0.0,480807
05/29/2019,23.65,23.83,22.65,24.09,0.0,0.0,925247
05/28/2019,23.42,23.82,23.4,24.03,0.0,0.0,651683
05/24/2019,23.49,23.46,23.2389,23.84,0.0,0.0,1152735
05/23/2019,23.22,23.31,22.86,23.55,0.0,0.0,566355
05/22/2019,23.98,23.43,23.385,24.08,0.0,0.0,792587
05/21/2019,23.77,24.01,23.72,24.19,0.0,0.0,706135
05/20/2019,24.13,23.77,23.59,24.28,0.0,0.0,533576
05/17/2019,24.41,24.33,24.14,24.55,0.0,0.0,652743
05/16/2019,24.44,24.38,24.28,24.89,0.0,0.0,587957
05/15/2019,24.38,24.38,24.01,24.85,0.0,0.0,740801
05/14/2019,23.96,24.38,23.66,24.59,0.0,0.0,774171
05/13/2019,25.07,23.93,23.69,25.2,0.0,0.0,1227141
05/10/2019,24.99,25.35,24.58,25.4,0.0,0.0,885320
05/09/2019,26.015,24.99,24.55,26.27,0.0,0.0,2262388
05/08/2019,26.55,26.25,25.39,26.75,0.0,0.0,1465157
05/07/2019,24.8,26.45,24.7,26.5,0.0,0.0,4016359
05/06/2019,24.5,25.05,24.27,25.2,0.0,0.0,1265906
05/03/2019,24.75,24.75,24.56,24.94,0.0,0.0,1872520
05/02/2019,24.4,24.63,24.24,24.76,0.0,0.0,927494
05/01/2019,25,24.49,24.48,25.05,0.0,0.0,837249
04/30/2019,24.92,24.93,24.6766,24.96,0.0,0.0,881419
04/29/2019,24.52,24.83,24.3,24.95,0.0,0.0,1451674
04/26/2019,24.38,24.39,24.2,24.93,0.0,0.0,965455
04/25/2019,24.58,24.87,24.11,24.95,0.0,0.0,961644
04/24/2019,23.37,24.36,23.33,24.5,0.0,0.0,1439127
04/23/2019,22.89,23.34,22.52,23.4,0.0,0.0,1255868
04/22/2019,22.46,22.9,22.4,23.77,0.0,0.0,3786331
04/18/2019,21.23,21.37,21.01,21.62,0.0,0.0,1178306
04/17/2019,20.51,21.3,20.29,21.31,0.0,0.0,1381971
04/16/2019,20.43,20.5,19.97,20.56,0.0,0.0,870424
