Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.7951,0.8,0.7851,0.82,0.0,0.0,20217
07/15/2019,0.84,0.8159,0.7923,0.84,0.0,0.0,13046
07/12/2019,0.78,0.8,0.78,0.83,0.0,0.0,72975
07/11/2019,0.7761,0.7762,0.7761,0.7941,0.0,0.0,9110
07/10/2019,0.8,0.7959,0.7763,0.8,0.0,0.0,12203
07/09/2019,0.7761,0.7984,0.776,0.8117,0.0,0.0,13462
07/08/2019,0.87,0.7761,0.776,0.87,0.0,0.0,53109
07/05/2019,0.82,0.78,0.772,0.82,0.0,0.0,7923
07/03/2019,0.81,0.7898,0.7785,0.81,0.0,0.0,7144
07/02/2019,0.82,0.81,0.778,0.82,0.0,0.0,18234
07/01/2019,0.77,0.7961,0.77,0.805,0.0,0.0,21520
06/28/2019,0.7601,0.7697,0.7601,0.81,0.0,0.0,3610
06/27/2019,0.775,0.7801,0.775,0.814,0.0,0.0,10605
06/26/2019,0.82,0.7964,0.775,0.82,0.0,0.0,15556
06/25/2019,0.79,0.8095,0.7518,0.84,0.0,0.0,87086
06/24/2019,0.79,0.76,0.76,0.79,0.0,0.0,12628
06/21/2019,0.76,0.79,0.7425,0.81,0.0,0.0,31421
06/20/2019,0.7799,0.7301,0.7301,0.7799,0.0,0.0,7936
06/19/2019,0.78,0.7771,0.7401,0.79,0.0,0.0,17570
06/18/2019,0.78,0.7553,0.73,0.7903,0.0,0.0,219384
06/17/2019,0.77,0.74,0.74,0.8,0.0,0.0,25841
06/14/2019,0.77,0.7899,0.77,0.79,0.0,0.0,6382
06/13/2019,0.7907,0.7999,0.75,0.8,0.0,0.0,14825
06/12/2019,0.81,0.7907,0.7212,0.81,0.0,0.0,8368
06/11/2019,0.81,0.8199,0.77,0.84,0.0,0.0,29230
06/10/2019,0.8,0.781,0.78,0.8,0.0,0.0,16048
06/07/2019,0.7736,0.7743,0.77,0.848,0.0,0.0,27106
06/06/2019,0.84,0.7736,0.7736,0.861,0.0,0.0,31033
06/05/2019,0.82,0.8114,0.81,0.868,0.0,0.0,13305
06/04/2019,0.84,0.82,0.801,0.8526,0.0,0.0,23684
06/03/2019,0.92,0.8667,0.8183,0.92,0.0,0.0,43986
05/31/2019,0.82,0.8999,0.82,0.905,0.0,0.0,39404
05/30/2019,0.89,0.8428,0.82,0.89,0.0,0.0,11084
05/29/2019,0.857,0.86,0.8064,0.89,0.0,0.0,11196
05/28/2019,0.89,0.9,0.86,0.9,0.0,0.0,11771
05/24/2019,0.8804,0.895,0.81,0.895,0.0,0.0,10238
05/23/2019,0.92,0.9099,0.816,0.92,0.0,0.0,17470
05/22/2019,0.93,0.9226,0.9152,0.93,0.0,0.0,4814
05/21/2019,0.95,0.94,0.92,0.95,0.0,0.0,8459
05/20/2019,0.95,0.948,0.9215,0.95,0.0,0.0,14701
05/17/2019,0.92,0.93,0.9105,0.95,0.0,0.0,3813
05/16/2019,0.96,0.955,0.92,0.96,0.0,0.0,13421
05/15/2019,0.927,0.958,0.9246,0.96,0.0,0.0,20216
05/14/2019,0.9145,0.9265,0.9145,0.965,0.0,0.0,9080
05/13/2019,0.9122,0.92,0.911,0.9619,0.0,0.0,19195
05/10/2019,0.912,0.935,0.912,0.9576,0.0,0.0,5015
05/09/2019,0.9351,0.9425,0.91,0.98,0.0,0.0,44709
05/08/2019,0.9357,0.979,0.9331,0.98,0.0,0.0,16945
05/07/2019,0.9975,0.9498,0.93,0.9975,0.0,0.0,30691
05/06/2019,0.92,0.9342,0.92,0.99,0.0,0.0,16168
05/03/2019,0.99,0.9502,0.9234,0.99,0.0,0.0,13911
05/02/2019,0.965,0.98,0.92,0.98,0.0,0.0,19666
05/01/2019,0.94,0.945,0.94,0.965,0.0,0.0,14422
04/30/2019,0.94,0.9334,0.93,0.97,0.0,0.0,16406
04/29/2019,0.9302,0.9429,0.93,0.9671,0.0,0.0,8265
04/26/2019,0.95,0.9511,0.9344,0.97,0.0,0.0,7507
04/25/2019,0.97,0.9602,0.92,0.98,0.0,0.0,41583
04/24/2019,0.97,0.98,0.95,0.98,0.0,0.0,34326
04/23/2019,0.9851,0.9802,0.9638,0.99,0.0,0.0,7666
04/22/2019,1,0.98,0.97,1,0.0,0.0,8617
04/18/2019,0.9627,0.99,0.9601,0.998,0.0,0.0,16076
04/17/2019,0.9896,0.9749,0.95,1,0.0,0.0,15790
04/16/2019,0.96,1,0.9521,1,0.0,0.0,46501
