Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,4.385,4.38,4.36,4.53,0.0,0.0,3087
07/15/2019,4.58,4.41,4.31,4.58,0.0,0.0,4713
07/12/2019,4.44,4.58,4.4097,4.58,0.0,0.0,3483
07/11/2019,4.3992,4.6,4.3992,4.65,0.0,0.0,12474
07/10/2019,4.41,4.47,4.41,4.48,0.0,0.0,848
07/09/2019,4.35,4.41,4.34,4.475,0.0,0.0,5777
07/08/2019,4.35,4.36,4.27,4.36,0.0,0.0,6488
07/05/2019,4.56,4.38,4.27,4.6186,0.0,0.0,3280
07/03/2019,4.4,4.3,4.3,4.61,0.0,0.0,6157
07/02/2019,4.3675,4.5282,4.28,4.5282,0.0,0.0,7793
07/01/2019,4.27,4.412,4.27,4.66,0.0,0.0,7939
06/28/2019,4.03,4.22,4.03,4.88,0.0,0.0,9163
06/27/2019,4.2,4.15,4.12,4.37,0.0,0.0,5482
06/26/2019,4.45,4.19,4.15,4.51,0.0,0.0,21706
06/25/2019,4.76,4.56,4.56,4.94,0.0,0.0,15999
06/24/2019,4.814,4.8355,4.79,4.97,0.0,0.0,38956
06/21/2019,4.92,4.85,4.8,4.97,0.0,0.0,28771
06/20/2019,5.05,4.8625,4.85,5.05,0.0,0.0,7655
06/19/2019,5,5.16,4.9891,5.16,0.0,0.0,8223
06/18/2019,4.9,5.127,4.9,5.5,0.0,0.0,102987
06/17/2019,4.847,5.039,4.72,5.33,0.0,0.0,60319
06/14/2019,5.04,4.92,4.7101,5.04,0.0,0.0,11036
06/13/2019,5.0799,4.9985,4.75,5.08,0.0,0.0,16138
06/12/2019,4.9002,4.96,4.77,4.99,0.0,0.0,7351
06/11/2019,4.9,4.7738,4.6501,5.0867,0.0,0.0,5677
06/10/2019,4.96,4.8028,4.8028,5.25,0.0,0.0,34953
06/07/2019,4.97,4.7599,4.65,4.97,0.0,0.0,13970
06/06/2019,4.7242,4.6744,4.5125,4.8775,0.0,0.0,1169
06/05/2019,4.89,4.77,4.65,5.04,0.0,0.0,36354
06/04/2019,4.5,4.65,4.5,5.04,0.0,0.0,4347
06/03/2019,4.68,4.6279,4.2,4.69,0.0,0.0,7812
05/31/2019,4.55,4.88,4.53,4.98,0.0,0.0,66580
05/30/2019,4.64,4.55,4.55,5.87,0.0,0.0,12249
05/29/2019,4.35,4.52,4.35,4.52,0.0,0.0,3999
05/28/2019,4.5891,4.5891,4.5891,4.5891,0.0,0.0,00
05/24/2019,4.62,4.5891,4.5891,4.62,0.0,0.0,750
05/23/2019,4.64,4.61,4.5,4.65,0.0,0.0,7749
05/22/2019,4.75,4.75,4.75,4.81,0.0,0.0,875
05/21/2019,4.69,4.64,4.64,4.7939,0.0,0.0,1736
05/20/2019,4.83,4.8179,4.81,4.83,0.0,0.0,2597
05/17/2019,4.69,4.6789,4.648,4.77,0.0,0.0,5700
05/16/2019,4.6,4.677,4.6,4.69,0.0,0.0,1753
05/15/2019,4.4701,4.6,4.4701,4.6613,0.0,0.0,1099
05/14/2019,4.5,4.74,4.4924,4.74,0.0,0.0,1564
05/13/2019,4.76,4.5,4.5,5.89,0.0,0.0,28538
05/10/2019,4.76,4.46,4.45,4.79,0.0,0.0,5736
05/09/2019,4.3617,4.3617,4.3617,4.3617,0.0,0.0,627
05/08/2019,4.59,4.409,4.34,4.6343,0.0,0.0,8471
05/07/2019,4.44,4.5,4.44,4.86,0.0,0.0,2376
05/06/2019,4.34,4.35,4.34,4.35,0.0,0.0,1353
05/03/2019,4.62,4.5485,4.46,5,0.0,0.0,24286
05/02/2019,4.52,4.3649,4.3649,4.52,0.0,0.0,1557
05/01/2019,4.4333,4.4333,4.4333,4.4333,0.0,0.0,308
04/30/2019,4.4,4.4,4.4,4.4,0.0,0.0,00
04/29/2019,4.4,4.4,4.4,4.4,0.0,0.0,00
04/26/2019,4.52,4.4,4.4,4.52,0.0,0.0,342
04/25/2019,4.6,4.6128,4.59,4.6128,0.0,0.0,1614
04/24/2019,4.49,4.5027,4.49,4.7,0.0,0.0,2068
04/23/2019,4.67,4.4,4.4,4.67,0.0,0.0,492
04/22/2019,4.58,4.5859,4.51,4.62,0.0,0.0,3711
04/18/2019,4.49,4.43,4.43,4.49,0.0,0.0,1171
04/17/2019,4.3517,4.33,4.33,4.3517,0.0,0.0,940
04/16/2019,4.28,4.24,4.24,4.2927,0.0,0.0,1555
