Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.75,7.63,7.54,7.7912,0.0,0.0,13070
07/15/2019,7.71,7.65,7.65,7.88,0.0,0.0,3775
07/12/2019,7.82,7.76,7.76,7.88,0.0,0.0,7924
07/11/2019,7.83,7.76,7.62,7.98,0.0,0.0,17309
07/10/2019,7.8,7.83,7.75,7.93,0.0,0.0,8756
07/09/2019,7.82,7.8,7.75,7.9,0.0,0.0,28737
07/08/2019,7.96,7.93,7.81,7.96,0.0,0.0,8068
07/05/2019,7.82,7.84,7.82,7.935,0.0,0.0,11545
07/03/2019,7.85,7.982,7.8101,8,0.0,0.0,3400
07/02/2019,7.85,7.835,7.805,8.03,0.0,0.0,9003
07/01/2019,8.46,7.8404,7.8404,8.46,0.0,0.0,40294
06/28/2019,8.31,8.44,8.23,8.57,0.0,0.0,47974
06/27/2019,7.85,8.2,7.85,8.315,0.0,0.0,9615
06/26/2019,7.77,7.84,7.77,7.99,0.0,0.0,22529
06/25/2019,8.44,7.89,7.76,8.44,0.0,0.0,73654
06/24/2019,7.93,8.01,7.93,8.3,0.0,0.0,101434
06/21/2019,7.6,7.9,7.6,8.0599,0.0,0.0,53872
06/20/2019,7.48,7.57,7.48,7.84,0.0,0.0,9385
06/19/2019,7.41,7.43,7.41,8.028,0.0,0.0,11174
06/18/2019,7.51,7.42,7.42,7.59,0.0,0.0,36791
06/17/2019,7.59,7.51,7.423,7.7708,0.0,0.0,29047
06/14/2019,7.9,7.73,7.61,8.0224,0.0,0.0,21225
06/13/2019,7.77,7.87,7.6,8.1499,0.0,0.0,79106
06/12/2019,7.53,7.43,7.4,7.5776,0.0,0.0,31756
06/11/2019,7.6,7.52,7.5,7.6,0.0,0.0,18963
06/10/2019,7.46,7.5799,7.46,7.67,0.0,0.0,16740
06/07/2019,7.61,7.5,7.5,7.61,0.0,0.0,3011
06/06/2019,7.62,7.64,7.47,7.66,0.0,0.0,30433
06/05/2019,7.54,7.57,7.41,7.57,0.0,0.0,9733
06/04/2019,7.72,7.53,7.52,7.77,0.0,0.0,11771
06/03/2019,7.78,7.77,7.4355,7.78,0.0,0.0,30229
05/31/2019,7.92,7.8,7.6353,7.92,0.0,0.0,18011
05/30/2019,8.125,7.94,7.9,8.198,0.0,0.0,12305
05/29/2019,8.01,7.98,7.82,8.08,0.0,0.0,21994
05/28/2019,8.63,8.0304,8,8.6646,0.0,0.0,19504
05/24/2019,8.32,8.53,8.3,8.6857,0.0,0.0,68048
05/23/2019,7.6101,8.32,7.6101,8.32,0.0,0.0,40050
05/22/2019,7.841,8,7.8,8,0.0,0.0,29890
05/21/2019,7.6,7.85,7.49,7.91,0.0,0.0,19763
05/20/2019,7.6,7.7,7.41,7.76,0.0,0.0,18852
05/17/2019,7.21,7.69,7.21,7.7,0.0,0.0,16674
05/16/2019,7.43,7.475,7.42,7.53,0.0,0.0,11673
05/15/2019,7.41,7.44,7.371,7.5,0.0,0.0,6814
05/14/2019,7.4,7.47,7.3347,7.48,0.0,0.0,8026
05/13/2019,7.33,7.42,7.31,7.42,0.0,0.0,6406
05/10/2019,7.38,7.385,7.35,7.43,0.0,0.0,6910
05/09/2019,7.53,7.5,7.3332,7.53,0.0,0.0,8704
05/08/2019,7.4487,7.52,7.4487,7.57,0.0,0.0,6624
05/07/2019,7.44,7.42,7.2863,7.5,0.0,0.0,11052
05/06/2019,7.65,7.5,7.49,7.77,0.0,0.0,10212
05/03/2019,7.58,7.81,7.4886,7.81,0.0,0.0,17766
05/02/2019,7.47,7.57,7.38,7.6449,0.0,0.0,14906
05/01/2019,7.6,7.61,7.45,7.61,0.0,0.0,14255
04/30/2019,7.6,7.57,7.45,7.6199,0.0,0.0,12081
04/29/2019,8,7.66,7.45,8,0.0,0.0,35416
04/26/2019,7.82,8,7.77,8,0.0,0.0,36024
04/25/2019,7.53,7.81,7.4819,7.85,0.0,0.0,34330
04/24/2019,7.35,7.51,7.29,7.54,0.0,0.0,36861
04/23/2019,6.85,7.25,6.77,7.36,0.0,0.0,46156
04/22/2019,6.66,6.81,6.66,6.85,0.0,0.0,38279
04/18/2019,6.59,6.74,6.5325,6.75,0.0,0.0,14080
04/17/2019,6.47,6.58,6.43,6.61,0.0,0.0,21814
04/16/2019,6.47,6.515,6.41,6.53,0.0,0.0,16947
