Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.15,2.08,2.055,2.25,0.0,0.0,1193552
07/15/2019,2.05,2.2,2.04,2.23,0.0,0.0,1423861
07/12/2019,2.44,2.26,2.01,2.45,0.0,0.0,3196103
07/11/2019,2.5,2.35,2.32,2.52,0.0,0.0,2034458
07/10/2019,2.66,2.55,2.51,2.719,0.0,0.0,1736549
07/09/2019,2.78,2.63,2.57,2.82,0.0,0.0,2032519
07/08/2019,2.89,2.78,2.72,2.9,0.0,0.0,2116566
07/05/2019,2.71,2.8,2.71,2.8398,0.0,0.0,884671
07/03/2019,2.88,2.78,2.71,2.9156,0.0,0.0,1819392
07/02/2019,2.69,2.79,2.51,2.9549,0.0,0.0,2691367
07/01/2019,2.9,2.71,2.7,2.9,0.0,0.0,2812711
06/28/2019,3.25,3.14,3.08,3.27,0.0,0.0,2929108
06/27/2019,3.26,3.07,2.85,3.31,0.0,0.0,5599799
06/26/2019,3.66,3.79,3.51,3.95,0.0,0.0,10632910
06/25/2019,3.5,3.3,3.22,3.56,0.0,0.0,6549004
06/24/2019,2.87,3.04,2.8,3.29,0.0,0.0,7001980
06/21/2019,2.74,2.75,2.56,2.7589,0.0,0.0,1774161
06/20/2019,2.62,2.6,2.46,2.65,0.0,0.0,1682043
06/19/2019,2.67,2.62,2.53,2.7405,0.0,0.0,627963
06/18/2019,2.81,2.69,2.64,2.82,0.0,0.0,1010969
06/17/2019,3.02,2.81,2.73,3.05,0.0,0.0,2682116
06/14/2019,2.59,2.73,2.59,2.79,0.0,0.0,2087519
06/13/2019,2.49,2.59,2.44,2.6471,0.0,0.0,1059333
06/12/2019,2.51,2.5,2.4101,2.64,0.0,0.0,573538
06/11/2019,2.53,2.44,2.44,2.58,0.0,0.0,464644
06/10/2019,2.69,2.51,2.42,2.7499,0.0,0.0,971084
06/07/2019,2.55,2.7,2.5,2.7562,0.0,0.0,934418
06/06/2019,2.9,2.53,2.5,2.99,0.0,0.0,1139550
06/05/2019,3.19,2.91,2.75,3.2,0.0,0.0,929344
06/04/2019,3.09,3.16,3.08,3.23,0.0,0.0,492074
06/03/2019,3.17,3.16,3.07,3.26,0.0,0.0,516378
05/31/2019,3.15,3.24,3.06,3.3599,0.0,0.0,678965
05/30/2019,3.35,3.17,3.1,3.4,0.0,0.0,1133983
05/29/2019,3.42,3.45,3.19,3.49,0.0,0.0,1223791
05/28/2019,3.92,3.49,3.41,4.0302,0.0,0.0,1703048
05/24/2019,3.92,3.86,3.65,3.94,0.0,0.0,970528
05/23/2019,3.85,3.79,3.671,3.93,0.0,0.0,863009
05/22/2019,4.1,4.05,3.93,4.17,0.0,0.0,787341
05/21/2019,4.16,4.1,4.061,4.24,0.0,0.0,785838
05/20/2019,4.25,4.16,4.04,4.3,0.0,0.0,936165
05/17/2019,3.97,4.07,3.9,4.2,0.0,0.0,1478430
05/16/2019,4.25,4.31,4.17,4.57,0.0,0.0,1163556
05/15/2019,4.3,4.51,4.17,4.55,0.0,0.0,1421826
05/14/2019,4.65,4.23,4.03,4.85,0.0,0.0,3232734
05/13/2019,4.45,4.45,4.26,4.88,0.0,0.0,6235744
05/10/2019,3.66,4.04,3.54,4.4,0.0,0.0,2195340
05/09/2019,4.1,3.63,3.55,4.1234,0.0,0.0,2120068
05/08/2019,4.22,4.09,4.03,4.2956,0.0,0.0,891303
05/07/2019,4.73,4.19,4.18,4.7975,0.0,0.0,1592200
05/06/2019,4.5,4.61,4.3,4.66,0.0,0.0,916857
05/03/2019,4.73,4.67,4.61,5.04,0.0,0.0,1915871
05/02/2019,4.82,4.44,4.2,4.85,0.0,0.0,1516305
05/01/2019,5.36,4.71,4.6,5.45,0.0,0.0,1624055
04/30/2019,5.33,5.27,5.2,5.53,0.0,0.0,947256
04/29/2019,5.23,5.18,5.02,5.35,0.0,0.0,792830
04/26/2019,5.6,5.23,5.15,5.7499,0.0,0.0,1722642
04/25/2019,5.75,5.89,5.65,5.93,0.0,0.0,1093827
04/24/2019,5.75,5.8,5.56,5.95,0.0,0.0,1766447
04/23/2019,5.8,6.02,5.6503,6.14,0.0,0.0,3201154
04/22/2019,5.3,5.52,5.0988,5.67,0.0,0.0,1817026
04/18/2019,5,5.4,4.93,5.41,0.0,0.0,1841394
04/17/2019,4.93,4.9,4.82,5.42,0.0,0.0,2998853
04/16/2019,4.76,4.93,4.55,4.95,0.0,0.0,1713147
