Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,14.47,14.43,14.2988,14.88,0.0,0.0,55901
07/15/2019,14.39,14.56,14.27,14.72,0.0,0.0,67799
07/12/2019,14.5,14.39,14.3,14.72,0.0,0.0,77189
07/11/2019,14.63,14.49,14.43,14.83,0.0,0.0,92765
07/10/2019,14.33,14.54,14.2956,14.67,0.0,0.0,143914
07/09/2019,14.62,14.23,13.64,14.71,0.0,0.0,190838
07/08/2019,14.53,14.51,14.4648,14.77,0.0,0.0,66350
07/05/2019,14.72,14.63,14.38,14.86,0.0,0.0,116435
07/03/2019,14.93,14.73,14.38,14.93,0.0,0.0,78962
07/02/2019,15.25,14.95,14.81,15.52,0.0,0.0,183202
07/01/2019,15.03,15.26,14.995,15.38,0.0,0.0,295155
06/28/2019,14.47,15.02,14.47,15.05,0.0,0.0,1553924
06/27/2019,14.34,14.37,14.19,14.75,0.0,0.0,163957
06/26/2019,13.9,14.4,13.85,14.43,0.0,0.0,116409
06/25/2019,14.04,13.93,13.82,14.2,0.0,0.0,97261
06/24/2019,14.01,14,13.795,14.14,0.0,0.0,116107
06/21/2019,13.86,13.92,13.82,14.122,0.0,0.0,103767
06/20/2019,13.86,13.85,13.75,14.1,0.0,0.0,90208
06/19/2019,13.87,13.75,13.31,14.17,0.0,0.0,95484
06/18/2019,13.22,13.87,13.18,14.34,0.0,0.0,257482
06/17/2019,13.44,13.16,13.03,13.59,0.0,0.0,154496
06/14/2019,13.14,13.39,12.93,13.79,0.0,0.0,188366
06/13/2019,12.87,12.96,12.66,13.18,0.0,0.0,94875
06/12/2019,12.86,12.91,12.85,13.17,0.0,0.0,72735
06/11/2019,13.13,12.91,12.605,13.19,0.0,0.0,191672
06/10/2019,14.17,13.1,12.65,14.17,0.0,0.0,265970
06/07/2019,14.26,14.1,13.98,14.34,0.0,0.0,157077
06/06/2019,14.73,14.01,13.85,14.98,0.0,0.0,303135
06/05/2019,13.8,14.46,13.55,14.6899,0.0,0.0,689049
06/04/2019,13.33,13.63,13.195,14.07,0.0,0.0,149581
06/03/2019,13.12,13.25,12.85,13.37,0.0,0.0,131702
05/31/2019,13.52,13.01,12.81,13.8644,0.0,0.0,89846
05/30/2019,13.28,13.56,13.28,14.06,0.0,0.0,91289
05/29/2019,13.19,13.21,13.15,13.3,0.0,0.0,70033
05/28/2019,13.33,13.31,13.18,13.38,0.0,0.0,139525
05/24/2019,13.44,13.28,13.01,13.59,0.0,0.0,41716
05/23/2019,13.77,13.37,13.27,13.89,0.0,0.0,40696
05/22/2019,14.21,13.88,13.76,14.4563,0.0,0.0,42604
05/21/2019,14.12,14.2,14,14.5824,0.0,0.0,127964
05/20/2019,13.83,14.06,13.74,14.2,0.0,0.0,125202
05/17/2019,13.7,13.96,13.3393,14.3799,0.0,0.0,175118
05/16/2019,12.94,13.66,12.9,13.9,0.0,0.0,195076
05/15/2019,13.5,12.94,12.78,13.56,0.0,0.0,103317
05/14/2019,12.77,13.56,12.43,13.8,0.0,0.0,292247
05/13/2019,12.1,12.65,11.75,12.75,0.0,0.0,195159
05/10/2019,11.91,12,11.55,12.77,0.0,0.0,213503
05/09/2019,11.51,11.22,11.2001,11.7369,0.0,0.0,81248
05/08/2019,11.85,11.5,11.31,12.2847,0.0,0.0,114165
05/07/2019,12.4,11.75,11.74,12.7276,0.0,0.0,88691
05/06/2019,13.03,12.36,12.25,13.23,0.0,0.0,83813
05/03/2019,12.97,13.13,12.85,13.46,0.0,0.0,88728
05/02/2019,13.59,12.88,12.87,13.59,0.0,0.0,39258
05/01/2019,13.3,13.5,13.09,13.715,0.0,0.0,165451
04/30/2019,12.63,13.1,12.58,13.27,0.0,0.0,156440
04/29/2019,12.35,12.65,12.32,12.67,0.0,0.0,58945
04/26/2019,12.22,12.35,11.85,12.43,0.0,0.0,19261
04/25/2019,12.15,12.22,12.06,12.58,0.0,0.0,5397
04/24/2019,12.76,12.08,11.89,12.76,0.0,0.0,143838
04/23/2019,12.7,12.76,12.54,12.89,0.0,0.0,51751
04/22/2019,12.58,12.74,12.455,12.75,0.0,0.0,29719
04/18/2019,12.61,12.44,12.3066,12.6375,0.0,0.0,9438
04/17/2019,12.54,12.55,12.3,12.65,0.0,0.0,26309
04/16/2019,12.39,12.6,12.3,12.62,0.0,0.0,136503
