Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,30.89,30.67,30.6,31.86,0.0,0.0,211548
07/15/2019,30.91,31.02,30.47,31.31,0.0,0.0,216440
07/12/2019,30.03,30.83,29.81,31.12,0.0,0.0,252209
07/11/2019,30.45,30.06,29.9,30.8,0.0,0.0,231041
07/10/2019,29.88,30.47,29.415,30.52,0.0,0.0,410702
07/09/2019,29.88,29.93,29.57,30.25,0.0,0.0,348249
07/08/2019,29.91,30.07,29.51,30.52,0.0,0.0,320504
07/05/2019,29.15,30.17,29.15,30.59,0.0,0.0,264984
07/03/2019,29.75,29.12,29.03,29.805,0.0,0.0,240237
07/02/2019,30.4,29.64,29.34,30.475,0.0,0.0,457866
07/01/2019,31.01,30.43,30.3,31.53,0.0,0.0,525704
06/28/2019,31.55,30.57,30.38,31.88,0.0,0.0,579509
06/27/2019,30.56,31.78,30.35,31.85,0.0,0.0,470885
06/26/2019,31.24,30.44,30.16,31.49,0.0,0.0,513092
06/25/2019,32.31,31.15,30.89,32.38,0.0,0.0,400555
06/24/2019,31.42,32.38,31.38,32.8,0.0,0.0,406533
06/21/2019,31.14,31.35,30.49,31.67,0.0,0.0,527691
06/20/2019,31.25,31.23,30.72,31.81,0.0,0.0,454907
06/19/2019,31.99,31.09,30.82,32.255,0.0,0.0,494785
06/18/2019,32.48,32,31.71,33.2389,0.0,0.0,431935
06/17/2019,33.33,32.44,31.3539,33.36,0.0,0.0,813465
06/14/2019,34.65,33.1,32.85,35.48,0.0,0.0,2078709
06/13/2019,32.04,33.48,31.1,33.77,0.0,0.0,5309026
06/12/2019,26.55,25.46,25.19,26.55,0.0,0.0,531357
06/11/2019,26.46,26.5,26.21,26.77,0.0,0.0,303532
06/10/2019,26.22,26.29,26.11,27,0.0,0.0,356042
06/07/2019,26.12,26.18,25.69,26.65,0.0,0.0,298982
06/06/2019,26.39,26.11,25.57,26.5002,0.0,0.0,309387
06/05/2019,27.14,26.41,25.96,27.14,0.0,0.0,493189
06/04/2019,25.9,26.51,25.75,26.9,0.0,0.0,470494
06/03/2019,25.51,25.45,24.57,25.77,0.0,0.0,741358
05/31/2019,26,25.58,25.2241,27.74,0.0,0.0,1787529
05/30/2019,30.67,30.88,30.46,31.88,0.0,0.0,419662
05/29/2019,29.77,30.41,29.57,30.73,0.0,0.0,246684
05/28/2019,30.52,29.9,29.64,30.93,0.0,0.0,308546
05/24/2019,31.15,30.71,30.16,31.41,0.0,0.0,288430
05/23/2019,33.32,31.03,30.87,33.4,0.0,0.0,252315
05/22/2019,34.5,33.56,33.32,34.74,0.0,0.0,147745
05/21/2019,34.32,34.67,34.17,35.07,0.0,0.0,163419
05/20/2019,33.5,34.29,33.11,34.2997,0.0,0.0,187838
05/17/2019,33.51,33.66,33.38,34.55,0.0,0.0,214239
05/16/2019,33.5,33.69,32.91,33.95,0.0,0.0,226419
05/15/2019,33.52,33.09,32.995,33.64,0.0,0.0,206537
05/14/2019,33.3,33.54,32.96,33.8,0.0,0.0,113399
05/13/2019,33.8,33.2,32.84,33.8,0.0,0.0,160301
05/10/2019,35.13,34.31,33.073,35.15,0.0,0.0,267767
05/09/2019,33.65,34.77,33.13,34.86,0.0,0.0,249960
05/08/2019,33.79,33.8,33.385,34.04,0.0,0.0,146726
05/07/2019,33.62,33.79,33.165,34,0.0,0.0,288847
05/06/2019,33.41,33.75,33.41,34.45,0.0,0.0,259700
05/03/2019,32.85,33.83,32.58,33.89,0.0,0.0,272382
05/02/2019,32.28,32.6,32.2,32.9,0.0,0.0,224724
05/01/2019,32.01,32.3,31.725,32.48,0.0,0.0,315418
04/30/2019,32.16,32.03,31.6,32.59,0.0,0.0,580946
04/29/2019,31.85,32.29,31.34,32.58,0.0,0.0,264540
04/26/2019,30.95,31.86,30.418,31.91,0.0,0.0,180764
04/25/2019,30.5,30.74,30.3,31.87,0.0,0.0,304019
04/24/2019,30.2,30.38,30.09,31.45,0.0,0.0,227608
04/23/2019,29.57,30.23,29.55,30.53,0.0,0.0,114748
04/22/2019,29.83,29.44,29.3527,30.0075,0.0,0.0,133564
04/18/2019,29.64,29.85,29.545,30.16,0.0,0.0,186496
04/17/2019,29.9,29.62,28.91,30,0.0,0.0,213760
04/16/2019,30.39,29.9,29.32,30.39,0.0,0.0,222519
