Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,35,35.88,34.87,36.335,0.0,0.0,309268
07/15/2019,35.32,35.16,34.31,35.32,0.0,0.0,230873
07/12/2019,34.68,35.33,34.5,35.52,0.0,0.0,175948
07/11/2019,35.09,34.71,34.33,35.3137,0.0,0.0,175517
07/10/2019,35.59,35.11,34.51,35.77,0.0,0.0,189862
07/09/2019,35.89,35.48,35.18,35.9,0.0,0.0,105932
07/08/2019,36.05,36.13,35.8,36.165,0.0,0.0,117207
07/05/2019,36.09,36.22,35.54,36.4159,0.0,0.0,86265
07/03/2019,36.66,36.35,36.15,36.66,0.0,0.0,48883
07/02/2019,36.53,36.48,35.9,36.55,0.0,0.0,102787
07/01/2019,36.9,36.61,36.49,37.19,0.0,0.0,101257
06/28/2019,36.43,36.52,36.43,37.1535,0.0,0.0,740674
06/27/2019,36.21,36.37,36.02,36.48,0.0,0.0,192515
06/26/2019,35.71,36.14,35.59,36.2,0.0,0.0,162585
06/25/2019,35.2,35.62,35.2,35.7,0.0,0.0,143623
06/24/2019,35.41,35.32,35.15,35.65,0.0,0.0,181667
06/21/2019,35.75,35.34,35.27,36.01,0.0,0.0,222885
06/20/2019,35.81,35.91,35.66,36.3,0.0,0.0,101782
06/19/2019,35.78,35.51,35.38,36.055,0.0,0.0,123230
06/18/2019,35.68,35.78,35.53,36.35,0.0,0.0,82929
06/17/2019,35.44,35.52,35.29,35.89,0.0,0.0,118010
06/14/2019,35.88,35.47,35.21,35.88,0.0,0.0,87438
06/13/2019,35.87,35.92,35.59,36.06,0.0,0.0,82602
06/12/2019,35.96,35.79,35.26,36.035,0.0,0.0,103536
06/11/2019,36.08,35.87,35.56,36.3,0.0,0.0,121265
06/10/2019,35.46,35.73,35.2,35.87,0.0,0.0,88593
06/07/2019,35.84,35.33,35.285,35.9,0.0,0.0,101477
06/06/2019,35.37,35.59,35.05,35.74,0.0,0.0,159661
06/05/2019,36.21,35.34,35.12,36.21,0.0,0.0,204874
06/04/2019,35.93,36.18,35.82,36.47,0.0,0.0,171199
06/03/2019,35.14,35.76,35.09,36.0297,0.0,0.0,109140
05/31/2019,35.24,35.27,34.72,35.31,0.0,0.0,207733
05/30/2019,35.97,35.73,35.37,36.315,0.0,0.0,178787
05/29/2019,35.86,36.03,35.63,36.22,0.0,0.0,264868
05/28/2019,36.13,36.01,35.87,36.45,0.0,0.0,242722
05/24/2019,36.38,36.09,35.96,36.38,0.0,0.0,256108
05/23/2019,36.27,36.07,35.67,36.27,0.0,0.0,140888
05/22/2019,37.55,36.54,36.48,37.57,0.0,0.0,221074
05/21/2019,36.97,37.68,36.83,37.79,0.0,0.0,251069
05/20/2019,37.1,36.81,36.8,37.72,0.0,0.0,169767
05/17/2019,38.3,37.27,37.23,38.33,0.0,0.0,160087
05/16/2019,39.12,38.54,38.43,39.18,0.0,0.0,234716
05/15/2019,39.06,38.94,38.36,39.06,0.0,0.0,211582
05/14/2019,38.84,39.41,38.32,39.46,0.0,0.0,244191
05/13/2019,39.9,38.74,38.7,40.06,0.0,0.0,159122
05/10/2019,40.88,40.55,40.04,41.225,0.0,0.0,139066
05/09/2019,40.68,40.98,40.2207,41.22,0.0,0.0,116925
05/08/2019,41.55,40.84,40.84,41.57,0.0,0.0,126458
05/07/2019,41.78,41.58,41.04,42.3,0.0,0.0,218363
05/06/2019,41.62,42.31,41.62,43.11,0.0,0.0,149088
05/03/2019,41.75,42.88,41.7016,42.89,0.0,0.0,100660
05/02/2019,41.43,41.46,40.43,41.59,0.0,0.0,133334
05/01/2019,42.34,41.35,41.01,42.46,0.0,0.0,209709
04/30/2019,42.9,42.41,42.03,43.33,0.0,0.0,215454
04/29/2019,43.33,43.02,42.66,43.65,0.0,0.0,289228
04/26/2019,43.72,42.58,41.68,43.72,0.0,0.0,431527
04/25/2019,45.99,43.84,42.24,45.99,0.0,0.0,277430
04/24/2019,44.82,45.19,44.41,45.51,0.0,0.0,177071
04/23/2019,43.84,44.68,43.55,44.88,0.0,0.0,159906
04/22/2019,44.26,43.69,43.49,44.37,0.0,0.0,133326
04/18/2019,43.63,44.22,43.605,44.35,0.0,0.0,103286
04/17/2019,43.96,43.7,43.5,44.15,0.0,0.0,172828
04/16/2019,43.43,43.74,43.03,43.96,0.0,0.0,170398
