Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,27.99,28.47,27.79,28.735,0.0,0.0,314259
07/15/2019,27.39,27.985,26.94,28,0.0,0.0,392606
07/12/2019,27.43,27.3,26.77,27.8,0.0,0.0,423656
07/11/2019,27.95,27.41,27.38,28.41,0.0,0.0,233007
07/10/2019,27.48,27.88,27.18,28.13,0.0,0.0,233999
07/09/2019,27.78,27.28,27.06,28,0.0,0.0,408775
07/08/2019,28.81,27.97,27.86,29.26,0.0,0.0,326819
07/05/2019,28.23,28.79,28.0596,29.15,0.0,0.0,277421
07/03/2019,27.71,28.33,27.5484,28.55,0.0,0.0,217380
07/02/2019,27.77,27.56,27.26,27.77,0.0,0.0,159653
07/01/2019,28,27.86,27.27,28.96,0.0,0.0,329790
06/28/2019,26.83,27.6,26.83,27.63,0.0,0.0,446020
06/27/2019,26.63,26.77,26.18,26.86,0.0,0.0,220890
06/26/2019,26.51,26.44,26.29,26.82,0.0,0.0,248515
06/25/2019,28.09,26.38,26.01,28.09,0.0,0.0,393711
06/24/2019,27.33,28.18,27.145,28.5,0.0,0.0,395004
06/21/2019,27.42,27.24,27.15,27.97,0.0,0.0,1045593
06/20/2019,27.47,27.43,26.93,27.82,0.0,0.0,302919
06/19/2019,28.01,27.24,27,28.18,0.0,0.0,399407
06/18/2019,27.33,28.01,27.14,28.53,0.0,0.0,414819
06/17/2019,26.81,27.23,26.57,27.55,0.0,0.0,452977
06/14/2019,26.55,26.57,26.19,26.83,0.0,0.0,210259
06/13/2019,25.69,26.58,25.69,26.71,0.0,0.0,355113
06/12/2019,26.39,25.49,25.42,26.47,0.0,0.0,297164
06/11/2019,26.11,26.39,25.84,26.955,0.0,0.0,400369
06/10/2019,25.23,26,25.23,26.18,0.0,0.0,338542
06/07/2019,24.98,25.11,24.605,25.36,0.0,0.0,279304
06/06/2019,24.85,24.93,23.98,25.1,0.0,0.0,329894
06/05/2019,27.09,24.94,24.88,27.34,0.0,0.0,574939
06/04/2019,26.79,26.99,26.74,27.74,0.0,0.0,414744
06/03/2019,25.47,26.45,25.45,26.64,0.0,0.0,338201
05/31/2019,26.13,25.69,25.39,26.245,0.0,0.0,325264
05/30/2019,26.75,26.62,26.25,27.27,0.0,0.0,364851
05/29/2019,27.07,26.77,26.07,27.07,0.0,0.0,513082
05/28/2019,26.84,27.25,26.84,27.51,0.0,0.0,559090
05/24/2019,27.1,26.83,25.64,27.69,0.0,0.0,797305
05/23/2019,29.5,27.16,26.58,30.745,0.0,0.0,1822783
05/22/2019,31.88,30.46,30.41,32.077,0.0,0.0,999342
05/21/2019,32,32.26,31.7,32.67,0.0,0.0,455794
05/20/2019,32.16,31.97,31.31,32.49,0.0,0.0,473236
05/17/2019,32.85,32.31,32.22,33.395,0.0,0.0,358903
05/16/2019,33.43,33.26,33.11,33.85,0.0,0.0,399221
05/15/2019,32.97,33.27,32.44,33.45,0.0,0.0,372445
05/14/2019,32.62,33.22,32.05,33.36,0.0,0.0,353026
05/13/2019,32.37,32.47,31.8,32.56,0.0,0.0,376304
05/10/2019,33.68,32.99,32.61,33.94,0.0,0.0,243369
05/09/2019,33.43,33.83,33.07,33.96,0.0,0.0,189304
05/08/2019,33.7,33.76,33.23,33.95,0.0,0.0,282377
05/07/2019,34.68,33.7,33.3,34.9625,0.0,0.0,391744
05/06/2019,35.55,34.97,34.9,35.9,0.0,0.0,222579
05/03/2019,35.91,36.02,34.58,36.265,0.0,0.0,393318
05/02/2019,35.56,35.72,35.42,35.92,0.0,0.0,242973
05/01/2019,35.66,35.56,35.05,36.09,0.0,0.0,350700
04/30/2019,36.95,35.66,35.65,37.07,0.0,0.0,238605
04/29/2019,37.42,36.81,36.638,38.16,0.0,0.0,304019
04/26/2019,37.6,37.49,36.73,37.74,0.0,0.0,385699
04/25/2019,37.84,37.82,37.54,39,0.0,0.0,414410
04/24/2019,36.1,37.87,36.05,38.01,0.0,0.0,320341
04/23/2019,35,36.06,34.61,36.13,0.0,0.0,327670
04/22/2019,35.89,34.95,34.52,35.97,0.0,0.0,383126
04/18/2019,36.08,35.77,35.5,36.36,0.0,0.0,311381
04/17/2019,36.07,36.265,35.45,36.35,0.0,0.0,352018
04/16/2019,36.46,36.03,35.77,36.95,0.0,0.0,399139
