Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.07,6.1,6.0523,6.67,0.0,0.0,175120
07/15/2019,5.75,5.98,5.58,6.0748,0.0,0.0,25007
07/12/2019,5.84,5.726,5.666,5.84,0.0,0.0,8880
07/11/2019,5.9528,5.8911,5.7372,5.9528,0.0,0.0,2023
07/10/2019,5.9749,5.9441,5.9039,6.0262,0.0,0.0,2019
07/09/2019,5.97,5.8691,5.78,5.97,0.0,0.0,13701
07/08/2019,6.07,6.03,6.025,6.07,0.0,0.0,2109
07/05/2019,5.93,5.9972,5.9299,6.028,0.0,0.0,1261
07/03/2019,5.91,6.01,5.91,6.01,0.0,0.0,1405
07/02/2019,5.89,5.9684,5.89,5.9684,0.0,0.0,583
07/01/2019,5.92,5.88,5.88,6.09,0.0,0.0,5809
06/28/2019,5.97,6.0947,5.8999,6.1,0.0,0.0,8320
06/27/2019,6,5.99,5.9623,6,0.0,0.0,8451
06/26/2019,5.76,6,5.7193,6,0.0,0.0,16696
06/25/2019,5.69,5.81,5.64,5.81,0.0,0.0,1306
06/24/2019,5.61,5.8169,5.5906,5.8169,0.0,0.0,3481
06/21/2019,5.61,5.62,5.6,5.97,0.0,0.0,6509
06/20/2019,5.57,5.59,5.5683,5.89,0.0,0.0,3077
06/19/2019,5.52,5.5965,5.5,5.66,0.0,0.0,4415
06/18/2019,5.53,5.5442,5.52,5.61,0.0,0.0,1464
06/17/2019,5.6322,5.52,5.52,5.6322,0.0,0.0,3088
06/14/2019,5.58,5.66,5.52,5.96,0.0,0.0,7158
06/13/2019,5.7,5.56,5.56,5.7078,0.0,0.0,3470
06/12/2019,5.76,5.57,5.52,5.86,0.0,0.0,17393
06/11/2019,5.92,5.8,5.8,6.03,0.0,0.0,10971
06/10/2019,5.87,5.91,5.8,6.185,0.0,0.0,19680
06/07/2019,5.85,5.77,5.77,6.14,0.0,0.0,3927
06/06/2019,6.13,5.8,5.7,6.2066,0.0,0.0,18786
06/05/2019,6.48,6.1,5.8024,7.45,0.0,0.0,263848
06/04/2019,6.36,6.45,5.9,6.98,0.0,0.0,74353
06/03/2019,6.02,6.08,6.02,6.252,0.0,0.0,10476
05/31/2019,6.05,6.12,6.05,6.15,0.0,0.0,6629
05/30/2019,6.06,6.064,6.06,6.1375,0.0,0.0,9366
05/29/2019,6.06,6.1,6.05,6.1906,0.0,0.0,13824
05/28/2019,6.1,6.25,6.1,6.31,0.0,0.0,11035
05/24/2019,6.1027,6.155,6.1027,6.16,0.0,0.0,1466
05/23/2019,6.1,6.15,6.1,6.15,0.0,0.0,1308
05/22/2019,6.13,6.2,6.12,6.2189,0.0,0.0,5433
05/21/2019,6.3144,6.21,6.1613,6.3144,0.0,0.0,2251
05/20/2019,6.205,6.2067,6.1759,6.2124,0.0,0.0,3185
05/17/2019,6.26,6.22,6.1732,6.35,0.0,0.0,2062
05/16/2019,6.2719,6.3504,6.2719,6.4,0.0,0.0,2623
05/15/2019,6.11,6.2587,6.11,6.3486,0.0,0.0,9415
05/14/2019,6.2,6.16,6.16,6.29,0.0,0.0,3400
05/13/2019,6.18,6.15,6.06,6.1867,0.0,0.0,8290
05/10/2019,6.15,6.3,6.15,6.32,0.0,0.0,3266
05/09/2019,6.27,6.16,6.12,6.27,0.0,0.0,8106
05/08/2019,6.27,6.44,6.27,6.49,0.0,0.0,13388
05/07/2019,6.366,6.18,6.18,6.3693,0.0,0.0,4320
05/06/2019,6.25,6.45,6.25,6.4623,0.0,0.0,4026
05/03/2019,6.51,6.4899,6.38,6.51,0.0,0.0,11293
05/02/2019,6.6268,6.5321,6.495,6.6999,0.0,0.0,9569
05/01/2019,6.816,6.5,6.5,6.816,0.0,0.0,3492
04/30/2019,6.42,6.52,6.3704,6.6273,0.0,0.0,10524
04/29/2019,6.34,6.465,6.34,6.4737,0.0,0.0,5178
04/26/2019,6.41,6.34,6.34,6.4201,0.0,0.0,8682
04/25/2019,6.57,6.455,6.43,6.5973,0.0,0.0,10270
04/24/2019,6.4545,6.5743,6.25,6.8,0.0,0.0,8628
04/23/2019,6.51,6.49,6.485,6.66,0.0,0.0,39063
04/22/2019,6.5,6.5836,6.5,6.87,0.0,0.0,8602
04/18/2019,6.81,6.57,6.51,6.9048,0.0,0.0,23713
04/17/2019,7.2,6.87,6.86,7.2905,0.0,0.0,18840
04/16/2019,7.63,7.33,7.325,7.63,0.0,0.0,15963
