Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,3.93,4.0851,3.93,4.1,0.0,0.0,182983
07/15/2019,3.91,3.92,3.8499,3.92,0.0,0.0,57983
07/12/2019,3.79,3.8,3.75,3.84,0.0,0.0,21841
07/11/2019,3.82,3.8,3.8,3.88,0.0,0.0,26308
07/10/2019,3.81,3.85,3.81,3.87,0.0,0.0,10053
07/09/2019,3.87,3.8254,3.82,3.87,0.0,0.0,1809
07/08/2019,3.89,3.88,3.8558,3.8916,0.0,0.0,5303
07/05/2019,3.83,3.869,3.83,3.88,0.0,0.0,2776
07/03/2019,3.8002,3.79,3.79,3.8465,0.0,0.0,15343
07/02/2019,3.82,3.8509,3.82,3.89,0.0,0.0,9210
07/01/2019,3.81,3.81,3.81,3.8735,0.0,0.0,17443
06/28/2019,3.85,3.76,3.76,3.9,0.0,0.0,58049
06/27/2019,3.86,3.83,3.83,3.9233,0.0,0.0,17857
06/26/2019,3.81,3.8477,3.8,3.91,0.0,0.0,25162
06/25/2019,3.92,3.78,3.77,3.92,0.0,0.0,48436
06/24/2019,3.83,3.91,3.82,3.91,0.0,0.0,12031
06/21/2019,3.98,3.8,3.8,3.9833,0.0,0.0,35100
06/20/2019,3.9993,3.9891,3.98,4,0.0,0.0,4468
06/19/2019,3.94,3.99,3.94,4,0.0,0.0,8399
06/18/2019,4,4,3.9327,4,0.0,0.0,27797
06/17/2019,4,3.99,3.99,4.03,0.0,0.0,31240
06/14/2019,4.04,4.03,3.978,4.04,0.0,0.0,18355
06/13/2019,4.01,4.04,3.97,4.04,0.0,0.0,19574
06/12/2019,4,4.0019,3.95,4.05,0.0,0.0,27216
06/11/2019,4.04,3.963,3.94,4.0719,0.0,0.0,90396
06/10/2019,4.05,3.9885,3.9,4.05,0.0,0.0,89679
06/07/2019,3.78,3.9699,3.7534,3.9999,0.0,0.0,126979
06/06/2019,3.7282,3.72,3.7,3.73,0.0,0.0,6206
06/05/2019,3.729,3.7299,3.729,3.7494,0.0,0.0,6691
06/04/2019,3.8,3.7,3.6909,3.8,0.0,0.0,9895
06/03/2019,3.65,3.8,3.65,3.8,0.0,0.0,20297
05/31/2019,3.6829,3.67,3.67,3.6999,0.0,0.0,16386
05/30/2019,3.69,3.7,3.68,3.7199,0.0,0.0,4922
05/29/2019,3.7031,3.66,3.655,3.7031,0.0,0.0,15998
05/28/2019,3.68,3.685,3.65,3.779,0.0,0.0,13371
05/24/2019,3.7,3.65,3.65,3.7,0.0,0.0,19367
05/23/2019,3.7058,3.69,3.66,3.7058,0.0,0.0,2378
05/22/2019,3.73,3.7199,3.7,3.73,0.0,0.0,3965
05/21/2019,3.71,3.719,3.68,3.7354,0.0,0.0,5173
05/20/2019,3.7,3.69,3.69,3.72,0.0,0.0,6189
05/17/2019,3.66,3.69,3.66,3.7029,0.0,0.0,9353
05/16/2019,3.7814,3.7,3.69,3.7896,0.0,0.0,6319
05/15/2019,3.78,3.759,3.71,3.7987,0.0,0.0,14084
05/14/2019,3.76,3.7575,3.75,3.784,0.0,0.0,5861
05/13/2019,3.7462,3.7499,3.7462,3.7499,0.0,0.0,1142
05/10/2019,3.72,3.6783,3.6783,3.72,0.0,0.0,1716
05/09/2019,3.6771,3.694,3.6747,3.75,0.0,0.0,53728
05/08/2019,3.71,3.6701,3.65,3.71,0.0,0.0,15444
05/07/2019,3.75,3.69,3.66,3.7748,0.0,0.0,20775
05/06/2019,3.82,3.74,3.74,3.8299,0.0,0.0,138577
05/03/2019,3.87,3.84,3.76,3.87,0.0,0.0,59796
05/02/2019,3.86,3.8,3.8,3.86,0.0,0.0,24573
05/01/2019,3.8428,3.8101,3.81,3.85,0.0,0.0,15521
04/30/2019,3.8428,3.84,3.826,3.8428,0.0,0.0,3621
04/29/2019,3.84,3.83,3.825,3.86,0.0,0.0,52680
04/26/2019,3.87,3.83,3.83,3.885,0.0,0.0,6685
04/25/2019,3.88,3.88,3.86,3.8865,0.0,0.0,9073
04/24/2019,3.8798,3.85,3.8,3.9045,0.0,0.0,14525
04/23/2019,3.8422,3.93,3.8422,3.9497,0.0,0.0,4344
04/22/2019,3.85,3.86,3.85,3.89,0.0,0.0,12599
04/18/2019,3.857,3.84,3.84,3.87,0.0,0.0,8428
04/17/2019,3.97,3.83,3.81,3.97,0.0,0.0,73951
04/16/2019,3.9487,3.9072,3.9,3.9487,0.0,0.0,8987
