Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,19.56,19.97,19.38,20.31,0.0,0.0,522451
07/15/2019,19.94,19.52,19.4,20.27,0.0,0.0,720138
07/12/2019,19.48,19.87,19.3,19.96,0.0,0.0,562440
07/11/2019,20.24,19.77,19.54,20.55,0.0,0.0,771547
07/10/2019,19.98,20.24,19.71,20.58,0.0,0.0,777324
07/09/2019,19.36,19.75,19.3201,19.84,0.0,0.0,945931
07/08/2019,19.87,19.52,19.44,20.18,0.0,0.0,1197074
07/05/2019,19.47,19.99,19.395,20.39,0.0,0.0,1510782
07/03/2019,19.88,19.55,19.48,19.96,0.0,0.0,413601
07/02/2019,19.76,19.85,19.28,19.86,0.0,0.0,1292582
07/01/2019,20.19,19.74,19.66,20.9,0.0,0.0,1666701
06/28/2019,18.74,19.82,18.66,19.99,0.0,0.0,2729475
06/27/2019,18.38,18.71,18.27,18.945,0.0,0.0,2053872
06/26/2019,18.24,18.34,18.02,18.75,0.0,0.0,1051399
06/25/2019,18.13,18.25,17.91,18.78,0.0,0.0,1988809
06/24/2019,19.01,18.08,17.88,19.4,0.0,0.0,1434672
06/21/2019,20.08,18.99,18.94,20.08,0.0,0.0,1763439
06/20/2019,20.82,20.2,20.11,20.92,0.0,0.0,1537055
06/19/2019,20.73,20.31,20.01,20.815,0.0,0.0,1286663
06/18/2019,20.43,20.78,20.2,21.71,0.0,0.0,1802749
06/17/2019,20.67,19.76,19.41,20.67,0.0,0.0,995590
06/14/2019,21.25,20.68,20.66,21.55,0.0,0.0,580155
06/13/2019,20.73,21.33,20.48,21.35,0.0,0.0,826438
06/12/2019,20.59,20.61,20.2,20.62,0.0,0.0,645595
06/11/2019,20.9,20.72,20.5,21,0.0,0.0,850265
06/10/2019,20.49,20.47,20.33,21.1875,0.0,0.0,864672
06/07/2019,20.02,20.23,19.97,20.45,0.0,0.0,1302554
06/06/2019,19.56,19.97,19.2,20.1031,0.0,0.0,1092536
06/05/2019,20.73,19.77,19.03,20.84,0.0,0.0,1422996
06/04/2019,20.69,20.53,20.29,21.16,0.0,0.0,1547983
06/03/2019,19.07,20.46,19.07,21,0.0,0.0,1797184
05/31/2019,18.21,19.1,18.06,19.17,0.0,0.0,1953096
05/30/2019,18.59,18.63,18.27,19.05,0.0,0.0,1006900
05/29/2019,18.24,18.57,17.87,18.7,0.0,0.0,1048870
05/28/2019,18.95,18.36,18.33,19.08,0.0,0.0,1101369
05/24/2019,19,18.85,18.4,19.17,0.0,0.0,812332
05/23/2019,19.22,18.75,18.49,19.5,0.0,0.0,975203
05/22/2019,20.15,19.61,19.54,20.36,0.0,0.0,592857
05/21/2019,20.56,20.28,20.18,20.86,0.0,0.0,1032625
05/20/2019,20.57,20.35,20.26,20.57,0.0,0.0,665326
05/17/2019,21.14,20.83,20.82,21.45,0.0,0.0,690397
05/16/2019,21.32,21.5,21.07,21.64,0.0,0.0,684166
05/15/2019,20.44,21.28,20.06,21.405,0.0,0.0,1164799
05/14/2019,20.73,20.81,20.26,21.01,0.0,0.0,1076837
05/13/2019,21.31,20.59,20.21,21.46,0.0,0.0,1372910
05/10/2019,21.64,22.07,21.29,22.1917,0.0,0.0,1415768
05/09/2019,21.88,21.9,20.8,22.11,0.0,0.0,1724823
05/08/2019,20.19,22.47,19.21,23.15,0.0,0.0,5152114
05/07/2019,20.34,18.87,18.68,20.71,0.0,0.0,3163604
05/06/2019,20.74,20.7,20.3903,21.41,0.0,0.0,1475402
05/03/2019,23.94,21.82,21.58,24.13,0.0,0.0,2890837
05/02/2019,23.02,23.9,23.02,24.29,0.0,0.0,2097007
05/01/2019,23.19,22.99,22.7,23.6,0.0,0.0,1416453
04/30/2019,22.66,23.13,22.35,23.33,0.0,0.0,2594973
04/29/2019,21.64,22.66,21.52,22.69,0.0,0.0,1894109
04/26/2019,21.08,21.59,20.73,21.72,0.0,0.0,1518423
04/25/2019,22.64,21.12,21.09,22.7,0.0,0.0,1546465
04/24/2019,22.78,22.71,22.28,22.82,0.0,0.0,1412208
04/23/2019,22.74,22.83,22.26,22.98,0.0,0.0,597003
04/22/2019,22.57,22.76,22.25,23.215,0.0,0.0,804828
04/18/2019,22.26,22.68,22.195,22.81,0.0,0.0,1674199
04/17/2019,22.4,22.38,22.27,22.76,0.0,0.0,1351435
04/16/2019,22.1,22.57,21.95,23.05,0.0,0.0,2474701
