Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.81,11.91,11.67,12.13,0.0,0.0,139667
07/15/2019,11.92,11.8,11.65,12,0.0,0.0,131298
07/12/2019,12.1,12,11.79,12.2,0.0,0.0,95979
07/11/2019,12.3,12.05,11.87,12.53,0.0,0.0,101032
07/10/2019,12.4,12.31,12.19,12.55,0.0,0.0,139201
07/09/2019,12.75,12.3,12.195,12.78,0.0,0.0,217908
07/08/2019,13.4,12.76,12.72,13.52,0.0,0.0,90998
07/05/2019,13.24,13.53,13.05,13.81,0.0,0.0,211769
07/03/2019,13.21,13.38,12.95,13.4,0.0,0.0,108268
07/02/2019,13.93,13.1,12.81,13.93,0.0,0.0,165028
07/01/2019,12.94,13.93,12.94,14.27,0.0,0.0,249839
06/28/2019,13.03,12.99,12.765,13.15,0.0,0.0,1189742
06/27/2019,12.24,12.95,12.21,13.04,0.0,0.0,147878
06/26/2019,12.9,12.2,12.14,13.02,0.0,0.0,207933
06/25/2019,13.08,12.85,12.68,13.118,0.0,0.0,288107
06/24/2019,13.49,12.88,12.57,13.6,0.0,0.0,189720
06/21/2019,13.23,12.88,12.415,13.23,0.0,0.0,207606
06/20/2019,13.21,13.23,12.71,13.5,0.0,0.0,188029
06/19/2019,12.8,13.05,12.75,13.1,0.0,0.0,128672
06/18/2019,12.95,12.71,12.67,13.3051,0.0,0.0,113456
06/17/2019,12.87,12.67,12.48,13.6,0.0,0.0,249165
06/14/2019,12.68,12.87,12.65,13.23,0.0,0.0,277738
06/13/2019,13.5,12.7,12.7,13.6,0.0,0.0,1103498
06/12/2019,13.91,15.17,13.8205,15.61,0.0,0.0,123243
06/11/2019,14.53,14.04,13.68,14.63,0.0,0.0,80541
06/10/2019,14.63,14.5,13.97,14.87,0.0,0.0,77121
06/07/2019,14.68,14.57,14.28,14.94,0.0,0.0,64181
06/06/2019,14.73,14.57,14.465,14.96,0.0,0.0,68745
06/05/2019,13.51,14.75,13.51,14.91,0.0,0.0,79408
06/04/2019,14.14,13.64,13.59,14.41,0.0,0.0,83966
06/03/2019,14.47,13.92,13.7,14.79,0.0,0.0,93172
05/31/2019,14.6,14.58,14.11,14.68,0.0,0.0,61577
05/30/2019,15,14.64,14.02,15.07,0.0,0.0,85124
05/29/2019,15.52,14.81,14.58,15.52,0.0,0.0,141127
05/28/2019,16,15.61,15.26,16.63,0.0,0.0,51526
05/24/2019,16.82,16.3,16.02,17.04,0.0,0.0,46702
05/23/2019,17.57,16.65,16.5,17.57,0.0,0.0,55474
05/22/2019,18.75,17.55,17.5,19.02,0.0,0.0,97533
05/21/2019,19.09,18.82,18.56,19.45,0.0,0.0,76029
05/20/2019,18.19,18.94,17.6226,19.27,0.0,0.0,142361
05/17/2019,17.86,18.43,17.86,18.6,0.0,0.0,88338
05/16/2019,17.91,18.03,17.8114,18.2,0.0,0.0,48263
05/15/2019,17.9,17.92,17.53,18.25,0.0,0.0,43547
05/14/2019,17.2,18.06,16.6,18.73,0.0,0.0,78476
05/13/2019,17.65,17.42,17,18.2719,0.0,0.0,96256
05/10/2019,18.8,18.35,16.75,19.1036,0.0,0.0,191238
05/09/2019,19.301,19.9,19.25,20.04,0.0,0.0,77613
05/08/2019,19.07,19.46,18.5871,19.5,0.0,0.0,33533
05/07/2019,19.38,19.22,19.03,19.5,0.0,0.0,24525
05/06/2019,19.61,19.62,19.31,19.95,0.0,0.0,50199
05/03/2019,20.14,20.16,20.1,20.46,0.0,0.0,43760
05/02/2019,20.35,20.16,20.08,20.375,0.0,0.0,24430
05/01/2019,21.1,20.35,20.27,21.1,0.0,0.0,42427
04/30/2019,20.47,20.8,20.24,21.08,0.0,0.0,93995
04/29/2019,20,20.54,19.74,20.65,0.0,0.0,49343
04/26/2019,19.55,19.91,18.4945,20.45,0.0,0.0,67090
04/25/2019,19.16,19.4,18.48,19.75,0.0,0.0,29948
04/24/2019,19.13,19.17,18.0751,19.3,0.0,0.0,63087
04/23/2019,19.72,19.17,19.09,19.8748,0.0,0.0,64508
04/22/2019,19.61,19.69,19.1,19.8996,0.0,0.0,52153
04/18/2019,19.99,19.49,19.18,19.99,0.0,0.0,51141
04/17/2019,18.85,19.56,18.5,19.75,0.0,0.0,73382
04/16/2019,18.5523,18.87,18.1229,18.87,0.0,0.0,43909
