Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,23.67,23.735,23.67,23.7362,0.0,0.0,8448
07/15/2019,23.63,23.63,23.63,23.63,0.0,0.0,00
07/12/2019,23.63,23.63,23.63,23.63,0.0,0.0,00
07/11/2019,23.63,23.63,23.63,23.63,0.0,0.0,00
07/10/2019,23.63,23.63,23.63,23.63,0.0,0.0,102
07/09/2019,23.5188,23.55,23.5188,23.55,0.0,0.0,1723
07/08/2019,23.71,23.71,23.71,23.71,0.0,0.0,00
07/05/2019,23.71,23.71,23.71,23.71,0.0,0.0,00
07/03/2019,23.66,23.71,23.6338,23.71,0.0,0.0,10372
07/02/2019,23.6,23.6,23.6,23.6,0.0,0.0,135
07/01/2019,23.71,23.71,23.71,23.71,0.0,0.0,176
06/28/2019,23.63,23.7262,23.63,23.7262,0.0,0.0,225
06/27/2019,23.1171,23.1171,23.1171,23.1171,0.0,0.0,00
06/26/2019,23.1171,23.1171,23.1171,23.1171,0.0,0.0,275
06/25/2019,23.1828,23.1828,23.1828,23.1828,0.0,0.0,881
06/24/2019,23.3285,23.3285,23.3285,23.3285,0.0,0.0,550
06/21/2019,23.48,23.42,23.42,23.49,0.0,0.0,10294
06/20/2019,23.53,23.53,23.53,23.53,0.0,0.0,102
06/19/2019,23.4,23.4,23.4,23.4,0.0,0.0,101
06/18/2019,23.39,23.4432,23.39,23.4432,0.0,0.0,2195
06/17/2019,23.16,23.16,23.16,23.16,0.0,0.0,305
06/14/2019,23.13,23.1,23.08,23.25,0.0,0.0,2239
06/13/2019,23.2352,23.14,23.1175,23.2352,0.0,0.0,3603
06/12/2019,22.95,23.05,22.95,23.05,0.0,0.0,1647
06/11/2019,23.07,23.0974,22.94,23.1501,0.0,0.0,20107
06/10/2019,23.001,23.001,23.001,23.001,0.0,0.0,1414
06/07/2019,22.94,22.9216,22.9216,22.94,0.0,0.0,557
06/06/2019,22.6712,22.6712,22.6712,22.6712,0.0,0.0,00
06/05/2019,22.6712,22.6712,22.6712,22.6712,0.0,0.0,00
06/04/2019,22.7,22.6712,22.6712,22.7,0.0,0.0,825
06/03/2019,22.347,22.4699,22.28,22.4699,0.0,0.0,3490
05/31/2019,22.58,22.58,22.58,22.58,0.0,0.0,00
05/30/2019,22.58,22.58,22.58,22.58,0.0,0.0,769
05/29/2019,22.7599,22.7599,22.7599,22.7599,0.0,0.0,00
05/28/2019,22.7599,22.7599,22.7599,22.7599,0.0,0.0,100
05/24/2019,23.07,23.07,23.07,23.07,0.0,0.0,00
05/23/2019,23.07,23.07,23.07,23.07,0.0,0.0,00
05/22/2019,23.07,23.07,23.07,23.07,0.0,0.0,00
05/21/2019,23.05,23.07,23.05,23.07,0.0,0.0,903
05/20/2019,22.97,22.97,22.97,22.97,0.0,0.0,265
05/17/2019,23.35,23.35,23.35,23.35,0.0,0.0,00
05/16/2019,23.35,23.35,23.35,23.35,0.0,0.0,00
05/15/2019,23.16,23.35,23.16,23.35,0.0,0.0,1161
05/14/2019,23.04,23.36,23.04,23.36,0.0,0.0,1002
05/13/2019,23.15,22.9697,22.9697,23.15,0.0,0.0,3263
05/10/2019,23.5571,23.59,23.5571,23.59,0.0,0.0,393
05/09/2019,23.55,23.45,23.45,23.55,0.0,0.0,3680
05/08/2019,23.75,23.93,23.75,23.93,0.0,0.0,1532
05/07/2019,24.14,23.92,23.92,24.14,0.0,0.0,502
05/06/2019,24.23,24.2688,24.23,24.2688,0.0,0.0,812
05/03/2019,23.85,23.85,23.85,23.85,0.0,0.0,00
05/02/2019,23.86,23.85,23.85,23.86,0.0,0.0,396
05/01/2019,23.98,24.0444,23.98,24.07,0.0,0.0,1355
04/30/2019,24.0999,24.0785,23.927,24.0999,0.0,0.0,4409
04/29/2019,24.09,24.09,24.09,24.09,0.0,0.0,100
04/26/2019,23.7808,23.7808,23.7808,23.7808,0.0,0.0,00
04/25/2019,23.793,23.7808,23.7808,23.793,0.0,0.0,1086
04/24/2019,23.98,24.0123,23.98,24.0123,0.0,0.0,1600
04/23/2019,23.65,23.65,23.65,23.65,0.0,0.0,00
04/22/2019,23.65,23.65,23.65,23.65,0.0,0.0,107
04/18/2019,23.7976,23.8235,23.77,23.8235,0.0,0.0,720
04/17/2019,23.879,23.879,23.879,23.879,0.0,0.0,959
04/16/2019,24.08,23.95,23.95,24.08,0.0,0.0,1552
