Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.69,7.45,7.4,7.78,0.0,0.0,335923
07/15/2019,8.12,7.65,7.58,8.18,0.0,0.0,492450
07/12/2019,8.18,8.11,7.97,8.34,0.0,0.0,303790
07/11/2019,8.1,8.19,7.94,8.2,0.0,0.0,451080
07/10/2019,8.11,8.08,7.99,8.29,0.0,0.0,257844
07/09/2019,7.91,8.09,7.89,8.19,0.0,0.0,293986
07/08/2019,8.41,8.13,8.1,8.53,0.0,0.0,217242
07/05/2019,8.3,8.41,8.2701,8.5,0.0,0.0,257936
07/03/2019,8.21,8.33,8.21,8.44,0.0,0.0,152759
07/02/2019,7.94,8.2,7.94,8.31,0.0,0.0,261331
07/01/2019,7.97,7.94,7.92,8.56,0.0,0.0,551293
06/28/2019,7.57,7.91,7.5013,8.07,0.0,0.0,4826620
06/27/2019,7.33,7.55,7.31,7.7,0.0,0.0,323673
06/26/2019,7.48,7.34,7.23,7.69,0.0,0.0,190110
06/25/2019,7.7,7.5,7.42,7.85,0.0,0.0,483032
06/24/2019,8.04,7.72,7.54,8.23,0.0,0.0,618485
06/21/2019,8.01,7.99,7.9126,8.24,0.0,0.0,646174
06/20/2019,7.8,8.04,7.8,8.19,0.0,0.0,609752
06/19/2019,7.38,7.82,7.305,7.9696,0.0,0.0,616278
06/18/2019,6.98,7.35,6.9,7.45,0.0,0.0,497740
06/17/2019,6.98,6.67,6.66,7.07,0.0,0.0,247978
06/14/2019,7.08,6.98,6.95,7.17,0.0,0.0,152748
06/13/2019,6.9,7.08,6.88,7.18,0.0,0.0,281056
06/12/2019,6.52,6.91,6.5013,6.94,0.0,0.0,348831
06/11/2019,6.84,6.54,6.47,6.9,0.0,0.0,365048
06/10/2019,6.62,6.83,6.62,7.38,0.0,0.0,567842
06/07/2019,6.95,6.65,6.65,7.19,0.0,0.0,428743
06/06/2019,6.16,6.88,6.16,6.91,0.0,0.0,569568
06/05/2019,6.29,6.2,6.1291,6.3416,0.0,0.0,165150
06/04/2019,6.18,6.27,6.11,6.32,0.0,0.0,207930
06/03/2019,6.3,6.16,6.11,6.48,0.0,0.0,297796
05/31/2019,6.64,6.38,6.38,6.71,0.0,0.0,271658
05/30/2019,6.61,6.68,6.5,6.7,0.0,0.0,182344
05/29/2019,6.56,6.63,6.5,6.75,0.0,0.0,213189
05/28/2019,6.56,6.62,6.46,6.75,0.0,0.0,176373
05/24/2019,6.61,6.6,6.44,6.66,0.0,0.0,329238
05/23/2019,6.7,6.62,6.6,6.85,0.0,0.0,288310
05/22/2019,6.62,6.76,6.6,7,0.0,0.0,361618
05/21/2019,6.55,6.62,6.465,6.68,0.0,0.0,162772
05/20/2019,6.38,6.55,6.31,6.67,0.0,0.0,166402
05/17/2019,6.55,6.42,6.33,6.61,0.0,0.0,169790
05/16/2019,6.55,6.58,6.44,6.72,0.0,0.0,407638
05/15/2019,6.26,6.53,6.1,6.58,0.0,0.0,184884
05/14/2019,6.39,6.24,6.14,6.68,0.0,0.0,312969
05/13/2019,5.94,6.38,5.87,6.5,0.0,0.0,304006
05/10/2019,5.83,6.08,5.55,6.18,0.0,0.0,949113
05/09/2019,5.41,5.3,5.23,5.45,0.0,0.0,202424
05/08/2019,5.53,5.43,5.39,5.6304,0.0,0.0,225422
05/07/2019,5.22,5.34,5.2,5.38,0.0,0.0,253116
05/06/2019,5.16,5.25,5.16,5.39,0.0,0.0,258452
05/03/2019,5.27,5.21,5.08,5.39,0.0,0.0,297742
05/02/2019,5.41,5.29,5.24,5.47,0.0,0.0,287534
05/01/2019,5.36,5.42,5.32,5.42,0.0,0.0,295638
04/30/2019,5.32,5.38,5.32,5.43,0.0,0.0,148221
04/29/2019,5.4,5.37,5.3,5.43,0.0,0.0,344743
04/26/2019,5.12,5.38,5.11,5.39,0.0,0.0,197970
04/25/2019,5.39,5.12,4.96,5.43,0.0,0.0,649255
04/24/2019,5.45,5.37,5.35,5.48,0.0,0.0,119941
04/23/2019,5.39,5.44,5.38,5.52,0.0,0.0,159085
04/22/2019,5.4,5.41,5.33,5.43,0.0,0.0,113198
04/18/2019,5.6,5.44,5.3731,5.63,0.0,0.0,470117
04/17/2019,5.64,5.64,5.62,5.83,0.0,0.0,166572
04/16/2019,5.71,5.64,5.59,5.8,0.0,0.0,134426
