Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,8.97,9.1,8.86,9.21,0.0,0.0,64377
07/15/2019,9.1,8.98,8.74,9.1,0.0,0.0,82250
07/12/2019,8.91,8.99,8.63,9.08,0.0,0.0,132877
07/11/2019,9.32,8.87,8.75,9.32,0.0,0.0,104908
07/10/2019,9.49,9.29,9.11,9.55,0.0,0.0,169281
07/09/2019,9.13,9.44,8.91,9.58,0.0,0.0,85147
07/08/2019,9.23,9.11,8.75,9.27,0.0,0.0,197158
07/05/2019,9.06,9.31,8.95,9.49,0.0,0.0,101750
07/03/2019,9,9.15,8.966,9.2,0.0,0.0,59703
07/02/2019,9.05,9.03,8.78,9.23,0.0,0.0,182923
07/01/2019,9.4,9.03,8.87,9.4,0.0,0.0,187994
06/28/2019,9.1,9.31,9.1,9.6595,0.0,0.0,1041009
06/27/2019,8.52,9.05,8.52,9.4487,0.0,0.0,209196
06/26/2019,8.49,8.51,8.35,8.7,0.0,0.0,141833
06/25/2019,8.49,8.44,8.385,8.555,0.0,0.0,130292
06/24/2019,8.75,8.49,8.46,8.75,0.0,0.0,125747
06/21/2019,8.73,8.64,8.46,8.765,0.0,0.0,154426
06/20/2019,9.22,8.78,8.56,9.27,0.0,0.0,150457
06/19/2019,9,9.05,8.9,9.25,0.0,0.0,149764
06/18/2019,8.77,9.03,8.75,9.275,0.0,0.0,147922
06/17/2019,7.83,8.68,7.71,8.78,0.0,0.0,319758
06/14/2019,7.66,7.71,7.47,7.9,0.0,0.0,66107
06/13/2019,7.89,7.66,7.4654,7.95,0.0,0.0,87708
06/12/2019,7.56,7.86,7.365,7.97,0.0,0.0,55881
06/11/2019,7.95,7.55,7.405,7.97,0.0,0.0,131699
06/10/2019,7.66,7.88,7.65,7.98,0.0,0.0,79044
06/07/2019,7.32,7.59,7.255,7.66,0.0,0.0,68459
06/06/2019,7.43,7.32,7.2,7.5,0.0,0.0,114909
06/05/2019,7.75,7.44,7.34,7.75,0.0,0.0,81142
06/04/2019,7.4,7.7,7.34,7.75,0.0,0.0,132021
06/03/2019,7.26,7.37,7.18,7.39,0.0,0.0,94298
05/31/2019,7.72,7.3,7.26,7.81,0.0,0.0,84277
05/30/2019,8,7.82,7.67,8.3,0.0,0.0,179817
05/29/2019,7.18,7.99,7.13,8.16,0.0,0.0,252761
05/28/2019,7.56,7.28,7.2,7.56,0.0,0.0,129487
05/24/2019,7.31,7.55,7.31,7.7,0.0,0.0,80657
05/23/2019,7.23,7.32,6.85,7.37,0.0,0.0,83176
05/22/2019,7.28,7.32,7.17,7.47,0.0,0.0,55546
05/21/2019,7.36,7.32,7.21,7.61,0.0,0.0,77760
05/20/2019,7.28,7.15,6.94,7.35,0.0,0.0,134994
05/17/2019,7.4,7.36,6.905,7.64,0.0,0.0,178599
05/16/2019,7.45,7.5,7.22,7.56,0.0,0.0,103419
05/15/2019,7.46,7.53,7.14,7.72,0.0,0.0,108750
05/14/2019,7.51,7.67,7.38,7.79,0.0,0.0,184672
05/13/2019,7.43,7.32,6.95,7.6,0.0,0.0,131741
05/10/2019,7.68,7.6,7.3,7.76,0.0,0.0,130237
05/09/2019,7.8,7.67,7.4,7.91,0.0,0.0,144824
05/08/2019,7.81,7.9,7.79,8.03,0.0,0.0,296603
05/07/2019,7.5,7.81,7.3,8,0.0,0.0,548536
05/06/2019,6.98,7.36,6.81,7.5625,0.0,0.0,200097
05/03/2019,6.98,7.16,6.85,7.33,0.0,0.0,133961
05/02/2019,7.17,6.9,6.73,7.22,0.0,0.0,207746
05/01/2019,7.16,7.22,7.01,7.34,0.0,0.0,108686
04/30/2019,7.17,7.15,6.68,7.31,0.0,0.0,191339
04/29/2019,7.09,7.16,7.03,7.4088,0.0,0.0,141413
04/26/2019,6.81,7.09,6.81,7.15,0.0,0.0,256455
04/25/2019,6.91,6.84,6.77,6.94,0.0,0.0,154642
04/24/2019,6.82,6.99,6.68,7,0.0,0.0,144202
04/23/2019,6.38,6.96,6.38,7.07,0.0,0.0,258893
04/22/2019,6.3,6.35,6.11,6.39,0.0,0.0,92136
04/18/2019,6.31,6.29,6.11,6.37,0.0,0.0,143340
04/17/2019,6.31,6.27,6.01,6.31,0.0,0.0,113890
04/16/2019,6.17,6.26,6.08,6.38,0.0,0.0,88481
