Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.4,1.34,1.32,1.4,0.0,0.0,226509
07/15/2019,1.3,1.32,1.3,1.39,0.0,0.0,305064
07/12/2019,1.35,1.31,1.29,1.35,0.0,0.0,1162148
07/11/2019,1.73,1.525,1.5,1.73,0.0,0.0,856532
07/10/2019,1.76,1.7331,1.71,1.81,0.0,0.0,321215
07/09/2019,1.76,1.75,1.7092,1.8299,0.0,0.0,216844
07/08/2019,1.75,1.76,1.7,1.7692,0.0,0.0,201514
07/05/2019,1.71,1.725,1.69,1.78,0.0,0.0,43826
07/03/2019,1.71,1.7153,1.68,1.76,0.0,0.0,88281
07/02/2019,1.68,1.7291,1.66,1.7893,0.0,0.0,150728
07/01/2019,1.78,1.66,1.62,1.79,0.0,0.0,198039
06/28/2019,1.57,1.8,1.57,1.8,0.0,0.0,444421
06/27/2019,1.51,1.58,1.51,1.58,0.0,0.0,123702
06/26/2019,1.48,1.52,1.48,1.52,0.0,0.0,40943
06/25/2019,1.49,1.47,1.45,1.5396,0.0,0.0,70491
06/24/2019,1.55,1.5,1.5,1.57,0.0,0.0,82729
06/21/2019,1.55,1.57,1.52,1.58,0.0,0.0,70032
06/20/2019,1.48,1.56,1.45,1.65,0.0,0.0,507460
06/19/2019,1.43,1.42,1.33,1.464,0.0,0.0,120485
06/18/2019,1.43,1.42,1.4,1.495,0.0,0.0,59257
06/17/2019,1.37,1.47,1.37,1.52,0.0,0.0,130863
06/14/2019,1.34,1.37,1.34,1.41,0.0,0.0,88994
06/13/2019,1.48,1.33,1.3002,1.48,0.0,0.0,223937
06/12/2019,1.49,1.465,1.46,1.4998,0.0,0.0,62346
06/11/2019,1.48,1.49,1.46,1.5,0.0,0.0,50359
06/10/2019,1.43,1.46,1.43,1.5,0.0,0.0,86180
06/07/2019,1.44,1.44,1.44,1.5,0.0,0.0,99718
06/06/2019,1.52,1.44,1.43,1.53,0.0,0.0,114710
06/05/2019,1.46,1.5,1.46,1.5381,0.0,0.0,78763
06/04/2019,1.46,1.47,1.45,1.5,0.0,0.0,68448
06/03/2019,1.49,1.46,1.4501,1.55,0.0,0.0,99678
05/31/2019,1.46,1.51,1.45,1.55,0.0,0.0,107431
05/30/2019,1.46,1.49,1.41,1.5047,0.0,0.0,111419
05/29/2019,1.52,1.47,1.43,1.5427,0.0,0.0,234587
05/28/2019,1.57,1.54,1.53,1.57,0.0,0.0,56829
05/24/2019,1.6,1.57,1.5,1.6,0.0,0.0,105098
05/23/2019,1.5,1.58,1.48,1.58,0.0,0.0,168345
05/22/2019,1.5,1.5075,1.49,1.5824,0.0,0.0,150558
05/21/2019,1.61,1.5,1.48,1.64,0.0,0.0,303108
05/20/2019,1.73,1.62,1.6,1.73,0.0,0.0,231316
05/17/2019,1.8,1.7,1.65,1.8,0.0,0.0,293847
05/16/2019,1.5,1.67,1.48,1.69,0.0,0.0,728304
05/15/2019,1.65,1.67,1.62,1.6705,0.0,0.0,385770
05/14/2019,1.7,1.68,1.61,1.72,0.0,0.0,231822
05/13/2019,1.67,1.69,1.62,1.7,0.0,0.0,235355
05/10/2019,1.76,1.67,1.58,1.78,0.0,0.0,558312
05/09/2019,1.85,1.7596,1.74,1.85,0.0,0.0,335704
05/08/2019,1.9,1.83,1.81,1.9,0.0,0.0,283769
05/07/2019,1.86,1.88,1.8,1.95,0.0,0.0,720168
05/06/2019,1.85,1.83,1.71,1.85,0.0,0.0,409242
05/03/2019,1.83,1.82,1.77,1.85,0.0,0.0,402006
05/02/2019,1.82,1.77,1.76,1.82,0.0,0.0,286635
05/01/2019,1.73,1.79,1.6902,1.8,0.0,0.0,536783
04/30/2019,1.66,1.68,1.65,1.7,0.0,0.0,216442
04/29/2019,1.66,1.685,1.6439,1.75,0.0,0.0,555083
04/26/2019,1.52,1.62,1.48,1.62,0.0,0.0,357409
04/25/2019,1.5,1.51,1.48,1.5368,0.0,0.0,129124
04/24/2019,1.51,1.47,1.4595,1.549,0.0,0.0,192280
04/23/2019,1.58,1.51,1.4457,1.58,0.0,0.0,268648
04/22/2019,1.45,1.52,1.45,1.58,0.0,0.0,462477
04/18/2019,1.49,1.45,1.4,1.49,0.0,0.0,122816
04/17/2019,1.45,1.41,1.38,1.48,0.0,0.0,222946
04/16/2019,1.33,1.42,1.33,1.51,0.0,0.0,678642
