Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,137.44,135.91,135.78,137.52,0.0,0.0,758706
07/15/2019,137.64,137.46,135.81,137.69,0.0,0.0,671919
07/12/2019,137.61,137.41,135.58,137.73,0.0,0.0,695314
07/11/2019,137.64,136.44,136.33,137.85,0.0,0.0,1231319
07/10/2019,136.35,137.57,136.11,137.88,0.0,0.0,1063430
07/09/2019,134.91,135.86,134.555,135.97,0.0,0.0,1117371
07/08/2019,134.66,135.6,134.445,135.68,0.0,0.0,1483615
07/05/2019,133.78,135.4,132.37,135.54,0.0,0.0,1008742
07/03/2019,133.07,134.89,133.07,135.25,0.0,0.0,991384
07/02/2019,131.99,133.46,131.6763,133.5,0.0,0.0,1156420
07/01/2019,131.4,131.43,130.14,132.09,0.0,0.0,1442374
06/28/2019,126.44,128.69,125.67,128.84,0.0,0.0,4971128
06/27/2019,124.03,125.62,124.03,125.86,0.0,0.0,989433
06/26/2019,125.97,123.98,123.58,126.77,0.0,0.0,1514969
06/25/2019,128.36,124.64,124.56,128.36,0.0,0.0,1367621
06/24/2019,129.21,128.11,127.88,129.56,0.0,0.0,807222
06/21/2019,130.4,128.84,128.75,130.51,0.0,0.0,1630477
06/20/2019,128.58,130.01,128.3448,130.64,0.0,0.0,1357200
06/19/2019,126.39,127.65,126,128,0.0,0.0,1258454
06/18/2019,126.11,125.86,125.41,126.51,0.0,0.0,1253659
06/17/2019,124.82,124.52,124.18,125.79,0.0,0.0,999009
06/14/2019,126.07,124.8,123.4,126.145,0.0,0.0,916746
06/13/2019,127.22,125.98,125.5,127.39,0.0,0.0,764805
06/12/2019,125.88,126.74,125.44,127.43,0.0,0.0,682300
06/11/2019,127.45,126.14,124.59,127.91,0.0,0.0,1116636
06/10/2019,124.86,126.22,124.52,126.87,0.0,0.0,1054398
06/07/2019,122.9,123.9,122.47,124.13,0.0,0.0,1175372
06/06/2019,121.6,122.12,120.35,122.23,0.0,0.0,1346548
06/05/2019,119.35,120.98,119.01,120.99,0.0,0.0,1208962
06/04/2019,114.04,118.05,113.52,118.12,0.0,0.0,1734280
06/03/2019,116.55,113.41,112.75,117.03,0.0,0.0,1245427
05/31/2019,115.72,116.44,115.5526,117.1962,0.0,0.0,1158522
05/30/2019,116.61,117.04,116.605,117.99,0.0,0.0,1064985
05/29/2019,116.91,116.22,115.84,117.57,0.0,0.0,867708
05/28/2019,117.1,117.88,117.1,119.38,0.0,0.0,1830861
05/24/2019,117.36,116.71,116.4,118.47,0.0,0.0,1946410
05/23/2019,116.4,117.01,115.51,119.87,0.0,0.0,2387025
05/22/2019,114.85,115.09,113.95,115.42,0.0,0.0,2460305
05/21/2019,116.39,115.78,115.05,117.13,0.0,0.0,1727102
05/20/2019,121.51,115.01,113.94,121.51,0.0,0.0,2159292
05/17/2019,123.5,121.39,121.1,123.8,0.0,0.0,1362316
05/16/2019,120.53,123.17,120.53,124.12,0.0,0.0,2070746
05/15/2019,117.51,120.23,117.17,120.33,0.0,0.0,644508
05/14/2019,116.49,117.74,116.37,118.38,0.0,0.0,736966
05/13/2019,117.06,115.9,115.66,118.47,0.0,0.0,910577
05/10/2019,118.18,119.82,116.61,120.26,0.0,0.0,661260
05/09/2019,117.73,118.9,116.89,119.25,0.0,0.0,729731
05/08/2019,119.32,119.36,118.3,120.15,0.0,0.0,646327
05/07/2019,120.27,119.57,118.59,120.89,0.0,0.0,928651
05/06/2019,119.18,121.53,118.37,121.83,0.0,0.0,744599
05/03/2019,120.5,121.65,120.5,122.36,0.0,0.0,662080
05/02/2019,120,120.7,119.19,121,0.0,0.0,777929
05/01/2019,121.32,120.09,120.05,121.45,0.0,0.0,678529
04/30/2019,119.88,121.08,119.66,121.18,0.0,0.0,794883
04/29/2019,120.18,119.86,119.84,120.98,0.0,0.0,651414
04/26/2019,119.61,120.12,118.19,120.12,0.0,0.0,733936
04/25/2019,119.95,119.7,118.41,120.43,0.0,0.0,708289
04/24/2019,120.25,119.87,119.78,121.37,0.0,0.0,946700
04/23/2019,118.42,119.89,118.03,120.745,0.0,0.0,1340619
04/22/2019,115.7,116.99,115.01,117.46,0.0,0.0,481724
04/18/2019,116.55,115.98,113.81,116.55,0.0,0.0,1064424
04/17/2019,117.45,116.04,115.97,117.57,0.0,0.0,990767
04/16/2019,118.08,116.73,116.12,118.51,0.0,0.0,765631
