Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.08,11.14,10.96,11.3,0.0,0.0,67037
07/15/2019,11.29,11.11,10.9,11.34,0.0,0.0,84767
07/12/2019,11.31,11.34,11.22,11.41,0.0,0.0,63022
07/11/2019,11.27,11.35,11.14,11.52,0.0,0.0,105938
07/10/2019,11.38,11.27,11.21,11.49,0.0,0.0,80353
07/09/2019,11.4,11.43,11.375,11.51,0.0,0.0,49993
07/08/2019,11.44,11.43,11.35,11.63,0.0,0.0,78498
07/05/2019,11.29,11.45,11.13,11.56,0.0,0.0,85271
07/03/2019,11.46,11.35,11.12,11.48,0.0,0.0,92021
07/02/2019,11.23,11.44,11.03,11.505,0.0,0.0,113448
07/01/2019,11.22,11.23,10.98,11.3276,0.0,0.0,104576
06/28/2019,10.97,11.19,10.875,11.2514,0.0,0.0,247816
06/27/2019,10.74,11.04,10.7,11.08,0.0,0.0,142024
06/26/2019,10.5,10.74,10.5,11.03,0.0,0.0,140714
06/25/2019,10.75,10.52,10.51,10.86,0.0,0.0,108875
06/24/2019,11.15,10.82,10.62,11.15,0.0,0.0,197375
06/21/2019,11.19,11.15,10.9,11.46,0.0,0.0,170100
06/20/2019,11.18,11.23,11.08,11.4,0.0,0.0,89592
06/19/2019,11.14,11.17,10.84,11.23,0.0,0.0,143975
06/18/2019,11.33,11.15,11.1,11.4625,0.0,0.0,114776
06/17/2019,11.34,11.28,11.04,11.49,0.0,0.0,107084
06/14/2019,11.18,11.33,11.13,11.71,0.0,0.0,182796
06/13/2019,11.1,11.12,10.87,11.14,0.0,0.0,150251
06/12/2019,10.45,11.01,10.45,11.07,0.0,0.0,300084
06/11/2019,10.64,10.38,10.09,10.64,0.0,0.0,312148
06/10/2019,10.38,10.65,10.24,10.745,0.0,0.0,158999
06/07/2019,10.22,10.35,10.0901,10.39,0.0,0.0,113364
06/06/2019,10.12,10.15,10,10.2627,0.0,0.0,227121
06/05/2019,9.91,10.09,9.91,10.1553,0.0,0.0,188907
06/04/2019,9.97,9.9,9.56,10.06,0.0,0.0,169119
06/03/2019,9.75,9.91,9.645,9.96,0.0,0.0,111842
05/31/2019,10,9.8,9.61,10.04,0.0,0.0,143776
05/30/2019,10.28,10.02,9.85,10.3,0.0,0.0,191183
05/29/2019,10.38,10.16,10.12,10.4,0.0,0.0,167951
05/28/2019,10.61,10.4,10.38,10.61,0.0,0.0,144238
05/24/2019,10.75,10.54,10.48,10.75,0.0,0.0,143430
05/23/2019,10.45,10.67,10.28,10.73,0.0,0.0,117618
05/22/2019,10.63,10.52,10.5,10.65,0.0,0.0,202115
05/21/2019,10.45,10.58,10.415,10.67,0.0,0.0,101434
05/20/2019,10.32,10.39,10.2651,10.76,0.0,0.0,194084
05/17/2019,9.86,10.25,9.83,10.31,0.0,0.0,141560
05/16/2019,9.94,9.93,9.8,9.96,0.0,0.0,51601
05/15/2019,9.71,9.93,9.7,9.97,0.0,0.0,105141
05/14/2019,9.61,9.76,9.575,9.94,0.0,0.0,122590
05/13/2019,9.74,9.62,9.54,9.74,0.0,0.0,71708
05/10/2019,9.62,9.71,9.62,9.75,0.0,0.0,58962
05/09/2019,9.53,9.63,9.47,9.68,0.0,0.0,98265
05/08/2019,9.5,9.55,9.42,9.64,0.0,0.0,60411
05/07/2019,9.18,9.45,9.18,9.52,0.0,0.0,174223
05/06/2019,9.4,9.18,8.98,9.49,0.0,0.0,153892
05/03/2019,9.55,9.43,9.4,9.63,0.0,0.0,52108
05/02/2019,9.35,9.47,9.3,9.51,0.0,0.0,71642
05/01/2019,9.46,9.31,9.28,9.46,0.0,0.0,121901
04/30/2019,9.48,9.46,9.31,9.53,0.0,0.0,46105
04/29/2019,9.51,9.48,9.38,9.59,0.0,0.0,49504
04/26/2019,9.21,9.51,9.21,9.56,0.0,0.0,68400
04/25/2019,9.4,9.21,9.14,9.43,0.0,0.0,44779
04/24/2019,9.34,9.41,9.32,9.5,0.0,0.0,63666
04/23/2019,9.39,9.34,9.255,9.43,0.0,0.0,271484
04/22/2019,9.39,9.395,9.3,9.48,0.0,0.0,46511
04/18/2019,9.27,9.39,9.24,9.44,0.0,0.0,31275
04/17/2019,9.54,9.27,9.26,9.54,0.0,0.0,47264
04/16/2019,9.49,9.49,9.25,9.57,0.0,0.0,47622
