Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,24.804,24.8329,24.6803,24.87,0.0,0.0,17223
07/15/2019,24.8,24.8023,24.7592,24.87,0.0,0.0,12270
07/12/2019,24.72,24.8,24.72,24.87,0.0,0.0,13368
07/11/2019,24.6498,24.646,24.6277,24.8199,0.0,0.0,9091
07/10/2019,24.55,24.662,24.55,24.6789,0.0,0.0,4491
07/09/2019,24.61,24.5932,24.4957,24.65,0.0,0.0,6925
07/08/2019,24.58,24.63,24.43,24.63,0.0,0.0,12146
07/05/2019,24.58,24.58,24.3919,24.58,0.0,0.0,6158
07/03/2019,24.6,24.5764,24.4947,24.6486,0.0,0.0,6177
07/02/2019,24.401,24.56,24.4,24.6,0.0,0.0,9342
07/01/2019,24.45,24.49,24.45,24.49,0.0,0.0,2897
06/28/2019,24.49,24.39,24.2474,24.49,0.0,0.0,6700
06/27/2019,24.8659,24.8856,24.8424,24.98,0.0,0.0,10084
06/26/2019,24.92,24.9089,24.8,24.98,0.0,0.0,21219
06/25/2019,24.95,24.91,24.8809,24.95,0.0,0.0,11099
06/24/2019,24.95,24.913,24.89,24.9745,0.0,0.0,10635
06/21/2019,24.9767,25,24.8646,25,0.0,0.0,59371
06/20/2019,24.9237,24.96,24.8851,24.9621,0.0,0.0,8312
06/19/2019,24.9,24.95,24.8761,24.95,0.0,0.0,11991
06/18/2019,24.95,24.94,24.7432,25.0341,0.0,0.0,19155
06/17/2019,24.8225,24.9499,24.65,24.95,0.0,0.0,6696
06/14/2019,24.78,24.918,24.75,24.93,0.0,0.0,30460
06/13/2019,24.7403,24.7901,24.7403,24.8,0.0,0.0,2644
06/12/2019,24.7228,24.78,24.6314,24.7886,0.0,0.0,9007
06/11/2019,24.78,24.74,24.66,24.78,0.0,0.0,16550
06/10/2019,24.58,24.715,24.58,24.78,0.0,0.0,8407
06/07/2019,24.7364,24.68,24.61,24.8,0.0,0.0,10118
06/06/2019,24.67,24.5701,24.4456,24.67,0.0,0.0,8408
06/05/2019,24.39,24.6181,24.3644,24.64,0.0,0.0,17126
06/04/2019,24.65,24.35,24.35,24.65,0.0,0.0,20620
06/03/2019,24.5774,24.53,24.53,24.7,0.0,0.0,14412
05/31/2019,24.5442,24.6069,24.5,24.6515,0.0,0.0,3657
05/30/2019,24.9,24.61,24.6,24.9,0.0,0.0,16073
05/29/2019,24.75,24.79,24.65,24.8899,0.0,0.0,25849
05/28/2019,24.7041,24.75,24.6443,24.75,0.0,0.0,13887
05/24/2019,24.6,24.6201,24.6,24.8,0.0,0.0,8152
05/23/2019,24.48,24.49,24.2978,24.5,0.0,0.0,20016
05/22/2019,24.43,24.47,24.42,24.6,0.0,0.0,6461
05/21/2019,24.73,24.5366,24.21,24.75,0.0,0.0,36502
05/20/2019,24.6238,24.6476,24.5029,24.7,0.0,0.0,20418
05/17/2019,24.679,24.7,24.5861,24.7499,0.0,0.0,10825
05/16/2019,24.65,24.67,24.5699,24.75,0.0,0.0,4599
05/15/2019,24.46,24.65,24.36,24.659,0.0,0.0,24276
05/14/2019,24.619,24.528,24.43,24.64,0.0,0.0,20975
05/13/2019,24.47,24.54,24.46,24.738,0.0,0.0,7670
05/10/2019,24.55,24.6046,24.2668,24.64,0.0,0.0,10916
05/09/2019,24.433,24.65,24.3138,24.68,0.0,0.0,14542
05/08/2019,24.3175,24.5375,24.2585,24.55,0.0,0.0,6516
05/07/2019,24.32,24.4838,24.2846,24.6199,0.0,0.0,13224
05/06/2019,24.3426,24.3985,24.1483,24.4713,0.0,0.0,23651
05/03/2019,24.19,24.3758,24.1576,24.5,0.0,0.0,11604
05/02/2019,24.235,24.29,24.2072,24.29,0.0,0.0,3762
05/01/2019,24.2033,24.2616,24.0625,24.2737,0.0,0.0,8109
04/30/2019,24.1785,24.2538,24.1,24.27,0.0,0.0,11103
04/29/2019,24.25,24.2296,24.1511,24.25,0.0,0.0,12463
04/26/2019,24.23,24.2137,24.15,24.23,0.0,0.0,6717
04/25/2019,24.1669,24.2425,24.0264,24.2425,0.0,0.0,11335
04/24/2019,24.16,24.095,24.05,24.16,0.0,0.0,12012
04/23/2019,23.8912,24.172,23.8507,24.25,0.0,0.0,24847
04/22/2019,23.734,23.97,23.7008,23.97,0.0,0.0,13740
04/18/2019,23.7748,23.9,23.6998,23.9,0.0,0.0,3826
04/17/2019,23.79,23.7757,23.6771,24,0.0,0.0,16789
04/16/2019,23.7269,23.617,23.56,23.75,0.0,0.0,6778
