Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,46.16,45.95,45.72,46.68,0.0,0.0,447919
07/15/2019,45.82,46.11,45.3,46.19,0.0,0.0,573334
07/12/2019,45.81,45.88,45.77,46.35,0.0,0.0,428774
07/11/2019,46.02,45.57,44.8,46.15,0.0,0.0,563305
07/10/2019,46.5,46.15,45.97,46.585,0.0,0.0,569618
07/09/2019,46.8,46.23,45.88,47.09,0.0,0.0,807842
07/08/2019,47.95,47.1,46.88,48,0.0,0.0,500664
07/05/2019,47.75,48.04,47.13,48.06,0.0,0.0,327926
07/03/2019,47.07,48.04,46.9013,48.42,0.0,0.0,296283
07/02/2019,46.96,46.85,46.58,47.39,0.0,0.0,552857
07/01/2019,48.16,46.96,46.24,48.88,0.0,0.0,1775768
06/28/2019,47.96,47.75,47.65,48.49,0.0,0.0,1192628
06/27/2019,47.08,47.76,46.9,47.91,0.0,0.0,574013
06/26/2019,46.86,46.79,45.9,46.92,0.0,0.0,831809
06/25/2019,46.97,46.89,46.61,47.41,0.0,0.0,602749
06/24/2019,46.81,46.74,46.42,47.02,0.0,0.0,601130
06/21/2019,47,46.74,46.55,47.36,0.0,0.0,740905
06/20/2019,46.09,46.99,45.77,47.35,0.0,0.0,960281
06/19/2019,45.4,45.69,44.67,45.87,0.0,0.0,1047894
06/18/2019,46.11,45.5,45.45,46.58,0.0,0.0,709269
06/17/2019,45.38,45.91,45.03,46.26,0.0,0.0,628407
06/14/2019,45.71,45.24,44.56,45.71,0.0,0.0,501491
06/13/2019,44.99,45.67,44.95,45.74,0.0,0.0,511726
06/12/2019,45.05,44.89,44.49,45.115,0.0,0.0,522567
06/11/2019,44.74,44.98,44.03,45.26,0.0,0.0,978915
06/10/2019,45.33,44.45,44.24,47,0.0,0.0,747131
06/07/2019,46.49,45.37,45.3,46.85,0.0,0.0,710002
06/06/2019,46.78,46.25,45.33,46.78,0.0,0.0,781677
06/05/2019,47.61,46.71,46.345,47.61,0.0,0.0,541368
06/04/2019,47.28,47.47,46.87,47.99,0.0,0.0,716408
06/03/2019,46.27,46.73,45.785,46.86,0.0,0.0,774528
05/31/2019,44.88,46.38,44.45,46.46,0.0,0.0,1012021
05/30/2019,45.67,45.37,44.9,45.87,0.0,0.0,836222
05/29/2019,45.73,45.63,45.39,46.04,0.0,0.0,687893
05/28/2019,46.64,46.01,46.01,46.87,0.0,0.0,1024656
05/24/2019,46.97,46.63,46.4482,49.81,0.0,0.0,541380
05/23/2019,47.75,46.73,46.53,48.06,0.0,0.0,528234
05/22/2019,48.48,48,47.97,48.5922,0.0,0.0,349292
05/21/2019,48.35,48.91,48.3,49.46,0.0,0.0,590206
05/20/2019,48.21,48.05,47.76,48.31,0.0,0.0,538638
05/17/2019,48.47,48.34,48.11,49.26,0.0,0.0,454788
05/16/2019,48.99,48.79,48.685,49.69,0.0,0.0,592429
05/15/2019,49.08,48.79,48.5314,49.42,0.0,0.0,639874
05/14/2019,48.99,49.37,48.905,49.89,0.0,0.0,753830
05/13/2019,49.19,48.93,48.65,49.534,0.0,0.0,889346
05/10/2019,48.84,50.18,48.43,50.19,0.0,0.0,934999
05/09/2019,48.58,48.79,47.77,49.38,0.0,0.0,1015072
05/08/2019,49.6,49.23,49.15,50.58,0.0,0.0,1164123
05/07/2019,51.38,49.62,49.35,51.75,0.0,0.0,1605394
05/06/2019,51.56,51.8,51.18,53,0.0,0.0,1971294
05/03/2019,48.5,52.01,47.51,52.37,0.0,0.0,9453052
05/02/2019,56.56,57.25,56.12,57.54,0.0,0.0,952404
05/01/2019,58.34,56.95,56.94,58.56,0.0,0.0,1179567
04/30/2019,58.11,58.39,57.75,58.73,0.0,0.0,1063666
04/29/2019,57.88,58.17,57.44,58.48,0.0,0.0,598739
04/26/2019,56.97,57.83,56.51,57.94,0.0,0.0,578271
04/25/2019,57.69,56.77,56.21,57.97,0.0,0.0,757606
04/24/2019,56.95,57.75,56.63,58.04,0.0,0.0,1138183
04/23/2019,56.42,57.16,56.24,57.7,0.0,0.0,607052
04/22/2019,55.89,56.2,55.44,56.86,0.0,0.0,765902
04/18/2019,55.75,56.04,53.93,56.22,0.0,0.0,2452030
04/17/2019,56.99,57.12,56.2,57.5,0.0,0.0,806137
04/16/2019,57.77,56.69,56.46,57.86,0.0,0.0,1050241
