Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,157.33,153.25,152.15,157.33,0.0,0.0,727589
07/15/2019,157,156.91,155.26,158.8,0.0,0.0,1064404
07/12/2019,154.37,156.1,152.3,156.89,0.0,0.0,962730
07/11/2019,151.91,154.24,150.42,156,0.0,0.0,1152941
07/10/2019,150.79,151.05,147.9236,152.46,0.0,0.0,880410
07/09/2019,149.5,150.51,147.21,151.418,0.0,0.0,1509425
07/08/2019,149.66,146.28,143.62,150.35,0.0,0.0,1580191
07/05/2019,150.58,150.8,149.56,153.99,0.0,0.0,922446
07/03/2019,150.09,151.47,146.1355,153.6646,0.0,0.0,1486235
07/02/2019,156.97,150.59,150.25,156.97,0.0,0.0,1976304
07/01/2019,154.5,156.6,150,157.28,0.0,0.0,2587138
06/28/2019,131.1,151.95,130.085,155.75,0.0,0.0,8070689
06/27/2019,128.76,129.76,128.55,131.654,0.0,0.0,1068860
06/26/2019,124.89,128.34,124.615,129.43,0.0,0.0,1338801
06/25/2019,128.55,124.16,123.79,129.95,0.0,0.0,1011001
06/24/2019,130.23,127.34,126.45,131,0.0,0.0,852579
06/21/2019,129.54,129.88,127.28,130.89,0.0,0.0,1050807
06/20/2019,135.38,130.19,129.13,135.71,0.0,0.0,1000255
06/19/2019,133.16,134.41,132.6,135.7,0.0,0.0,1770062
06/18/2019,128.97,132.32,128,134,0.0,0.0,2042241
06/17/2019,121.35,127.07,120.06,127.99,0.0,0.0,1596120
06/14/2019,123,119.57,118.91,123.78,0.0,0.0,710016
06/13/2019,120.77,123.21,119.62,124.14,0.0,0.0,897368
06/12/2019,118.82,120,117.97,120.34,0.0,0.0,613252
06/11/2019,121.39,118.47,117.67,121.68,0.0,0.0,655011
06/10/2019,124.63,120.78,120.65,125.5,0.0,0.0,519276
06/07/2019,122.58,123.9,121.535,124.98,0.0,0.0,620215
06/06/2019,121.41,122.41,120.26,124.9,0.0,0.0,1098631
06/05/2019,119.9,121.74,118.11,121.97,0.0,0.0,709660
06/04/2019,117.09,118.51,115.35,119,0.0,0.0,627915
06/03/2019,114.02,114.93,111.09,116.31,0.0,0.0,689159
05/31/2019,114.25,113.85,112.8,116.3523,0.0,0.0,646925
05/30/2019,118.54,116.25,115.45,120.15,0.0,0.0,586006
05/29/2019,121.6,118.12,116.6,121.6,0.0,0.0,774088
05/28/2019,120.25,122.71,120,124.89,0.0,0.0,1081306
05/24/2019,119.31,120.84,118.145,121.22,0.0,0.0,605882
05/23/2019,117.51,118.25,117.325,122.11,0.0,0.0,551895
05/22/2019,120.81,121.62,118.88,122.68,0.0,0.0,512328
05/21/2019,118.12,121.19,117.98,121.8,0.0,0.0,570604
05/20/2019,120.01,117.57,116.11,120.38,0.0,0.0,945333
05/17/2019,121.23,121.67,120.01,124.37,0.0,0.0,944656
05/16/2019,119.67,122.62,118.02,123.76,0.0,0.0,837443
05/15/2019,114.72,119.19,113.6721,120.07,0.0,0.0,762637
05/14/2019,115.65,115.85,111.405,117.375,0.0,0.0,1053500
05/13/2019,118,112.21,112.02,119.975,0.0,0.0,1306982
05/10/2019,118.02,122,117.74,122.83,0.0,0.0,1019190
05/09/2019,116.91,118.94,112.88,121.26,0.0,0.0,1586088
05/08/2019,114.85,114.5,114.32,117.49,0.0,0.0,908007
05/07/2019,120.28,116.2,114.755,121.27,0.0,0.0,1061817
05/06/2019,118.12,121.59,117.45,121.74,0.0,0.0,716098
05/03/2019,117.17,120.86,116.43,120.98,0.0,0.0,900412
05/02/2019,115.38,116.25,114.51,117.88,0.0,0.0,766714
05/01/2019,116.8,115.6,113.06,117.96,0.0,0.0,970226
04/30/2019,122.34,116.94,115.01,125.13,0.0,0.0,1732713
04/29/2019,121.74,122.56,121.22,124.35,0.0,0.0,1025985
04/26/2019,120.02,121.2,117.63,121.99,0.0,0.0,499593
04/25/2019,118,120.22,116.75,120.56,0.0,0.0,447944
04/24/2019,118.2,118.16,115.51,119.64,0.0,0.0,637679
04/23/2019,113.98,118.09,112.54,118.35,0.0,0.0,1402514
04/22/2019,116.19,113.79,112.3556,117.39,0.0,0.0,1197949
04/18/2019,119.01,116.64,116.26,120.17,0.0,0.0,2350666
04/17/2019,122.12,118.73,117.63,124.35,0.0,0.0,1605246
04/16/2019,120.13,121.59,120,125.13,0.0,0.0,909644
